weather,city,scenario,time_slice,severity,weather_year,analysis_state_sha256,zone,zone_label,floor,area_m2,high_tail_pct,mean_p_tail,mean_warm_tail,mean_cold_tail,mean_expected_tsv
ahmedabad_ssp245_baseline_2020s_hot_2029,Ahmedabad,ssp245,baseline_2020s,hot,2029,9436ee906dedc67f3c2b0e60fbc76f5c6f16b1a1019219ff5a71bc232e1f45b8,perimeter_mid_zn_4,Middle P4,middle,131.25,14.27801724137931,0.11005990356173999,0.08288492047915037,0.027174983082589615,0.2755889650313976
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,230f4d3a6394e63152852cb7bb21641d03e0d52a1c8304ce6b3cf4bed5a3c611,core_bottom,Core bottom,bottom,983.54,2.6281130268199235,0.08532969829232978,0.05490978091842115,0.03041991737390863,0.17879937105494023
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,230f4d3a6394e63152852cb7bb21641d03e0d52a1c8304ce6b3cf4bed5a3c611,core_mid,Core middle,middle,983.54,8.339319923371647,0.09418737808978064,0.0655938894601099,0.028593488629670746,0.20852322631925468
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,230f4d3a6394e63152852cb7bb21641d03e0d52a1c8304ce6b3cf4bed5a3c611,core_top,Core top,top,983.54,6.752873563218391,0.087644729288102,0.057771465358009,0.029873263930093,0.17708837331785107
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,230f4d3a6394e63152852cb7bb21641d03e0d52a1c8304ce6b3cf4bed5a3c611,perimeter_top_zn_3,Top P3,top,207.34,10.853687739463602,0.10109533581120998,0.0722078180405685,0.028887517770641472,0.23003138850105123
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,230f4d3a6394e63152852cb7bb21641d03e0d52a1c8304ce6b3cf4bed5a3c611,perimeter_top_zn_2,Top P2,top,131.26,8.90205938697318,0.09767751465723,0.0688478219494807,0.0288296927077493,0.22993565346804717
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,230f4d3a6394e63152852cb7bb21641d03e0d52a1c8304ce6b3cf4bed5a3c611,perimeter_top_zn_1,Top P1,top,207.34,29.669540229885055,0.16531363201325783,0.1410522125315138,0.02426141948174403,0.46245614994326195
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,230f4d3a6394e63152852cb7bb21641d03e0d52a1c8304ce6b3cf4bed5a3c611,perimeter_top_zn_4,Top P4,top,131.25,7.26772030651341,0.09333516003461301,0.06428534325803907,0.02904981677657394,0.21237296492547716
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,230f4d3a6394e63152852cb7bb21641d03e0d52a1c8304ce6b3cf4bed5a3c611,perimeter_bot_zn_3,Bottom P3,bottom,207.34,5.890804597701149,0.09078760779813394,0.0616679953679289,0.029119612430205048,0.19015304750857043
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,230f4d3a6394e63152852cb7bb21641d03e0d52a1c8304ce6b3cf4bed5a3c611,perimeter_bot_zn_2,Bottom P2,bottom,131.26,6.327825670498084,0.09339844376868017,0.06407466244695831,0.02932378132172186,0.21573772607027217
