floor,area_weighted_high_tail_pct,unweighted_zone_time_high_tail_pct,any_zone_within_floor_high_tail_pct,mean_p_tail_area_weighted,mean_warm_tail_area_weighted,mean_cold_tail_area_weighted,mean_expected_tsv_area_weighted,cases_floor_has_highest_area_weighted_tail,cases_floor_has_highest_unweighted_tail,cases_floor_has_highest_any_zone_tail
bottom,10.789662465451379,13.403260030864196,31.51806619838229,0.10899746973415407,0.08158217599846064,0.027415293735693427,0.25741331448628757,3,0,83
middle,14.794822318466913,15.967998350361857,30.348062007769258,0.1150136771935042,0.08835155406549453,0.026662123128009665,0.27694316802411134,135,135,61
top,13.033598609631206,14.31560803799489,26.09238638782461,0.1086136529834032,0.08058214885809395,0.028031504125309248,0.2404247986481313,6,9,0
