scope,level,rows,mean_mu,mean_abs_mu,mean_p_tail,p95_p_tail,high_tail_pct,near_mean_pct,near_mean_high_tail_pct,near_mean_directional_tail_pct,mean_warm_tail,mean_cold_tail,warm_tail_gt_cold_tail_pct,warm_tail_gt_cold_tail_among_high_pct,warm_tail_minus_cold_tail_gt_0p10_pct,cold_tail_minus_warm_tail_gt_0p10_pct,sign_conflict_pct_of_comparable,sign_comparable_rows
all,full_panel,2405376,0.2705736470495909,0.2820397505003233,0.11557731682999328,0.3041039705276489,13.14730004789272,40.1137285813112,0.0,0.00062360312899106,0.08835953402344829,0.02721778282632225,78.32646538420605,100.0,20.626504962217965,0.0,0.0,496130
city,Ahmedabad,400896,0.33286768693174085,0.3354694762232374,0.1302794668884197,0.3191205859184265,16.652947397828864,32.0661717752235,0.0,0.0,0.10352371441463527,0.02675575251041513,81.61418422733078,100.0,28.077107279693486,0.0,0.0,112560
city,Beijing,400896,0.16961020732511015,0.19899734119384827,0.09484284123250482,0.2124217115342617,5.370470146871009,48.993753991060025,0.0,0.00374161877394636,0.06877959960741023,0.02606324163180995,86.46756265964241,100.0,8.306144236909322,0.0,0.0,33284
city,Guangzhou,400896,0.25511287308513036,0.26340974776376325,0.10718340431936425,0.28701043874025345,12.222621328224777,47.268119412515965,0.0,0.0,0.07893223402807448,0.02825117030234543,68.3733437100894,100.0,19.41501037675607,0.0,0.0,77834
city,Houston,400896,0.2386485710562079,0.2556935871208188,0.10438902861971369,0.28207695484161377,12.088671376117496,47.911428400383144,0.0,0.0,0.07558779703376345,0.028801231613108488,65.81956417624522,100.0,19.252624121966793,0.0,0.0,77183
city,Kolkata,400896,0.3322512316735702,0.33510100894263845,0.1276113794332952,0.3280908986926079,19.533744412515965,37.71776221264368,0.0,0.0,0.10161720961456143,0.025994169856968192,74.5193267081737,100.0,27.639088441890163,0.0,0.0,110804
city,Phoenix,400896,0.29495131222578536,0.3035673417576339,0.12915778048666202,0.324731707572937,13.015345625798211,26.72513569604087,0.0,0.0,0.10171664944224491,0.027441131043286316,93.16481082375478,100.0,21.06905531609195,0.0,0.0,84465
scenario,ssp245,1202688,0.2568182778795215,0.2676983424171512,0.11100223675016015,0.2847405970096587,11.448688271604938,40.76269157088122,0.0,0.0005820295870583227,0.08354145524047056,0.027460781532226176,78.05282833120476,100.0,18.89292983716475,0.0,0.0,227216
scenario,ssp585,1202688,0.2843290162196604,0.29638115858349534,0.12015239690982642,0.32018792629241943,14.845911824180503,39.46476559174117,0.0,0.0006651766709237974,0.09317761280642603,0.026974784120418326,78.60010243720733,100.0,22.36008008727118,0.0,0.0,268914
time_slice,baseline_2020s,601344,0.23102832419865313,0.24437613309494866,0.10426582048497361,0.2544939368963241,8.906383035334185,43.127394636015325,0.0,0.001496647509578544,0.07631533091611184,0.02795048959013573,76.63417278629204,100.0,16.06468177948063,0.0,0.0,96595
time_slice,late_2080s,601344,0.34356180245762324,0.3515508130442196,0.1362759007591416,0.34566300511360165,20.83981880587484,35.01273813324819,0.0,0.0003325883354618987,0.11062947337294443,0.025646427393933757,81.35276979565774,100.0,28.81179491272882,0.0,0.0,173256
time_slice,mid_2050s,601344,0.27824311812094643,0.2887643737184299,0.11730474829508734,0.3079587414860725,13.957734674329503,38.95474137931034,0.0,0.000498882503192848,0.09036681479810935,0.02693793353864129,79.2147256811409,100.0,21.476060291613454,0.0,0.0,129142
time_slice,near_2030s,601344,0.22946134342114058,0.24346768214369513,0.1044627977807706,0.25373930335044853,8.885263676032354,43.36004017667092,0.0,0.00016629416773094935,0.07612651700662756,0.028336280782578223,76.1041932737335,100.0,16.153482865048957,0.0,0.0,97137
severity,heatwave_extreme,801792,0.28331792272583084,0.295237162980982,0.11958203344001819,0.3153438836336135,14.759438856960408,39.3135626197318,0.0,0.000498882503192848,0.09254751218816835,0.02703452126700326,78.58222581417624,100.0,22.346194524265645,0.0,0.0,179166
severity,hot,801792,0.2850417860664524,0.295541755519622,0.11934364555547772,0.31254811435937874,14.47544999201788,38.251441770434226,0.0,0.00062360312899106,0.09249702459921866,0.026846620977260913,79.79313837005108,100.0,22.243175287356323,0.0,0.0,178339
severity,typical,801792,0.24336123235648904,0.2553403330003661,0.10780627149448395,0.275410312414169,10.207011294699871,42.77618135376756,0.0,0.000748323754789272,0.08003406528295787,0.02777220623470258,76.60403196839081,100.0,17.29014507503193,0.0,0.0,138625
