city,model,scalar,rows,high_tail_pct,pearson_r,spearman_r,standard_threshold,standard_disagreement_pct,standard_false_negative_pct,standard_false_positive_pct,standard_sensitivity_pct,standard_specificity_pct
Ahmedabad,ordinal,abs_mean_pmv,400896,16.652947397828864,0.9325822926698066,0.8823798993741773,0.5,18.780930715197957,0.00498882503192848,18.775941890166028,99.97004239001812,77.47257844883056
Ahmedabad,ordinal,abs_mu_tsv,400896,16.652947397828864,0.9864073414868659,0.9714012496477484,0.5,4.566022110472542,0.000249441251596424,4.565772669220945,99.99850211950091,94.52197465096444
Ahmedabad,no_pmv_ordinal,abs_mean_pmv,400896,17.538962723499363,0.9401060412353204,0.8997741933345452,0.5,17.913872924648786,0.014467592592592591,17.899405332056194,99.9175116976946,78.29349966574203
Ahmedabad,no_pmv_ordinal,abs_mu_tsv,400896,17.538962723499363,0.9870396157186098,0.9722533587659041,0.5,6.621916906130268,0.00249441251596424,6.619422493614303,99.98577787891286,91.97266647105266
Beijing,ordinal,abs_mean_pmv,400896,5.370470146871009,0.619955661693449,0.5357789843365233,0.5,30.811482279693486,0.0,30.811482279693486,100.0,67.43988654755566
Beijing,ordinal,abs_mu_tsv,400896,5.370470146871009,0.9369023708286266,0.5709109806386308,0.5,1.5445402298850575,0.0,1.5445402298850575,100.0,98.36780312415978
Beijing,no_pmv_ordinal,abs_mean_pmv,400896,5.433828224776501,0.6153115668092577,0.45216862963478155,0.5,30.748124201787995,0.0,30.748124201787995,100.0,67.48507037498153
Beijing,no_pmv_ordinal,abs_mu_tsv,400896,5.433828224776501,0.9409286765893227,0.5710449335724589,0.5,1.7553180874840357,0.0,1.7553180874840357,100.0,98.14382029584925
Guangzhou,ordinal,abs_mean_pmv,400896,12.222621328224777,0.9360766320304575,0.8591458108904658,0.5,18.067528735632184,0.0,18.067528735632184,100.0,79.41664582717621
Guangzhou,ordinal,abs_mu_tsv,400896,12.222621328224777,0.9857706138213317,0.9375174406136035,0.5,4.148208014048532,0.0,4.148208014048532,100.0,95.27417191442926
Guangzhou,no_pmv_ordinal,abs_mean_pmv,400896,12.673361669859515,0.9426620644438443,0.872312568255906,0.5,17.616788393997446,0.0,17.616788393997446,100.0,79.82655838943812
Guangzhou,no_pmv_ordinal,abs_mu_tsv,400896,12.673361669859515,0.983119866505469,0.90209060981624,0.5,4.7084530651340994,0.0,4.7084530651340994,100.0,94.60822819340224
Houston,ordinal,abs_mean_pmv,400896,12.088671376117496,0.9178272293019245,0.8174545562063129,0.5,18.394795657726693,0.0,18.394795657726693,100.0,79.07573921851812
Houston,ordinal,abs_mu_tsv,400896,12.088671376117496,0.9846625516781214,0.9200290100216744,0.5,4.038703304597701,0.0,4.038703304597701,100.0,95.40593531252749
Houston,no_pmv_ordinal,abs_mean_pmv,400896,12.456597222222223,0.9234785866864116,0.8312063763210029,0.5,18.02736869412516,0.000249441251596424,18.027119252873565,99.99799751692098,79.40779238541364
Houston,no_pmv_ordinal,abs_mu_tsv,400896,12.456597222222223,0.9791361516043612,0.85935882852164,0.5,4.687001117496807,0.000249441251596424,4.686751676245211,99.99799751692098,94.64636794146308
Kolkata,ordinal,abs_mean_pmv,400896,19.533744412515965,0.9573240902308813,0.9444263900423417,0.5,18.10220106960409,0.0,18.10220106960409,100.0,77.50336344416682
Kolkata,ordinal,abs_mu_tsv,400896,19.533744412515965,0.9899015848560134,0.9823231241080822,0.5,4.258710488505748,0.0,4.258710488505748,100.0,94.70745785619958
Kolkata,no_pmv_ordinal,abs_mean_pmv,400896,19.719827586206897,0.9655074006207045,0.9509498793905842,0.5,17.916117895913157,0.0,17.916117895913157,100.0,77.68301019139945
Kolkata,no_pmv_ordinal,abs_mu_tsv,400896,19.719827586206897,0.9905821776783065,0.9700440613135026,0.5,5.329561781609195,0.0,5.329561781609195,100.0,93.36129753914989
Phoenix,ordinal,abs_mean_pmv,400896,13.015345625798211,0.8970302859658025,0.5970283586795592,0.5,9.401440772669222,0.01546535759897829,9.385975415070243,99.88117597454867,89.20961923387952
Phoenix,ordinal,abs_mu_tsv,400896,13.015345625798211,0.959507556289875,0.8162719821136103,0.5,2.0553959131545336,0.24794460408684546,1.8074513090676882,98.09498255969949,97.92210324674953
Phoenix,no_pmv_ordinal,abs_mean_pmv,400896,15.26081577266922,0.8966758519134431,0.5527031738600815,0.5,7.233796296296297,0.05437819284802043,7.179418103448276,99.64367440339981,91.52762896066126
Phoenix,no_pmv_ordinal,abs_mu_tsv,400896,15.26081577266922,0.9715925744717773,0.8957345297754867,0.5,2.7600674489144317,0.17061781609195403,2.5894496328224776,98.88198757763975,96.94421222432855
