city,scalar,rows,high_tail_pct,pearson_r,standard_disagreement_pct,standard_false_negative_pct,standard_false_positive_pct
Ahmedabad,abs_mean_pmv,400896,17.107179916985952,0.9312229242810021,18.945063058748403,0.006485472541507024,18.938577586206897
Ahmedabad,abs_mu_tsv,400896,17.107179916985952,0.9864216861485743,4.611919300766284,0.000748323754789272,4.611170977011494
Beijing,abs_mean_pmv,400896,5.475235472541507,,30.982598978288635,0.0,30.982598978288635
Beijing,abs_mu_tsv,400896,5.475235472541507,,1.5804597701149428,0.0,1.5804597701149428
Guangzhou,abs_mean_pmv,400896,12.514467592592593,,18.337424169859514,0.0,18.337424169859514
Guangzhou,abs_mu_tsv,400896,12.514467592592593,,4.225285360791826,0.0,4.225285360791826
Houston,abs_mean_pmv,400896,12.332624920178798,,18.615800606641127,0.0,18.615800606641127
Houston,abs_mu_tsv,400896,12.332624920178798,,4.099566969987229,0.0,4.099566969987229
Kolkata,abs_mean_pmv,400896,19.903416347381864,,18.290030332056194,0.0,18.290030332056194
Kolkata,abs_mu_tsv,400896,19.903416347381864,,4.33803280651341,0.0,4.33803280651341
Phoenix,abs_mean_pmv,400896,13.35658125798212,,9.473778735632184,0.027937420178799487,9.445841315453386
Phoenix,abs_mu_tsv,400896,13.35658125798212,,2.089569364623244,0.23322757024265645,1.8563417943805876
