weather,city,scenario_raw,time_slice,severity,weather_year,scenario,watts_person,met,bsa_m2,zone,zone_label,floor,position,position_name,rows,mean_p_tail,median_p_tail,p90_p_tail,p95_p_tail,high_tail_pct,mean_warm_tail,mean_cold_tail
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Lo,90.0,0.9,1.7182130584192439,perimeter_top_zn_4,Top P4,top,P4,P4 west,16704,0.09345000744717989,0.08636971229531028,0.1405274867217015,0.15326433656783706,1.5505268199233717,0.05681589524194859,0.03663411220523131
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,S-real,93.2,0.932,1.7182130584192439,core_bottom,Core bottom,bottom,core,Core,16704,0.09270623930375868,0.08743434974607761,0.12758274174203382,0.1405274867217015,0.5148467432950191,0.054479011779084416,0.038227227524674265
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,S-real,93.2,0.932,1.7182130584192439,perimeter_bot_zn_1,Bottom P1,bottom,P1,P1 south,16704,0.1536621571794649,0.13258032585126403,0.2790036861409365,0.3021327342818315,15.128113026819923,0.12894334317898712,0.02471881400047777
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,S-real,93.2,0.932,1.7182130584192439,perimeter_bot_zn_2,Bottom P2,bottom,P2,P2 east,16704,0.09536093051189873,0.08636971229531029,0.13269358231751252,0.1483236175182293,1.3170498084291187,0.05927514697338873,0.03608578353851
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,S-real,93.2,0.932,1.7182130584192439,perimeter_bot_zn_3,Bottom P3,bottom,P3,P3 north,16704,0.09467333294271577,0.08489021107805642,0.1405274867217015,0.150762211947657,1.1015325670498084,0.058916366252757583,0.03575696668995818
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,S-real,93.2,0.932,1.7182130584192439,perimeter_bot_zn_4,Bottom P4,bottom,P4,P4 west,16704,0.09049130270651845,0.0811412543526477,0.12754998632704667,0.14159212417246886,0.7423371647509579,0.05363232375510418,0.03685897895141426
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,S-real,93.2,0.932,1.7182130584192439,core_mid,Core middle,middle,core,Core,16704,0.09608333285336457,0.08636971229531029,0.14159212417246886,0.17453662053712074,1.2691570881226053,0.06122297953593155,0.034860353317433014
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,S-real,93.2,0.932,1.7182130584192439,perimeter_mid_zn_1,Middle P1,middle,P1,P1 south,16704,0.1448788258364968,0.12667039510478012,0.26944268463591164,0.2975413170287804,15.45138888888889,0.11891850358125146,0.025960322255245343
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,S-real,93.2,0.932,1.7182130584192439,perimeter_mid_zn_2,Middle P2,middle,P2,P2 east,16704,0.09626218972837634,0.08636971229531028,0.1405274867217015,0.17488894871449726,1.8199233716475096,0.061594263532692525,0.03466792619568381
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,S-real,93.2,0.932,1.7182130584192439,perimeter_mid_zn_3,Middle P3,middle,P3,P3 north,16704,0.10406758895399369,0.08743434974607762,0.1770387451573008,0.18974343177503092,2.9094827586206895,0.07148635290916237,0.03258123604483131
