zone,zone_label,floor,position,position_name,cases,mean_high_tail_pct_profile_spread,median_high_tail_pct_profile_spread,p95_high_tail_pct_profile_spread,mean_sreal_high_tail_gap_to_max_profile,p95_sreal_high_tail_gap_to_max_profile,mean_p_tail_profile_spread,p95_mean_p_tail_profile_spread
core_bottom,Core bottom,bottom,core,Core,144,12.16175766283525,10.308908045977013,23.592552681992338,12.082352197743722,23.57998084291188,0.04689411788086947,0.07318237717751996
perimeter_bot_zn_1,Bottom P1,bottom,P1,P1 south,144,30.44384744838229,30.824952107279692,46.98964319923371,29.884101279799918,46.276340996168585,0.0972180228372827,0.15296618610452936
perimeter_bot_zn_2,Bottom P2,bottom,P2,P2 east,144,12.923384951042998,12.535919540229884,23.456357758620687,12.7720156848659,23.456357758620687,0.0518668947352144,0.08000159854947617
perimeter_bot_zn_3,Bottom P3,bottom,P3,P3 north,144,16.321647842166882,14.783884099616857,29.021791187739463,16.1852866246275,29.021791187739463,0.057454167086731026,0.08893374542993379
perimeter_bot_zn_4,Bottom P4,bottom,P4,P4 west,144,10.4817292597914,9.392959770114942,20.909363026819925,10.360043502554278,20.792025862068964,0.04646380127200476,0.07028123116996957
core_mid,Core middle,middle,core,Core,144,16.542486496913583,15.277777777777779,30.55465756704981,16.496547733077907,30.55465756704981,0.05803987989569538,0.09060172954370987
perimeter_mid_zn_1,Middle P1,middle,P1,P1 south,144,28.638599537037035,28.939176245210724,43.045079022988496,27.924864969135804,41.79747365900383,0.09513999683965363,0.1471180839937416
perimeter_mid_zn_2,Middle P2,middle,P2,P2 east,144,13.422849483822905,12.287476053639846,23.395593869731805,13.328394396551724,23.395593869731805,0.054142430247267066,0.07683462498014845
perimeter_mid_zn_3,Middle P3,middle,P3,P3 north,144,18.887026394210302,18.37883141762452,32.5954861111111,18.740313364729673,32.5954861111111,0.06644665907741519,0.09802743898798666
perimeter_mid_zn_4,Middle P4,middle,P4,P4 west,144,12.398976293103448,11.398467432950191,21.82231800766283,12.314665150063856,21.82231800766283,0.050611809402896085,0.07064622314328436
core_top,Core top,top,core,Core,144,13.898409229991486,12.21264367816092,26.122784961685824,13.838917491485738,26.122784961685824,0.05292918070252203,0.08193859868477911
perimeter_top_zn_1,Top P1,top,P1,P1 south,144,24.964122033312048,25.733357279693486,39.857519157088106,24.351826907726693,38.290229885057464,0.08487284949529154,0.1303604510281583
perimeter_top_zn_2,Top P2,top,P2,P2 east,144,13.505206670391656,12.595785440613028,22.027358716475092,13.378365793954876,22.027358716475092,0.05509547589297786,0.08547014911393853
perimeter_top_zn_3,Top P3,top,P3,P3 north,144,16.369041679970202,15.337643678160921,26.907626915708807,16.201749747232864,26.907626915708807,0.06127056585740552,0.08978303900114758
perimeter_top_zn_4,Top P4,top,P4,P4 west,144,11.848833612707535,11.302681992337163,19.64020593869731,11.740118800553427,19.64020593869731,0.04963611577753771,0.06965141715815615
