city,scenario,severity,annual_mean_temp_c_baseline,annual_ghi_kwh_m2_baseline,annual_mean_rh_pct_baseline,mean_zone_operative_temp_c_occ_baseline,mean_zone_rh_pct_occ_baseline,mean_zone_cooling_rate_w_occ_baseline,mean_p_tail_occ_baseline,high_tail_pct_occ_baseline,annual_mean_temp_c_late,annual_ghi_kwh_m2_late,annual_mean_rh_pct_late,mean_zone_operative_temp_c_occ_late,mean_zone_rh_pct_occ_late,mean_zone_cooling_rate_w_occ_late,mean_p_tail_occ_late,high_tail_pct_occ_late,delta_annual_mean_temp_c,delta_annual_ghi_kwh_m2,delta_annual_mean_rh_pct,delta_mean_zone_operative_temp_c_occ,delta_mean_zone_rh_pct_occ,delta_mean_zone_cooling_rate_w_occ,delta_mean_p_tail_occ,delta_high_tail_pct_occ
Ahmedabad,ssp245,heatwave_extreme,28.350182648401823,1996.929,56.36050228310502,26.138556297588426,50.30427861684494,108492.612751216,0.13355773499630974,18.211206896551722,29.058849315068493,2000.318,56.39075342465753,26.22474204686525,51.17661869034078,110137.56577894595,0.13932496368193262,19.833572796934863,0.7086666666666694,3.3889999999998963,0.03025114155251174,0.08618574927682232,0.8723400734958418,1644.953027729949,0.005767228685622877,1.6223659003831408
Ahmedabad,ssp245,hot,28.350182648401823,1996.929,56.36050228310502,26.138556297588426,50.30427861684494,108492.612751216,0.13355773499630974,18.211206896551722,29.058849315068493,2000.318,56.39075342465753,26.22474204686525,51.17661869034078,110137.56577894595,0.13932496368193262,19.833572796934863,0.7086666666666694,3.3889999999998963,0.03025114155251174,0.08618574927682232,0.8723400734958418,1644.953027729949,0.005767228685622877,1.6223659003831408
Ahmedabad,ssp245,typical,27.845284246575343,1977.121,56.37625570776256,25.854149864180457,49.955550928367266,108800.05374015686,0.11244168975303144,9.746168582375478,28.022840182648405,1958.055,56.3912100456621,25.941851894776224,50.12831307974932,107650.57940067384,0.12506565039014067,14.373802681992338,0.17755593607306253,-19.06600000000003,0.014954337899538928,0.08770203059576787,0.1727621513820523,-1149.4743394830148,0.01262396063710923,4.627634099616859
Ahmedabad,ssp585,heatwave_extreme,28.24798515981735,2073.705,56.37614155251141,26.316407575239168,49.89531103623461,108114.4606937683,0.14665623094305785,23.533285440613028,30.258701047358834,1952.58,56.3549635701275,26.534734656443586,52.19447736324651,109742.38648179792,0.1661516104268839,29.669540229885055,2.0107158875414832,-121.125,-0.021177982383910887,0.2183270812044178,2.2991663270119034,1627.925788029621,0.019495379483826042,6.1362547892720265
Ahmedabad,ssp585,hot,28.24798515981735,2073.705,56.37614155251141,26.316407575239168,49.89531103623461,108114.4606937683,0.14665623094305785,23.533285440613028,30.258701047358834,1952.58,56.3549635701275,26.534734656443586,52.19447736324651,109742.38648179792,0.1661516104268839,29.669540229885055,2.0107158875414832,-121.125,-0.021177982383910887,0.2183270812044178,2.2991663270119034,1627.925788029621,0.019495379483826042,6.1362547892720265
Ahmedabad,ssp585,typical,27.76990068493151,1985.359,56.37625570776256,25.93599438635592,49.64242048226878,107486.42711683406,0.12039433358276584,13.613505747126437,29.166350456621004,1942.673,56.406050228310505,26.117285651750628,50.85112551818185,109556.9438049627,0.1345013890952931,17.953783524904214,1.3964497716894932,-42.68599999999992,0.02979452054794507,0.18129126539470874,1.20870503591307,2070.5166881286423,0.014107055512527264,4.340277777777777
Beijing,ssp245,heatwave_extreme,13.942010273972604,1642.315,56.19029680365297,24.399783599349075,34.36421908310357,71935.14475397016,0.08926004144622884,3.4243295019157087,16.17790869763206,1741.226,56.20184426229508,24.86622224129405,36.15620874337872,77403.52049326434,0.10687537131658435,9.949712643678161,2.235898423659455,98.91100000000006,0.011547458642112929,0.46643864194497553,1.7919896602751493,5468.375739294177,0.01761532987035551,6.525383141762452
Beijing,ssp245,hot,13.942010273972604,1642.315,56.19029680365297,24.399783599349075,34.36421908310357,71935.14475397016,0.08926004144622884,3.4243295019157087,16.17790869763206,1741.226,56.20184426229508,24.86622224129405,36.15620874337872,77403.52049326434,0.10687537131658435,9.949712643678161,2.235898423659455,98.91100000000006,0.011547458642112929,0.46643864194497553,1.7919896602751493,5468.375739294177,0.01761532987035551,6.525383141762452
Beijing,ssp245,typical,12.92660388127854,1480.341,56.2384703196347,24.10993114602236,33.093365102028955,66393.26486148198,0.0805422764132158,0.4130747126436782,14.95624315068493,1680.219,56.214497716894975,24.685608832781945,35.33938565541824,73599.3884678883,0.1052440567456663,10.578304597701148,2.02963926940639,199.87800000000016,-0.023972602739725346,0.5756776867595832,2.246020553389286,7206.123606406327,0.02470178033245049,10.165229885057471
Beijing,ssp585,heatwave_extreme,13.001245433789954,1601.965,56.2791095890411,24.235012863779126,33.40959091183553,69095.45301186702,0.08874339955773265,2.8436302681992336,17.771,1660.156,56.24748858447489,24.99057703678103,38.01512791101246,79779.57835992651,0.1119130830244772,12.092911877394636,4.769754566210047,58.19100000000003,-0.03162100456621175,0.755564173001904,4.605536999176934,10684.12534805949,0.023169683466744542,9.249281609195403
Beijing,ssp585,hot,13.001245433789954,1601.965,56.2791095890411,24.235012863779126,33.40959091183553,69095.45301186702,0.08874339955773265,2.8436302681992336,17.771,1660.156,56.24748858447489,24.99057703678103,38.01512791101246,79779.57835992651,0.1119130830244772,12.092911877394636,4.769754566210047,58.19100000000003,-0.03162100456621175,0.755564173001904,4.605536999176934,10684.12534805949,0.023169683466744542,9.249281609195403
Beijing,ssp585,typical,12.622576484018264,1516.361,56.2384703196347,24.054554253079836,33.168907458802224,66996.87995557666,0.07987368727251053,0.035919540229885055,16.689312386156647,1612.753,56.20184426229508,24.86629664516041,37.01802830480787,76206.79934925454,0.10751945775547966,10.201149425287356,4.066735902138383,96.39199999999983,-0.036626057339617546,0.8117423920805749,3.849120846005647,9209.919393677876,0.027645770482969137,10.165229885057471
Guangzhou,ssp245,heatwave_extreme,23.21977459016393,1549.661,72.03085154826958,25.30235778157605,49.86837182451746,89864.16248422253,0.08962243254297726,6.160201149425287,24.890647768670313,1770.367,72.03699908925319,25.956818914208018,51.15109088714318,96213.67446307445,0.12772733755393453,20.510057471264368,1.6708731785063833,220.7059999999999,0.006147540983604927,0.6544611326319689,1.2827190626257163,6349.511978851922,0.03810490501095727,14.34985632183908
Guangzhou,ssp245,hot,23.63078424657534,1577.313,72.05559360730594,25.27111975741902,49.591628176676146,92929.69205995165,0.08398474766795416,4.118773946360153,25.286223744292236,1776.785,72.01837899543379,25.89101161811716,51.76927301694686,98633.9593950361,0.11741099403686138,15.529214559386972,1.6554394977168947,199.47199999999998,-0.03721461187214459,0.619891860698143,2.177644840270716,5704.267335084456,0.03342624636890722,11.410440613026818
Guangzhou,ssp245,typical,23.47425,1590.983,71.98333333333333,25.390417532196754,49.9208903874661,91687.11074994375,0.09302115733957723,7.537116858237549,24.62897427140255,1599.699,72.03950364298726,25.580672696188,50.96879575629255,94300.5690840913,0.10128355181471957,9.398946360153257,1.15472427140255,8.716000000000122,0.05617030965392189,0.19025516399124598,1.0479053688264486,2613.458334147552,0.008262394475142334,1.8618295019157083
Guangzhou,ssp585,heatwave_extreme,23.21334474885845,1586.499,72.0466894977169,25.387653789613132,50.06361348157576,89976.09400124381,0.09536413190085037,7.92624521072797,27.261615296803654,1874.719,72.0513698630137,26.679070741365557,53.1534979197518,99385.4297725281,0.1743100004364675,37.82926245210728,4.048270547945204,288.22,0.004680365296806599,1.2914169517524243,3.0898844381760426,9409.335771284299,0.07894586853561712,29.90301724137931
Guangzhou,ssp585,hot,23.386930783242256,1603.0,72.03085154826958,25.392552881742958,49.822502010326865,91537.8129778653,0.09287880798952967,7.291666666666667,27.261615296803654,1874.719,72.0513698630137,26.679070741365557,53.1534979197518,99385.4297725281,0.1743100004364675,37.82926245210728,3.874684513561398,271.71900000000005,0.020518314744123245,1.2865178596225988,3.330995909424935,7847.616794662812,0.08143119244693782,30.53759578544061
Guangzhou,ssp585,typical,22.902364155251146,1575.056,71.98333333333333,25.263006888535504,49.35283747029169,89998.68884616108,0.08904923397581876,4.735392720306513,26.621422374429223,1703.59,72.02568493150685,26.05519233729887,52.94268507192218,100671.58069138801,0.1288128774753207,19.30675287356322,3.719058219178077,128.53399999999988,0.04235159817351075,0.7921854487633659,3.5898476016304883,10672.891845226928,0.03976364349950193,14.571360153256705
Houston,ssp245,heatwave_extreme,22.0160901826484,1820.064,74.05022831050228,25.33281719874056,49.68397895712235,89415.90630288805,0.09683913665997387,8.321360153256704,22.26552625570776,1791.782,74.03835616438356,25.563779949570833,49.832142521951944,88475.56631052162,0.11491862455547734,17.504789272030653,0.249436073059357,-28.282000000000153,-0.011872146118719229,0.2309627508302725,0.14816356482959492,-940.3399923664256,0.018079487895503468,9.18342911877395
Houston,ssp245,hot,22.0160901826484,1820.064,74.05022831050228,25.33281719874056,49.68397895712235,89415.90630288805,0.09683913665997387,8.321360153256704,23.501143835616435,1816.825,74.03824200913242,25.62712367993257,51.16952570373649,93466.1320392322,0.10915247819823148,14.194204980842912,1.485053652968034,-3.2390000000000327,-0.01198630136985912,0.29430648119200953,1.4855467466141405,4050.225736344146,0.01231334153825761,5.872844827586208
Houston,ssp245,typical,21.97594292237443,1802.215,74.0412100456621,25.205774685484304,49.57675299912603,90237.93657531874,0.08432182478872714,3.9870689655172415,22.6453299086758,1801.98,74.03356164383561,25.402692523156635,50.32766175340475,90817.97881049407,0.0966864581937858,8.75838122605364,0.6693869863013724,-0.23499999999989996,-0.007648401826486406,0.19691783767233062,0.7509087542787185,580.0422351753223,0.012364633405058653,4.771312260536398
Houston,ssp585,heatwave_extreme,21.306101598173512,1792.174,73.93344748858448,25.36446439464045,48.90554822991089,86742.24125514217,0.10115669216714011,11.16499042145594,23.9068401826484,1811.911,74.03356164383561,25.93139493866907,51.12775028584681,91833.94974749074,0.136172876329635,25.502873563218394,2.600738584474886,19.73700000000008,0.10011415525113421,0.5669305440286188,2.2222020559359166,5091.708492348567,0.0350161841624949,14.337883141762454
Houston,ssp585,hot,21.498971461187217,1826.937,74.05022831050228,25.298667144345416,48.67275936043956,88424.17534551154,0.09574573222246564,8.183668582375478,24.850593123861564,1814.709,74.0389344262295,25.902815791816256,52.23474512965222,95549.31252386436,0.12709154831926767,21.707375478927204,3.351621662674347,-12.227999999999838,-0.011293884272774335,0.60414864747084,3.5619857692126615,7125.137178352816,0.03134581609680202,13.523706896551726
Houston,ssp585,typical,21.306101598173512,1792.174,73.93344748858448,25.36446439464045,48.90554822991089,86742.24125514217,0.10115669216714011,11.16499042145594,24.197217668488157,1793.572,74.03654371584699,25.926933544936375,51.71584658874045,92158.70443319381,0.13288025063846273,22.988505747126435,2.891116070314645,1.3979999999999109,0.10309622726251177,0.5624691502959251,2.810298358829556,5416.463178051636,0.03172355847132262,11.823515325670495
Kolkata,ssp245,heatwave_extreme,26.241002283105026,1691.348,75.42385844748858,25.954486970423133,53.08842275957297,98061.14353866807,0.12013051901582285,14.76293103448276,27.606182648401827,1734.245,75.43162100456621,26.3138338921868,54.55033193107542,101010.17569067098,0.14455053852787522,26.011733716475092,1.3651803652968013,42.896999999999935,0.0077625570776262975,0.35934692176366667,1.4619091715024481,2949.03215200291,0.024420019512052374,11.248802681992332
Kolkata,ssp245,hot,26.73635245901639,1695.046,75.42998633879782,25.90059256829753,53.52354648059259,100484.19900327404,0.11401887878565198,13.344109195402298,27.78537671232877,1713.831,75.44372146118721,26.236758698608757,54.38829293626128,102070.13685232354,0.13740039465630563,22.790948275862068,1.0490242533123784,18.784999999999854,0.013735122389391563,0.3361661303112271,0.864746455668687,1585.9378490495,0.023381515870653652,9.44683908045977
Kolkata,ssp245,typical,25.72428767123288,1685.674,75.43127853881279,25.769470354809226,52.88942630962365,98200.49195828724,0.10940388029793958,12.368295019157088,27.099805327868857,1701.284,75.41427595628416,26.20255024398715,53.88419927108638,99071.45460739627,0.13654869691119045,22.467672413793103,1.375517656635978,15.610000000000127,-0.01700258252863307,0.4330798891779253,0.9947729614627292,870.9626491090312,0.02714481661325087,10.099377394636015
Kolkata,ssp585,heatwave_extreme,25.481834474885847,1639.925,75.42385844748858,25.617401881015464,52.25843334644863,97145.53725324511,0.09947958936145426,8.776340996168583,29.845851548269582,1775.42,75.42930327868852,26.98907550762609,56.29247592095287,103205.94706638633,0.18482983126814176,40.64894636015325,4.364017073383735,135.49500000000012,0.005444831199937994,1.371673626610626,4.034042574504234,6060.4098131412175,0.0853502419066875,31.87260536398467
Kolkata,ssp585,hot,26.046144977168947,1664.789,75.43127853881279,25.733315203961535,52.86678448267137,98849.3337307266,0.1042153042356479,10.63817049808429,29.845851548269582,1775.42,75.42930327868852,26.98907550762609,56.29247592095287,103205.94706638633,0.18482983126814176,40.64894636015325,3.7997065711006357,110.63100000000009,-0.0019752601242686296,1.2557603036645553,3.425691438281497,4356.613335659727,0.08061452703249386,30.01077586206896
Kolkata,ssp585,typical,25.246216894977167,1631.999,75.41461187214612,25.519670251263182,51.992963674811456,97000.90336934602,0.09192278352390344,5.753113026819923,28.570694444444445,1743.575,75.41746357012751,26.4638601419597,55.061123781180996,103239.63218387046,0.14968954729291373,27.011494252873565,3.3244775494672787,111.57600000000002,0.0028516979813844046,0.9441898906965172,3.0681601063695396,6238.728814524438,0.057766763769010285,21.258381226053643
Phoenix,ssp245,heatwave_extreme,24.41192808219178,2106.722,33.48972602739726,25.331203053118788,34.43262489365865,102567.72931707739,0.10907158981562103,5.250239463601533,27.016212328767125,2218.056,33.604109589041094,25.798361978875203,38.01859370152956,111165.32430591027,0.13792288179930307,16.073994252873565,2.6042842465753466,111.33399999999983,0.11438356164383379,0.46715892575641504,3.5859688078709127,8597.594988832876,0.02885129198368204,10.823754789272032
Phoenix,ssp245,hot,25.18585496357013,2102.805,33.69467213114754,25.412237573902395,35.80017975267175,105128.17286089987,0.11064517685847108,6.836685823754789,27.016212328767125,2218.056,33.604109589041094,25.798361978875203,38.01859370152956,111165.32430591027,0.13792288179930307,16.073994252873565,1.8303573651969955,115.2510000000002,-0.0905625421064471,0.38612440497280787,2.2184139488578083,6037.1514450104005,0.02727770494083198,9.237308429118777
Phoenix,ssp245,typical,24.539092465753427,2190.613,33.62910958904109,25.373705535529428,34.89064232984622,105904.64889726894,0.10700736217750624,4.54382183908046,25.969208904109596,2047.87,33.60331050228311,25.570272017241056,36.59154491002777,104709.49714364644,0.12785627835286803,12.877155172413794,1.430116438356169,-142.74299999999994,-0.025799086757984924,0.19656648171162772,1.7009025801815483,-1195.1517536225,0.02084891617536179,8.333333333333334
