position,floor,orientation,mean_operative_temp_c_occ_mean,mean_operative_temp_c_occ_median,mean_operative_temp_c_occ_q25,mean_operative_temp_c_occ_q75,mean_mrt_minus_air_c_occ_mean,mean_mrt_minus_air_c_occ_median,mean_mrt_minus_air_c_occ_q25,mean_mrt_minus_air_c_occ_q75,mean_p_tail_occ_mean,mean_p_tail_occ_median,mean_p_tail_occ_q25,mean_p_tail_occ_q75,high_tail_pct_occ_mean,high_tail_pct_occ_median,high_tail_pct_occ_q25,high_tail_pct_occ_q75,n_units
core,bottom,core,25.475394373598302,25.462464167784074,25.28543354946228,25.627818661898512,1.9401262520021152,1.9952858111384555,1.8952607019969268,2.0678658010885753,0.09899867704339224,0.0944304008019596,0.0879081339250915,0.10630672506351639,6.390559097202099,4.352250957854406,2.3168103448275863,8.782327586206897,119
core,middle,core,25.46987170161373,25.486167612537276,25.279724163413952,25.710979652587596,1.4117938807169526,1.4634942735658782,1.3609267868235801,1.573373785365427,0.10509210037948098,0.1009000889358622,0.09070183535465985,0.11110618132028377,11.913565713641779,10.099377394636015,6.585249042145594,14.951508620689655,119
core,top,core,25.29729777878756,25.325503490469806,25.131602829042677,25.609999288568297,1.5107403178953447,1.5947012375009546,1.4510686722344506,1.689036059686043,0.09890853863698618,0.09503700851172969,0.08615421515039098,0.10656639512699154,10.39568844779291,8.818247126436782,5.723180076628353,13.20043103448276,119
perimeter,bottom,east,25.34257868845804,25.419753872803547,25.212826337167268,25.685924297649407,2.054742897341804,2.1010271330459664,1.8855436094332916,2.4149229141062016,0.09964404976778385,0.09476151371732558,0.08318505405266172,0.11100347506664367,9.4706848256544,8.195641762452107,4.7563457854406135,12.66463122605364,119
perimeter,bottom,north,25.27522267852079,25.33422383642624,25.06960023397739,25.64407865000375,1.4467658724594017,1.5130550824013498,1.3613377386412255,1.7022979177278637,0.10344686099386212,0.09887427711805598,0.08860343908756156,0.11346414350452133,10.781144354293444,9.093630268199233,5.627394636015326,13.616499042145595,119
perimeter,bottom,south,26.141433819003616,26.213731767578224,25.711769623781883,26.763465274650468,1.9699043951421986,1.898444614647752,1.840983344722963,2.023197169068881,0.15883264889860335,0.15282002100569628,0.12368381803119927,0.1891292866654405,29.04316180495187,27.849616858237546,19.477370689655174,39.06549329501915,119
perimeter,bottom,west,25.297390889504644,25.35987933846555,25.159781591105286,25.603328348512584,2.126334691852008,2.1869441953932527,1.9793417148550636,2.4487896166058896,0.09439510580984461,0.0898212830330222,0.08092787110008534,0.10435848786587956,7.462209021539651,6.232040229885057,3.1190134099616857,9.979645593869732,119
perimeter,middle,east,25.461638682708575,25.52168468306073,25.32898319583426,25.777385855242358,2.2314656456475035,2.289711603380577,2.0823934316798973,2.542062406906875,0.10466380543617931,0.1017680393178268,0.09141644772593616,0.1160106252888745,11.639943333655305,10.189176245210728,7.282686781609195,14.810823754789272,119
perimeter,middle,north,25.557608981475873,25.617095899605644,25.34961533577875,25.941520080298766,1.6444057886231516,1.7252197308940713,1.5546987539682298,1.864019830314974,0.1175580024526199,0.11350404907044596,0.10165330218279307,0.12916562736990414,16.003865626710457,14.744971264367814,10.635177203065133,19.740780651340998,119
perimeter,middle,south,26.186844799813194,26.177161211394914,25.853151851336683,26.65854882057684,2.095190289332888,2.0457375650253757,1.9419594659885264,2.2740504475734458,0.15657406956448625,0.14907589375329788,0.12482933573664226,0.17983904743565549,26.552086351782087,25.233477011494255,16.83728448275862,34.39295977011494,119
perimeter,middle,west,25.42780309019404,25.486319881177703,25.29380734560239,25.7198660162929,2.2947012072688726,2.359350887792183,2.160155301039759,2.570581641836483,0.10102032091726547,0.0975237409431457,0.08779438558819538,0.1118259998030954,10.026934624424483,9.111590038314176,6.241020114942528,11.799568965517242,119
perimeter,top,east,25.40846865694285,25.485563071883025,25.249199514291206,25.76883329314952,2.242243028343553,2.3214300998834845,2.0923506472182902,2.577767765852518,0.10535767964482706,0.10154083798159375,0.0918535040505275,0.11726595976067991,11.905013442158474,10.859674329501916,7.599976053639846,14.84375,119
perimeter,top,north,25.38995063241445,25.475776168712734,25.19640348626701,25.855070886662112,1.7233798894674892,1.8044571127509101,1.6293707386078484,2.0046799697368023,0.11166524638639272,0.10793473116033314,0.09677632889767432,0.1239390083981673,14.046753758974853,12.38625478927203,8.970905172413794,17.720306513409966,119
perimeter,top,south,25.951866188389992,25.963105085069476,25.62845303202071,26.402854295889576,2.2068111303353484,2.2154788833822385,2.0259036003252353,2.493681249319712,0.14247655363659484,0.1346121416058937,0.11385083997517202,0.1651750659876176,22.205721369007374,20.94109195402299,13.152538314176246,28.600933908045974,119
perimeter,top,west,25.33548231929804,25.432419657553794,25.198457536422303,25.66831228565268,2.313538514860269,2.3972405812036524,2.1727011135698593,2.6242826059245283,0.09949025108153846,0.09525930700925472,0.08675078717526355,0.110185528500959,9.553893396439037,8.854166666666668,6.1811542145593865,11.416427203065133,119
