case_id,city,scenario,time_slice,severity,weather_year,outdoor_temp_bin,occupied_steps,mean_outdoor_temp_c,mean_zone_operative_temp_c,mean_zone_rh_pct,mean_zone_cooling_rate_w,mean_p_tail,high_tail_pct
ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,25--30,5743,27.778189535086188,25.616286762896557,50.312006351327035,105723.09694851049,0.10090671803123205,4.753613094201637
ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,30--35,4215,32.09776868327402,26.24724811659179,50.97551080500634,118234.70989571647,0.13825713732364167,17.200474495848162
ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,>=35,3023,38.71825917962289,27.135073539971337,53.67901249782075,115040.15552052791,0.20861507209939234,46.046973205425076
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,<20,1267,16.446272691397,24.79323295709865,39.38357168666494,77122.88946309,0.07824457527605792,0.0
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,20--25,2163,22.871830790568655,25.292362694067055,46.750871884302924,100618.49581904133,0.08459099847130164,0.27739251040221913
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,25--30,4555,27.78929473106476,25.811614592315642,51.0913762417957,106019.0356134186,0.10942469194793833,8.957189901207464
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,30--35,5454,32.31870737073707,26.56301291416717,51.72683642837513,116198.11301557372,0.16093620451507834,27.796112944627797
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,>=35,3265,38.06095712098009,27.091245877211648,53.43854703538979,116322.55179861694,0.19957514172560625,43.52220520673813
ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,<20,1267,16.446272691397,24.79323295709865,39.38357168666494,77122.88946309,0.07824457527605792,0.0
ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,20--25,2163,22.871830790568655,25.292362694067055,46.750871884302924,100618.49581904133,0.08459099847130164,0.27739251040221913
