left,right,spearman_rho_mean,spearman_rho_median,spearman_rho_q25,spearman_rho_q75,n_units,positive_case_pct
epw_ghi_w_m2,mean_operative_temp_c,0.5218174721546701,0.5246249413343245,0.5023341855246709,0.5469329861750457,144,100.0
epw_ghi_w_m2,zone_cooling_rate_w,0.6777996481775084,0.6787369917422588,0.6551443218252175,0.7095855591096161,144,100.0
epw_outdoor_rh_pct,mean_rh_pct,0.2391178019442314,0.2753857631530392,0.05612576849226987,0.480211388080047,144,83.33333333333334
mean_operative_temp_c,cold_discomfort_probability,-0.6641813593799202,-0.8748632156883132,-0.9232235474687861,-0.28771588530777287,144,4.166666666666666
mean_operative_temp_c,discomfort_probability,0.7434934692486271,0.8550352034881166,0.7943008297964579,0.9173950393094141,144,93.05555555555556
mean_operative_temp_c,warm_discomfort_probability,0.753099177916036,0.8927698511051521,0.7446008741921535,0.9413604395457025,144,93.75
mean_rh_pct,discomfort_probability,0.3797397742830155,0.48119355166109634,0.3461078609383188,0.5599090997726838,144,90.27777777777779
outdoor_temp_c,mean_operative_temp_c,0.8026138194516922,0.8241839312842804,0.7534762654001519,0.8972496628411304,144,100.0
outdoor_temp_c,zone_cooling_rate_w,0.5410041819204642,0.5838912141048708,0.3514532076490769,0.7105160936840802,144,100.0
zone_cooling_rate_w,discomfort_probability,0.46924601039236336,0.5742828793697614,0.41072393221506115,0.6293824373004923,144,92.36111111111111
