case_id,left,right,spearman_rho,n_hours
ahmedabad_ssp245_late_2080s_hot_2081,mean_operative_temp_c,discomfort_probability,0.9435974902259445,4437
ahmedabad_ssp245_late_2080s_hot_2081,mean_operative_temp_c,warm_discomfort_probability,0.9548130113803814,4437
ahmedabad_ssp245_late_2080s_hot_2081,mean_operative_temp_c,cold_discomfort_probability,-0.9414776056681429,4437
ahmedabad_ssp245_late_2080s_hot_2081,mean_rh_pct,discomfort_probability,0.4875010028973367,4437
ahmedabad_ssp245_late_2080s_hot_2081,zone_cooling_rate_w,discomfort_probability,0.41072393221506115,4437
ahmedabad_ssp245_late_2080s_typical_2086,outdoor_temp_c,mean_operative_temp_c,0.6285357729901123,4437
ahmedabad_ssp245_late_2080s_typical_2086,outdoor_temp_c,zone_cooling_rate_w,0.29864479821593953,4437
ahmedabad_ssp245_late_2080s_typical_2086,epw_ghi_w_m2,mean_operative_temp_c,0.5539229376084573,4437
ahmedabad_ssp245_late_2080s_typical_2086,epw_ghi_w_m2,zone_cooling_rate_w,0.6765015168505498,4437
ahmedabad_ssp245_late_2080s_typical_2086,epw_outdoor_rh_pct,mean_rh_pct,0.39468559716794194,4437
ahmedabad_ssp245_late_2080s_typical_2086,mean_operative_temp_c,discomfort_probability,0.9326129823387491,4437
ahmedabad_ssp245_late_2080s_typical_2086,mean_operative_temp_c,warm_discomfort_probability,0.9392746218634074,4437
ahmedabad_ssp245_late_2080s_typical_2086,mean_operative_temp_c,cold_discomfort_probability,-0.8875018239201545,4437
ahmedabad_ssp245_late_2080s_typical_2086,mean_rh_pct,discomfort_probability,0.2865811821873007,4437
ahmedabad_ssp245_late_2080s_typical_2086,zone_cooling_rate_w,discomfort_probability,0.5468376622325118,4437
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,outdoor_temp_c,mean_operative_temp_c,0.6072367558630131,4437
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,outdoor_temp_c,zone_cooling_rate_w,0.30308136712977396,4437
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,epw_ghi_w_m2,mean_operative_temp_c,0.5093162534764835,4437
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,epw_ghi_w_m2,zone_cooling_rate_w,0.6457486425755624,4437
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,epw_outdoor_rh_pct,mean_rh_pct,0.480211388080047,4437
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,mean_operative_temp_c,discomfort_probability,0.9297611422179909,4437
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,mean_operative_temp_c,warm_discomfort_probability,0.9401358661378385,4437
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,mean_operative_temp_c,cold_discomfort_probability,-0.9193342157674248,4437
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,mean_rh_pct,discomfort_probability,0.44107784950278817,4437
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,zone_cooling_rate_w,discomfort_probability,0.4233495723817641,4437
ahmedabad_ssp245_mid_2050s_hot_2059,outdoor_temp_c,mean_operative_temp_c,0.6072367558630131,4437
ahmedabad_ssp245_mid_2050s_hot_2059,outdoor_temp_c,zone_cooling_rate_w,0.30308136712977396,4437
ahmedabad_ssp245_mid_2050s_hot_2059,epw_ghi_w_m2,mean_operative_temp_c,0.5093162534764835,4437
ahmedabad_ssp245_mid_2050s_hot_2059,epw_ghi_w_m2,zone_cooling_rate_w,0.6457486425755624,4437
ahmedabad_ssp245_mid_2050s_hot_2059,epw_outdoor_rh_pct,mean_rh_pct,0.480211388080047,4437
ahmedabad_ssp245_mid_2050s_hot_2059,mean_operative_temp_c,discomfort_probability,0.9297611422179909,4437
ahmedabad_ssp245_mid_2050s_hot_2059,mean_operative_temp_c,warm_discomfort_probability,0.9401358661378385,4437
ahmedabad_ssp245_mid_2050s_hot_2059,mean_operative_temp_c,cold_discomfort_probability,-0.9193342157674248,4437
ahmedabad_ssp245_mid_2050s_hot_2059,mean_rh_pct,discomfort_probability,0.44107784950278817,4437
ahmedabad_ssp245_mid_2050s_hot_2059,zone_cooling_rate_w,discomfort_probability,0.4233495723817641,4437
ahmedabad_ssp245_mid_2050s_typical_2058,outdoor_temp_c,mean_operative_temp_c,0.5553100593641969,4437
ahmedabad_ssp245_mid_2050s_typical_2058,outdoor_temp_c,zone_cooling_rate_w,0.27821339290487973,4437
ahmedabad_ssp245_mid_2050s_typical_2058,epw_ghi_w_m2,mean_operative_temp_c,0.5471241868090659,4437
ahmedabad_ssp245_mid_2050s_typical_2058,epw_ghi_w_m2,zone_cooling_rate_w,0.6980275808584847,4437
ahmedabad_ssp245_mid_2050s_typical_2058,epw_outdoor_rh_pct,mean_rh_pct,0.468530384318519,4437
ahmedabad_ssp245_mid_2050s_typical_2058,mean_operative_temp_c,discomfort_probability,0.8725650138750978,4437
ahmedabad_ssp245_mid_2050s_typical_2058,mean_operative_temp_c,warm_discomfort_probability,0.8949269713504681,4437
ahmedabad_ssp245_mid_2050s_typical_2058,mean_operative_temp_c,cold_discomfort_probability,-0.9114876783511547,4437
ahmedabad_ssp245_mid_2050s_typical_2058,mean_rh_pct,discomfort_probability,0.2094009947142655,4437
ahmedabad_ssp245_mid_2050s_typical_2058,zone_cooling_rate_w,discomfort_probability,0.5207879941070085,4437
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,outdoor_temp_c,mean_operative_temp_c,0.5696258701440919,4437
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,outdoor_temp_c,zone_cooling_rate_w,0.27874867822181004,4437
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,epw_ghi_w_m2,mean_operative_temp_c,0.5127438022354142,4437
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,epw_ghi_w_m2,zone_cooling_rate_w,0.6713223262370618,4437
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,epw_outdoor_rh_pct,mean_rh_pct,0.465929021941906,4437
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,mean_operative_temp_c,discomfort_probability,0.9145808848741122,4437
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,mean_operative_temp_c,warm_discomfort_probability,0.9293638774438985,4437
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,mean_operative_temp_c,cold_discomfort_probability,-0.9018770386034474,4437
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,mean_rh_pct,discomfort_probability,0.376959224738221,4437
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,zone_cooling_rate_w,discomfort_probability,0.49642543722794846,4437
ahmedabad_ssp245_near_2030s_hot_2034,outdoor_temp_c,mean_operative_temp_c,0.5696258701440919,4437
ahmedabad_ssp245_near_2030s_hot_2034,outdoor_temp_c,zone_cooling_rate_w,0.27874867822181004,4437
ahmedabad_ssp245_near_2030s_hot_2034,epw_ghi_w_m2,mean_operative_temp_c,0.5127438022354142,4437
ahmedabad_ssp245_near_2030s_hot_2034,epw_ghi_w_m2,zone_cooling_rate_w,0.6713223262370618,4437
ahmedabad_ssp245_near_2030s_hot_2034,epw_outdoor_rh_pct,mean_rh_pct,0.465929021941906,4437
ahmedabad_ssp245_near_2030s_hot_2034,mean_operative_temp_c,discomfort_probability,0.9145808848741122,4437
ahmedabad_ssp245_near_2030s_hot_2034,mean_operative_temp_c,warm_discomfort_probability,0.9293638774438985,4437
ahmedabad_ssp245_near_2030s_hot_2034,mean_operative_temp_c,cold_discomfort_probability,-0.9018770386034474,4437
ahmedabad_ssp245_near_2030s_hot_2034,mean_rh_pct,discomfort_probability,0.376959224738221,4437
ahmedabad_ssp245_near_2030s_hot_2034,zone_cooling_rate_w,discomfort_probability,0.49642543722794846,4437
ahmedabad_ssp245_near_2030s_typical_2032,outdoor_temp_c,mean_operative_temp_c,0.5472180850171984,4437
ahmedabad_ssp245_near_2030s_typical_2032,outdoor_temp_c,zone_cooling_rate_w,0.32842487840442475,4437
ahmedabad_ssp245_near_2030s_typical_2032,epw_ghi_w_m2,mean_operative_temp_c,0.528729584086985,4437
ahmedabad_ssp245_near_2030s_typical_2032,epw_ghi_w_m2,zone_cooling_rate_w,0.6927410529109871,4437
ahmedabad_ssp245_near_2030s_typical_2032,epw_outdoor_rh_pct,mean_rh_pct,0.4929853808394308,4437
ahmedabad_ssp245_near_2030s_typical_2032,mean_operative_temp_c,discomfort_probability,0.8433157202351017,4437
ahmedabad_ssp245_near_2030s_typical_2032,mean_operative_temp_c,warm_discomfort_probability,0.8680069783445253,4437
ahmedabad_ssp245_near_2030s_typical_2032,mean_operative_temp_c,cold_discomfort_probability,-0.8841287866943477,4437
ahmedabad_ssp245_near_2030s_typical_2032,mean_rh_pct,discomfort_probability,0.30366901400612734,4437
ahmedabad_ssp245_near_2030s_typical_2032,zone_cooling_rate_w,discomfort_probability,0.468353761560564,4437
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,outdoor_temp_c,mean_operative_temp_c,0.5509532468693843,4437
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,outdoor_temp_c,zone_cooling_rate_w,0.31134454690465646,4437
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,epw_ghi_w_m2,mean_operative_temp_c,0.4637112851566384,4437
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,epw_ghi_w_m2,zone_cooling_rate_w,0.612493029476648,4437
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,epw_outdoor_rh_pct,mean_rh_pct,0.5444906539092607,4437
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,mean_operative_temp_c,discomfort_probability,0.9074103125277284,4437
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,mean_operative_temp_c,warm_discomfort_probability,0.9194389292178311,4437
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,mean_operative_temp_c,cold_discomfort_probability,-0.9296829468374413,4437
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,mean_rh_pct,discomfort_probability,0.5668758289566437,4437
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,zone_cooling_rate_w,discomfort_probability,0.33066881462378883,4437
ahmedabad_ssp585_baseline_2020s_hot_2027,outdoor_temp_c,mean_operative_temp_c,0.5509532468693843,4437
ahmedabad_ssp585_baseline_2020s_hot_2027,outdoor_temp_c,zone_cooling_rate_w,0.31134454690465646,4437
ahmedabad_ssp585_baseline_2020s_hot_2027,epw_ghi_w_m2,mean_operative_temp_c,0.4637112851566384,4437
ahmedabad_ssp585_baseline_2020s_hot_2027,epw_ghi_w_m2,zone_cooling_rate_w,0.612493029476648,4437
ahmedabad_ssp585_baseline_2020s_hot_2027,epw_outdoor_rh_pct,mean_rh_pct,0.5444906539092607,4437
ahmedabad_ssp585_baseline_2020s_hot_2027,mean_operative_temp_c,discomfort_probability,0.9074103125277284,4437
ahmedabad_ssp585_baseline_2020s_hot_2027,mean_operative_temp_c,warm_discomfort_probability,0.9194389292178311,4437
ahmedabad_ssp585_baseline_2020s_hot_2027,mean_operative_temp_c,cold_discomfort_probability,-0.9296829468374413,4437
ahmedabad_ssp585_baseline_2020s_hot_2027,mean_rh_pct,discomfort_probability,0.5668758289566437,4437
ahmedabad_ssp585_baseline_2020s_hot_2027,zone_cooling_rate_w,discomfort_probability,0.33066881462378883,4437
ahmedabad_ssp585_baseline_2020s_typical_2025,outdoor_temp_c,mean_operative_temp_c,0.5657644510029495,4437
ahmedabad_ssp585_baseline_2020s_typical_2025,outdoor_temp_c,zone_cooling_rate_w,0.2984110979308632,4437
ahmedabad_ssp585_baseline_2020s_typical_2025,epw_ghi_w_m2,mean_operative_temp_c,0.5136705743849579,4437
ahmedabad_ssp585_baseline_2020s_typical_2025,epw_ghi_w_m2,zone_cooling_rate_w,0.6717719267023494,4437
ahmedabad_ssp585_baseline_2020s_typical_2025,epw_outdoor_rh_pct,mean_rh_pct,0.4903721139076904,4437
ahmedabad_ssp585_baseline_2020s_typical_2025,mean_operative_temp_c,discomfort_probability,0.9114083643161357,4437
ahmedabad_ssp585_baseline_2020s_typical_2025,mean_operative_temp_c,warm_discomfort_probability,0.9275697784046136,4437
ahmedabad_ssp585_baseline_2020s_typical_2025,mean_operative_temp_c,cold_discomfort_probability,-0.9079408255895778,4437
ahmedabad_ssp585_baseline_2020s_typical_2025,mean_rh_pct,discomfort_probability,0.3569401117139504,4437
ahmedabad_ssp585_baseline_2020s_typical_2025,zone_cooling_rate_w,discomfort_probability,0.48826537899442884,4437
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,outdoor_temp_c,mean_operative_temp_c,0.6485240540816282,4437
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,outdoor_temp_c,zone_cooling_rate_w,0.12775047991175964,4437
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,epw_ghi_w_m2,mean_operative_temp_c,0.4413551186649429,4437
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,epw_ghi_w_m2,zone_cooling_rate_w,0.5828440545658085,4437
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,epw_outdoor_rh_pct,mean_rh_pct,0.4688780832603809,4437
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,mean_operative_temp_c,discomfort_probability,0.977049617994172,4437
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,mean_operative_temp_c,warm_discomfort_probability,0.9821578919025028,4437
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,mean_operative_temp_c,cold_discomfort_probability,-0.9466819631116046,4437
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,mean_rh_pct,discomfort_probability,0.5899976703217984,4437
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,zone_cooling_rate_w,discomfort_probability,0.26766986753149363,4437
ahmedabad_ssp585_late_2080s_hot_2088,outdoor_temp_c,mean_operative_temp_c,0.6485240540816282,4437
ahmedabad_ssp585_late_2080s_hot_2088,outdoor_temp_c,zone_cooling_rate_w,0.12775047991175964,4437
ahmedabad_ssp585_late_2080s_hot_2088,epw_ghi_w_m2,mean_operative_temp_c,0.4413551186649429,4437
ahmedabad_ssp585_late_2080s_hot_2088,epw_ghi_w_m2,zone_cooling_rate_w,0.5828440545658085,4437
ahmedabad_ssp585_late_2080s_hot_2088,epw_outdoor_rh_pct,mean_rh_pct,0.4688780832603809,4437
ahmedabad_ssp585_late_2080s_hot_2088,mean_operative_temp_c,discomfort_probability,0.977049617994172,4437
ahmedabad_ssp585_late_2080s_hot_2088,mean_operative_temp_c,warm_discomfort_probability,0.9821578919025028,4437
ahmedabad_ssp585_late_2080s_hot_2088,mean_operative_temp_c,cold_discomfort_probability,-0.9466819631116046,4437
ahmedabad_ssp585_late_2080s_hot_2088,mean_rh_pct,discomfort_probability,0.5899976703217984,4437
ahmedabad_ssp585_late_2080s_hot_2088,zone_cooling_rate_w,discomfort_probability,0.26766986753149363,4437
ahmedabad_ssp585_late_2080s_typical_2087,outdoor_temp_c,mean_operative_temp_c,0.6009284486084471,4437
ahmedabad_ssp585_late_2080s_typical_2087,outdoor_temp_c,zone_cooling_rate_w,0.24659822220702526,4437
ahmedabad_ssp585_late_2080s_typical_2087,epw_ghi_w_m2,mean_operative_temp_c,0.498406699518387,4437
ahmedabad_ssp585_late_2080s_typical_2087,epw_ghi_w_m2,zone_cooling_rate_w,0.6660435328112106,4437
ahmedabad_ssp585_late_2080s_typical_2087,epw_outdoor_rh_pct,mean_rh_pct,0.4521754769453579,4437
ahmedabad_ssp585_late_2080s_typical_2087,mean_operative_temp_c,discomfort_probability,0.9514304092756305,4437
ahmedabad_ssp585_late_2080s_typical_2087,mean_operative_temp_c,warm_discomfort_probability,0.9557936811317894,4437
ahmedabad_ssp585_late_2080s_typical_2087,mean_operative_temp_c,cold_discomfort_probability,-0.9107655404577859,4437
ahmedabad_ssp585_late_2080s_typical_2087,mean_rh_pct,discomfort_probability,0.400227537224256,4437
ahmedabad_ssp585_late_2080s_typical_2087,zone_cooling_rate_w,discomfort_probability,0.47622825285119663,4437
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,outdoor_temp_c,mean_operative_temp_c,0.5966576362860414,4437
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,outdoor_temp_c,zone_cooling_rate_w,0.28428502920660353,4437
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,epw_ghi_w_m2,mean_operative_temp_c,0.49531771730448115,4437
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,epw_ghi_w_m2,zone_cooling_rate_w,0.6513154962655213,4437
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,epw_outdoor_rh_pct,mean_rh_pct,0.48117944942017987,4437
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,mean_operative_temp_c,discomfort_probability,0.9211634202816505,4437
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,mean_operative_temp_c,warm_discomfort_probability,0.9319830651529519,4437
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,mean_operative_temp_c,cold_discomfort_probability,-0.9119744545575792,4437
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,mean_rh_pct,discomfort_probability,0.4299161427414293,4437
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,zone_cooling_rate_w,discomfort_probability,0.4384206519192901,4437
ahmedabad_ssp585_mid_2050s_hot_2050,outdoor_temp_c,mean_operative_temp_c,0.6141316383889021,4437
ahmedabad_ssp585_mid_2050s_hot_2050,outdoor_temp_c,zone_cooling_rate_w,0.27209373819627874,4437
ahmedabad_ssp585_mid_2050s_hot_2050,epw_ghi_w_m2,mean_operative_temp_c,0.5022766612449757,4437
ahmedabad_ssp585_mid_2050s_hot_2050,epw_ghi_w_m2,zone_cooling_rate_w,0.6628008579726836,4437
ahmedabad_ssp585_mid_2050s_hot_2050,epw_outdoor_rh_pct,mean_rh_pct,0.463633821101745,4437
ahmedabad_ssp585_mid_2050s_hot_2050,mean_operative_temp_c,discomfort_probability,0.9353349056869976,4437
ahmedabad_ssp585_mid_2050s_hot_2050,mean_operative_temp_c,warm_discomfort_probability,0.9487830142641854,4437
ahmedabad_ssp585_mid_2050s_hot_2050,mean_operative_temp_c,cold_discomfort_probability,-0.9375503660538369,4437
ahmedabad_ssp585_mid_2050s_hot_2050,mean_rh_pct,discomfort_probability,0.4488511813867852,4437
ahmedabad_ssp585_mid_2050s_hot_2050,zone_cooling_rate_w,discomfort_probability,0.453703650578047,4437
ahmedabad_ssp585_mid_2050s_typical_2055,outdoor_temp_c,mean_operative_temp_c,0.5577029350188556,4437
ahmedabad_ssp585_mid_2050s_typical_2055,outdoor_temp_c,zone_cooling_rate_w,0.29996769168916093,4437
ahmedabad_ssp585_mid_2050s_typical_2055,epw_ghi_w_m2,mean_operative_temp_c,0.57232697256349,4437
ahmedabad_ssp585_mid_2050s_typical_2055,epw_ghi_w_m2,zone_cooling_rate_w,0.7012274676557789,4437
ahmedabad_ssp585_mid_2050s_typical_2055,epw_outdoor_rh_pct,mean_rh_pct,0.4444291326332411,4437
ahmedabad_ssp585_mid_2050s_typical_2055,mean_operative_temp_c,discomfort_probability,0.8801326510710094,4437
ahmedabad_ssp585_mid_2050s_typical_2055,mean_operative_temp_c,warm_discomfort_probability,0.8989130463679493,4437
