city,scenario,annual_mean_temp_c_baseline,annual_ghi_kwh_m2_baseline,annual_mean_rh_pct_baseline,mean_zone_operative_temp_c_occ_baseline,mean_zone_rh_pct_occ_baseline,mean_zone_cooling_rate_w_occ_baseline,mean_p_tail_occ_baseline,high_tail_pct_occ_baseline,annual_mean_temp_c_late,annual_ghi_kwh_m2_late,annual_mean_rh_pct_late,mean_zone_operative_temp_c_occ_late,mean_zone_rh_pct_occ_late,mean_zone_cooling_rate_w_occ_late,mean_p_tail_occ_late,high_tail_pct_occ_late,delta_annual_mean_temp_c,delta_annual_ghi_kwh_m2,delta_annual_mean_rh_pct,delta_mean_zone_operative_temp_c_occ,delta_mean_zone_rh_pct_occ,delta_mean_zone_cooling_rate_w_occ,delta_mean_p_tail_occ,delta_high_tail_pct_occ
Ahmedabad,ssp245,28.097733447488583,1987.025,56.36837899543379,25.99635308088444,50.1299147726061,108646.33324568643,0.12299971237467058,13.9786877394636,28.540844748858447,1979.1865,56.39098173515981,26.083296970820737,50.652465885045046,108894.07258980989,0.13219530703603666,17.103687739463602,0.4431113013698642,-7.838500000000067,0.022602739726025334,0.08694388993629687,0.522551112438947,247.7393441234599,0.009195594661366074,3.1250000000000018
Ahmedabad,ssp585,28.00894292237443,2029.532,56.37619863013698,26.12620098079754,49.768865759251696,107800.44390530119,0.13352528226291185,18.573395593869733,29.71252575198992,1947.6264999999999,56.380506899219,26.326010154097105,51.52280144071418,109649.66514338032,0.1503264997610885,23.811661877394634,1.7035828296154882,-81.90550000000007,0.004308269082017091,0.19980917329956327,1.7539356814624867,1849.2212380791316,0.016801217498176646,5.238266283524901
Beijing,ssp245,13.434307077625572,1561.328,56.214383561643835,24.25485737268572,33.728792092566266,69164.20480772607,0.08490115892972233,1.9187021072796935,15.567075924158495,1710.7225,56.20817098959503,24.775915537037996,35.74779719939848,75501.45448057633,0.10605971403112532,10.264008620689655,2.1327688465329224,149.3945000000001,-0.006212572048802656,0.5210581643522758,2.0190051068322106,6337.249672850259,0.021158555101402993,8.34530651340996
Beijing,ssp585,12.81191095890411,1559.163,56.2587899543379,24.14478355842948,33.28924918531888,68046.16648372184,0.08430854341512159,1.4397749042145593,17.230156193078322,1636.4544999999998,56.22466642338499,24.92843684097072,37.51657810791016,77993.18885459052,0.10971627038997843,11.147030651340996,4.418245234174213,77.29149999999981,-0.034123530952911096,0.7836532825412377,4.227328922591283,9947.022370868683,0.02540772697485684,9.707255747126437
Guangzhou,ssp245,23.441602945579756,1572.6523333333334,72.02325949630296,25.321298357063938,49.793630129553236,91493.65509803931,0.0888761125168362,5.938697318007662,24.9352819281217,1715.6170000000002,72.03162724255809,25.80950107617106,51.296386553460856,96382.73431406729,0.11547396113517183,15.146072796934865,1.4936789825419439,142.96466666666674,0.008367746255132147,0.48820271910712165,1.5027564239076199,4889.079216027982,0.026597848618335626,9.207375478927203
Guangzhou,ssp585,23.16754656245062,1588.1850000000002,72.02029145977328,25.3477378532972,49.74631765406477,90504.1986084234,0.09243072462206627,6.65110153256705,26.94151883561644,1789.1545,72.03852739726028,26.367131539332213,53.048091495836985,100028.50523195806,0.15156143895589408,28.56800766283525,3.7739722731658176,200.96949999999993,0.018235937487006026,1.0193936860350128,3.301773841772217,9524.306623534663,0.059130714333827814,21.9169061302682
Houston,ssp245,21.996016552511414,1811.1395,74.04571917808218,25.269295942112432,49.63036597812419,89826.9214391034,0.09058048072435052,6.154214559386973,22.804,1803.5289999999998,74.03671993911719,25.531198717553348,50.443109993031065,90919.89238674928,0.10691918698249821,13.485791826309068,0.807983447488585,-7.610500000000229,-0.008999238964989331,0.261902775440916,0.8127440149068761,1092.970947645881,0.016338706258147692,7.331577266922095
Houston,ssp585,21.402536529680365,1809.5555,73.99183789954338,25.331565769492933,48.789153795175224,87583.20830032686,0.09845121219480288,9.67432950191571,24.318216991666038,1806.7306666666666,74.03634659530404,25.920381425140565,51.69278066807982,93180.65556818298,0.13204822509578848,23.399584929757342,2.915680461985673,-2.824833333333345,0.04450869576065486,0.5888156556476325,2.9036268729045958,5597.447267856114,0.0335970129009856,13.725255427841633
Kolkata,ssp245,26.23388080445143,1690.6893333333335,75.42837444169973,25.874849964509963,53.16713184992974,98915.27816674311,0.11451775936647146,13.491778416347382,27.497121562866482,1716.4533333333331,75.42987280734586,26.251047611594235,54.27427471280769,100717.25571679692,0.1394998766984571,23.756784802043423,1.2632407584150513,25.76399999999967,0.0014983656461282635,0.37619764708427184,1.10714286287795,1801.977550053809,0.02498211733198563,10.265006385696042
Kolkata,ssp585,25.591398782343987,1645.571,75.42324961948249,25.623462445413395,52.37272716797715,97665.25811777258,0.09853922570700187,8.389208173690932,29.208272996357014,1759.4975,75.42338342440802,26.726467824792895,55.67679985106693,103222.7896251284,0.16725968928052776,33.83022030651341,3.616874214013027,113.92650000000003,0.00013380492552528267,1.1030053793794998,3.304072683089778,5557.531507355816,0.06872046357352589,25.44101213282248
Phoenix,ssp245,24.71229183717178,2133.3799999999997,33.60450258252863,25.372382054183536,35.04114899205887,104533.51702508207,0.10890804295053279,5.543582375478927,26.49271061643836,2132.9629999999997,33.6037100456621,25.68431699805813,37.305069305778666,107937.41072477835,0.13288958007608553,14.47557471264368,1.7804187792665793,-0.4169999999999163,-0.0007925368665340216,0.31193494387459353,2.263920313719794,3403.8936996962875,0.023981537125552746,8.931992337164752
Phoenix,ssp585,25.3284651826484,2105.328,33.522773972602735,25.480983059524767,35.57128473100413,104929.86234960689,0.1189473159016274,9.731202107279692,28.639890030441403,2055.0243333333333,33.59063926940639,26.073074516495108,39.80516672196795,108667.0928958032,0.16758797879054996,26.123483397190295,3.3114248477930026,-50.303666666666686,0.06786529680365305,0.5920914569703406,4.233881990963823,3737.2305461963115,0.04864066288892256,16.392281289910603
