weather,city,scenario_raw,time_slice,severity,weather_year,rows,mean_agg_p_tail_spread_mean,mean_agg_p_tail_spread_p95,max_zone_p_tail_spread_mean,max_zone_p_tail_spread_p95,mean_agg_threshold_flip_rows,mean_agg_threshold_flip_pct,max_zone_threshold_flip_rows,max_zone_threshold_flip_pct,sreal_mean_hidden_rows,sreal_mean_hidden_pct,sreal_zone_hidden_rows,sreal_zone_hidden_pct,direction_flip_rows,direction_flip_pct,sreal_mean_high_tail_pct,sreal_any_zone_high_tail_pct
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,16704,0.08878825604915619,0.2177036769688129,0.1896681934595108,0.35260722041130066,5336,31.944444444444443,8237,49.31154214559387,5311,31.794779693486593,7669,45.91115900383142,3103,18.57638888888889,1.9276819923371646,22.44971264367816
ahmedabad_ssp245_baseline_2020s_hot_2029,Ahmedabad,ssp245,baseline_2020s,hot,2029,16704,0.08878825604915619,0.2177036769688129,0.1896681934595108,0.35260722041130066,5336,31.944444444444443,8237,49.31154214559387,5311,31.794779693486593,7669,45.91115900383142,3103,18.57638888888889,1.9276819923371646,22.44971264367816
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,16704,0.07041174173355103,0.17959837540984153,0.17029930651187897,0.3757476508617401,3644,21.81513409961686,7537,45.120929118773944,3632,21.743295019157088,7043,42.16355363984675,3981,23.832614942528735,0.5328065134099617,16.073994252873565
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,16704,0.09000853449106216,0.2211488418281078,0.19731928408145905,0.3747448474168771,5402,32.339559386973185,8781,52.56824712643679,5383,32.22581417624521,8196,49.06609195402299,3094,18.52250957854406,2.7658045977011496,24.14990421455939
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,16704,0.09000853449106216,0.2211488418281078,0.19731928408145905,0.3747448474168771,5402,32.339559386973185,8781,52.56824712643679,5383,32.22581417624521,8196,49.06609195402299,3094,18.52250957854406,2.7658045977011496,24.14990421455939
ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,16704,0.07771019637584686,0.2157826893031597,0.17837442457675934,0.3831954002380371,3692,22.10249042145594,7069,42.31920498084291,3647,21.8330938697318,6410,38.37404214559387,3599,21.54573754789272,4.4959291187739465,21.384099616858236
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,16704,0.08624222129583359,0.22463904842734336,0.1854490339756012,0.36813581883907215,4145,24.81441570881226,7487,44.82159961685824,4101,24.551005747126435,6950,41.60680076628353,3358,20.102969348659002,6.082375478927203,24.14990421455939
ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,16704,0.08624222129583359,0.22463904842734336,0.1854490339756012,0.36813581883907215,4145,24.81441570881226,7487,44.82159961685824,4101,24.551005747126435,6950,41.60680076628353,3358,20.102969348659002,6.082375478927203,24.14990421455939
ahmedabad_ssp245_mid_2050s_typical_2058,Ahmedabad,ssp245,mid_2050s,typical,2058,16704,0.07116298377513885,0.18417976871132843,0.16967792809009552,0.3635648772120465,3790,22.689176245210728,7571,45.32447318007663,3783,22.64727011494253,6987,41.82830459770115,3714,22.23419540229885,0.7004310344827587,15.247844827586206
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,Ahmedabad,ssp245,near_2030s,heatwave_extreme,2034,16704,0.07423140853643417,0.2040892228484153,0.17394734919071198,0.36966729164123535,3556,21.28831417624521,7588,45.42624521072797,3530,21.132662835249043,7006,41.94204980842912,3809,22.802921455938694,1.7959770114942528,18.52250957854406
