group_scope,model,event,city,n_steps,n_cases,equal_zone_mean_mean,area_weighted_mean_mean,zone_p90_mean,any_zone_mean,cold_equal_mean,warm_equal_mean,cold_area_mean,warm_area_mean,expected_tsv_equal_mean,expected_tsv_area_mean,time_slice,scenario,severity
city,no_pmv_ordinal,broad_tail,Ahmedabad,400896,24,0.1358402795542677,0.12680331967831024,0.21175715553293278,0.2595876345616388,0.023784026790847308,0.11205625276342039,0.024635216290296497,0.10216810338801374,0.36923444350129647,0.3328435801994982,,,
city,no_pmv_ordinal,broad_tail,Beijing,400896,24,0.09728494851718264,0.09938643027738306,0.12522753756300287,0.14714700410712317,0.02531318576095999,0.07197176275622263,0.023850856427267343,0.07553557385011574,0.18823673873568417,0.2131089049288978,,,
city,no_pmv_ordinal,broad_tail,Guangzhou,400896,24,0.11117751563227195,0.10762915711324873,0.15079403468139715,0.17851721326711975,0.02658843299291682,0.08458908263935515,0.026540088328981217,0.08108906878426751,0.2773012603832031,0.2674792899166242,,,
city,no_pmv_ordinal,broad_tail,Houston,400896,24,0.10829563918513362,0.104056693627053,0.1458289172914012,0.17010431419600838,0.02817881619733484,0.08011682298779878,0.027713079398401834,0.07634361422865119,0.2586639088953721,0.25026298102429023,,,
city,no_pmv_ordinal,broad_tail,Kolkata,400896,24,0.13226364727483636,0.12915493501259098,0.18458446767433673,0.2209737023083069,0.02406282628500868,0.10820082098982768,0.0243639049931569,0.10479103001943409,0.36156532072519904,0.34911276353926374,,,
city,no_pmv_ordinal,broad_tail,Phoenix,400896,24,0.13951699246705615,0.12669557446287247,0.20966241474331543,0.2526864026003732,0.025423793422397298,0.11409319904465884,0.026598531833916854,0.10009704262895562,0.3360452697181615,0.2874299079486165,,,
city,nominal,broad_tail,Ahmedabad,400896,24,0.1445075415442327,0.1362599442387307,0.21811426241369147,0.26059954352953363,0.02945584636446341,0.11505169517976929,0.030766590383062852,0.10549335385566785,0.2946114121733953,0.26232464676193246,,,
city,nominal,broad_tail,Beijing,400896,24,0.09777257177993193,0.10026034456457722,0.13116079613443346,0.15514580254157181,0.02654204231054885,0.07123052946938309,0.02562512226604346,0.07463522229853375,0.14960876634954903,0.1695036192224985,,,
city,nominal,broad_tail,Guangzhou,400896,24,0.11981653445883837,0.11624630182418833,0.16046922070732478,0.1861789619465624,0.030731102516545518,0.08908543194229283,0.03108850232607589,0.08515779949811243,0.20889385256325568,0.19961129320626744,,,
city,nominal,broad_tail,Houston,400896,24,0.11783777654263565,0.1131854608614049,0.15676753807374474,0.17775514726438899,0.031289105045116346,0.08654867149751932,0.031422254997442056,0.08176320586396285,0.1961422477596002,0.18720828093924638,,,
city,nominal,broad_tail,Kolkata,400896,24,0.14360100445086066,0.14074092752080747,0.1970488772042645,0.2294143621828228,0.028754701679914185,0.11484630277094646,0.029304370246838747,0.11143655727396876,0.28815747272003106,0.2769209064718223,,,
city,nominal,broad_tail,Phoenix,400896,24,0.1401528798579484,0.12951032460791173,0.2036856315835174,0.2406129877287955,0.029910931011617212,0.11024194884633119,0.03176257839700351,0.09774774621090822,0.2852756445149744,0.24310625735084693,,,
city,nominal,outermost,Ahmedabad,400896,24,0.03613359829917199,0.03251983435487625,0.06408770723028769,0.08229451078461612,0.0025764102077726245,0.03355718809139937,0.002600581451876193,0.02991925290300005,0.2946114121733953,0.26232464676193246,,,
city,nominal,outermost,Beijing,400896,24,0.02363854613559249,0.023745341910546926,0.03600000921769324,0.045187085272933976,0.0027754021565126376,0.020863143979079856,0.002727555162192313,0.021017786748354618,0.14960876634954903,0.1695036192224985,,,
city,nominal,outermost,Guangzhou,400896,24,0.030433025256758766,0.02900420116135513,0.045522298402386925,0.055991283507849036,0.002659773025620002,0.027773252231138763,0.002671677800759313,0.02633252336059581,0.20889385256325568,0.19961129320626744,,,
