model,tsv,support,argmax_recall,predicted_argmax_share_pct
ordinal,-3,443,0.255079006772009,0.8414705485308014
ordinal,-2,1238,0.06946688206785137,1.025964091256806
ordinal,-1,3755,0.12436750998668442,5.665301714439995
ordinal,0,9834,0.8803131991051454,78.72024479143231
ordinal,1,4064,0.1624015748031496,7.93772217972371
ordinal,2,1982,0.156912209889001,3.829365972190973
ordinal,3,907,0.2392502756339581,1.979930702425415
nominal,-3,443,0.27539503386004516,1.0754623588174412
nominal,-2,1238,0.061389337641357025,0.7289744858929937
nominal,-1,3755,0.10599201065246339,4.360347387841426
nominal,0,9834,0.9039048200122025,81.19065832695856
nominal,1,4064,0.1466535433070866,7.096251631192908
nominal,2,1982,0.13319878910191726,2.9428969986050486
nominal,3,907,0.28996692392502754,2.6054088106916256
