model,event,threshold,scenario,severity,baseline_n_steps,late_n_steps,baseline_equal_zone_mean_high_pct,late_equal_zone_mean_high_pct,late_minus_baseline_equal_zone_mean_high_pct_pp,baseline_area_weighted_mean_high_pct,late_area_weighted_mean_high_pct,late_minus_baseline_area_weighted_mean_high_pct_pp,baseline_zone_p90_high_pct,late_zone_p90_high_pct,late_minus_baseline_zone_p90_high_pct_pp,baseline_any_zone_high_pct,late_any_zone_high_pct,late_minus_baseline_any_zone_high_pct_pp,baseline_hidden_any_zone_pct,late_hidden_any_zone_pct,late_minus_baseline_hidden_any_zone_pct_pp,baseline_hidden_p90_pct,late_hidden_p90_pct,late_minus_baseline_hidden_p90_pct_pp,baseline_area_weighted_zone_time_high_pct,late_area_weighted_zone_time_high_pct,late_minus_baseline_area_weighted_zone_time_high_pct_pp
no_pmv_ordinal,broad_tail,0.05,ssp245,heatwave_extreme,100224,100224,99.28959131545338,99.45522030651341,0.16562899106003215,99.6936861430396,99.75055874840358,0.05687260536397787,99.89024584929757,99.96108716475096,0.0708413154533929,100.0,100.0,0.0,0.7104086845466157,0.54477969348659,-0.1656289910600256,0.600654533844189,0.5068646232439336,-0.09378991060025543,96.60768101739892,96.89088550738931,0.28320448999039627
no_pmv_ordinal,broad_tail,0.05,ssp245,hot,100224,100224,99.1070003192848,99.41131864623244,0.3043183269476515,99.63182471264368,99.75355204342273,0.12172733077905207,99.8882503192848,99.91419220945083,0.025941890166038206,100.0,99.99900223499361,-0.0009977650063888177,0.892999680715198,0.5876835887611749,-0.3053160919540231,0.78125,0.5028735632183908,-0.27837643678160917,96.31395737515817,96.89297584349218,0.5790184683340129
no_pmv_ordinal,broad_tail,0.05,ssp245,typical,100224,100224,98.79769316730524,99.16387292464879,0.366179757343545,99.4901420817369,99.55898786717752,0.06884578544061526,99.80942688378033,99.86430395913155,0.054877075351214444,99.99800446998724,100.0,0.0019955300127634246,1.2003113026819925,0.8361270753512133,-0.36418422733077915,1.011733716475096,0.7004310344827587,-0.31130268199233724,95.81342678604587,96.33756266369339,0.5241358776475238
no_pmv_ordinal,broad_tail,0.05,ssp585,heatwave_extreme,100224,100224,99.16786398467433,99.51508620689656,0.34722222222222854,99.60189176245211,99.8323754789272,0.23048371647509214,99.85233077905492,99.95609833971902,0.10376756066409598,100.0,100.0,0.0,0.8321360153256706,0.4849137931034483,-0.3472222222222223,0.6844667943805876,0.44101213282247764,-0.2434546615581099,96.51435580683989,97.26399338698916,0.749637580149269
no_pmv_ordinal,broad_tail,0.05,ssp585,hot,100224,100224,99.30356002554278,99.38837005108557,0.08481002554279371,99.69568167305236,99.74956098339719,0.053879310344825626,99.90321679438058,99.9511095146871,0.04789272030652114,99.99501117496807,100.0,0.004988825031929878,0.6914511494252874,0.6116299489144317,-0.07982120051085573,0.5996567688378033,0.5627394636015326,-0.03691730523627068,96.52637437127676,96.93908188555437,0.41270751427761354
no_pmv_ordinal,broad_tail,0.05,ssp585,typical,100224,100224,98.92440932311622,99.3175287356322,0.39311941251597204,99.42428959131546,99.64280012771393,0.21851053639846896,99.8333732439336,99.92017879948915,0.08680555555555713,99.99900223499361,99.9940134099617,-0.004988825031915667,1.0745929118773947,0.6764846743295019,-0.3981082375478928,0.908963920817369,0.6026500638569604,-0.3063138569604086,95.93411414768792,96.91372616898684,0.9796120212989194
no_pmv_ordinal,broad_tail,0.06,ssp245,heatwave_extreme,100224,100224,90.5910759897829,92.1186542145594,1.527578224776505,91.65569125159642,92.6823914431673,1.0267001915708818,95.83632662835248,96.67544699872286,0.8391203703703809,97.98551245210729,98.78472222222221,0.7992097701149277,7.394436462324393,6.666068007662836,-0.728368454661557,5.24624840357599,4.558788314176245,-0.6874600893997451,79.0281245545836,81.74324809554967,2.7151235409660757
no_pmv_ordinal,broad_tail,0.06,ssp245,hot,100224,100224,90.68287037037037,91.95202745849298,1.2691570881226113,91.35436621966795,92.6624361430396,1.3080699233716473,95.65573116219667,96.53875319284802,0.8830220306513468,97.89870689655173,98.76776021711366,0.8690533205619317,7.215836526181353,6.8157327586206895,-0.40010376756066357,4.973858556832695,4.586725734355045,-0.3871328224776507,79.27728428776646,81.33373386226836,2.0564495745018974
no_pmv_ordinal,broad_tail,0.06,ssp245,typical,100224,100224,88.64942528735632,90.27777777777779,1.628352490421463,89.65317688378033,90.98219987228607,1.3290229885057414,94.84155491698594,95.55894795657727,0.7173930395913288,97.78097062579822,98.11222860791827,0.3312579821200501,9.13154533844189,7.834450830140486,-1.297094508301405,6.19212962962963,5.284163473818646,-0.9079661558109837,75.92716919544813,78.58554357723104,2.658374381782906
no_pmv_ordinal,broad_tail,0.06,ssp585,heatwave_extreme,100224,100224,90.60504469987228,93.20322477650063,2.5981800766283527,91.64870689655173,93.57638888888889,1.9276819923371562,95.67967752234993,97.25814176245211,1.5784642401021785,98.12420178799489,99.14790868454662,1.0237068965517295,7.519157088122605,5.9446839080459775,-1.5744731800766276,5.077626117496807,4.05691251596424,-1.0207136015325675,78.916272035095,83.60095947444876,4.684687439353752
