weather,city,scenario,time_slice,severity,weather_year,event,threshold,aggregator,n_steps,stored_high_count,corrected_high_count,both_high_count,union_high_count,stored_only_count,corrected_only_count,disagreement_count,stored_high_pct,corrected_high_pct,corrected_minus_stored_pp,disagreement_pct,jaccard
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.09,zone_p90,16704,12031,11895,11527,12399,504,368,872,72.02466475095785,71.21048850574712,-0.8141762452107293,5.220306513409962,0.9296717477215904
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.09,any_zone,16704,14094,13990,13597,14487,497,393,890,84.375,83.75239463601532,-0.622605363984674,5.328065134099616,0.9385656105473873
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.1,equal_zone_mean,16704,8905,8781,8499,9187,406,282,688,53.31058429118774,52.56824712643679,-0.7423371647509502,4.118773946360153,0.9251115706977251
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.1,area_weighted_mean,16704,7962,7811,7541,8232,421,270,691,47.66522988505747,46.76125478927203,-0.9039750957854364,4.136733716475096,0.9160592808551993
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.1,zone_p90,16704,10982,10829,10519,11292,463,310,773,65.74473180076629,64.82878352490421,-0.9159482758620774,4.627634099616858,0.9315444562522139
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.1,any_zone,16704,12851,12741,12442,13150,409,299,708,76.93366858237547,76.27514367816092,-0.6585249042145636,4.238505747126436,0.9461596958174905
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.11,equal_zone_mean,16704,8128,8005,7739,8394,389,266,655,48.65900383141762,47.92265325670498,-0.7363505747126409,3.921216475095785,0.92196807243269
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.11,area_weighted_mean,16704,6904,6767,6526,7145,378,241,619,41.33141762452107,40.51125478927203,-0.8201628352490387,3.705699233716475,0.9133659902029391
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.11,zone_p90,16704,10526,10379,10056,10849,470,323,793,63.01484674329502,62.13481800766284,-0.8800287356321768,4.747365900383142,0.9269057055949858
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.11,any_zone,16704,12699,12582,12279,13002,420,303,723,76.02370689655173,75.32327586206897,-0.7004310344827624,4.328304597701149,0.9443931702814952
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.12,equal_zone_mean,16704,7431,7314,7063,7682,368,251,619,44.486350574712645,43.785919540229884,-0.7004310344827624,3.705699233716475,0.9194220255141891
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.12,area_weighted_mean,16704,5936,5816,5594,6158,342,222,564,35.53639846743295,34.81800766283525,-0.7183908045977017,3.3764367816091956,0.9084118220201364
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.12,zone_p90,16704,9968,9838,9538,10268,430,300,730,59.674329501915715,58.89607279693486,-0.7782567049808509,4.370210727969349,0.9289053369692247
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.12,any_zone,16704,12219,12097,11803,12513,416,294,710,73.15014367816092,72.41977969348659,-0.7303639846743315,4.250478927203065,0.9432590106289459
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.13,equal_zone_mean,16704,6690,6573,6330,6933,360,243,603,40.05028735632184,39.349856321839084,-0.7004310344827569,3.6099137931034484,0.9130246646473388
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.13,area_weighted_mean,16704,5141,5016,4858,5299,283,158,441,30.777059386973182,30.028735632183906,-0.7483237547892763,2.6400862068965516,0.916776750330251
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.13,zone_p90,16704,9385,9270,9001,9654,384,269,653,56.184147509578544,55.495689655172406,-0.6884578544061326,3.9092432950191567,0.9323596436710172
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.13,any_zone,16704,11214,11089,10799,11504,415,290,705,67.13362068965517,66.3852969348659,-0.7483237547892707,4.220545977011494,0.9387169680111266
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.14,equal_zone_mean,16704,5980,5863,5629,6214,351,234,585,35.79980842911878,35.099377394636015,-0.7004310344827569,3.5021551724137927,0.9058577405857741
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.14,area_weighted_mean,16704,4611,4493,4344,4760,267,149,416,27.604166666666668,26.89774904214559,-0.7064176245210774,2.490421455938697,0.9126050420168067
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.14,zone_p90,16704,9277,9164,8906,9535,371,258,629,55.53759578544061,54.861111111111114,-0.6764846743294917,3.765565134099617,0.9340325117986366
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.14,any_zone,16704,11063,10945,10669,11339,394,276,670,66.22964559386973,65.52322796934867,-0.7064176245210718,4.011015325670498,0.9409118969926802
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.15,equal_zone_mean,16704,5259,5145,4921,5483,338,224,562,31.483477011494255,30.801005747126435,-0.6824712643678177,3.364463601532567,0.8975013678643079
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.15,area_weighted_mean,16704,4180,4060,3937,4303,243,123,366,25.023946360153253,24.305555555555554,-0.7183908045976989,2.1910919540229887,0.9149430629793167
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.15,zone_p90,16704,9178,9070,8814,9434,364,256,620,54.94492337164751,54.29837164750958,-0.6465517241379337,3.7116858237547894,0.9342802628789485
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.15,any_zone,16704,10995,10878,10608,11265,387,270,657,65.82255747126436,65.12212643678161,-0.7004310344827513,3.9331896551724137,0.9416777629826898
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.16,equal_zone_mean,16704,4603,4495,4309,4789,294,186,480,27.556273946360154,26.90972222222222,-0.6465517241379337,2.8735632183908044,0.899770306953435
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.16,area_weighted_mean,16704,3856,3737,3624,3969,232,113,345,23.084291187739463,22.37188697318008,-0.7124042145593867,2.0653735632183907,0.9130763416477702
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.16,zone_p90,16704,9042,8934,8679,9297,363,255,618,54.13074712643679,53.48419540229885,-0.6465517241379337,3.699712643678161,0.9335269441755405
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.16,any_zone,16704,10788,10683,10429,11042,359,254,613,64.58333333333334,63.95474137931034,-0.6285919540229945,3.6697796934865896,0.9444846948016664
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.17,equal_zone_mean,16704,4129,4025,3855,4299,274,170,444,24.718630268199234,24.09602490421456,-0.6226053639846768,2.658045977011494,0.8967201674808095
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.17,area_weighted_mean,16704,3564,3452,3345,3671,219,107,326,21.336206896551722,20.665708812260537,-0.6704980842911878,1.9516283524904217,0.911195859438845
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.17,zone_p90,16704,8705,8592,8333,8964,372,259,631,52.11326628352491,51.43678160919541,-0.6764846743295028,3.7775383141762453,0.9296073181615351
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.17,any_zone,16704,10782,10678,10424,11036,358,254,612,64.54741379310344,63.92480842911878,-0.622605363984674,3.6637931034482754,0.9445451250453063
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.18,equal_zone_mean,16704,3713,3610,3457,3866,256,153,409,22.228208812260537,21.611590038314176,-0.6166187739463591,2.448515325670498,0.8942058975685463
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.18,area_weighted_mean,16704,3319,3210,3111,3418,208,99,307,19.86949233716475,19.216954022988507,-0.6525383141762459,1.837883141762452,0.9101813926272674
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.18,zone_p90,16704,8556,8438,8187,8807,369,251,620,51.22126436781609,50.51484674329502,-0.7064176245210718,3.7116858237547894,0.9296014533893494
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.18,any_zone,16704,10774,10670,10414,11030,360,256,616,64.49952107279694,63.87691570881226,-0.622605363984674,3.6877394636015324,0.9441523118766999
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.19,equal_zone_mean,16704,3382,3281,3146,3517,236,135,371,20.246647509578544,19.64200191570881,-0.604645593869732,2.2210249042145596,0.8945123684958771
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.19,area_weighted_mean,16704,3068,2968,2863,3173,205,105,310,18.36685823754789,17.768199233716476,-0.5986590038314171,1.8558429118773947,0.9023006618342263
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.19,zone_p90,16704,8072,7951,7661,8362,411,290,701,48.32375478927203,47.599377394636015,-0.7243773946360166,4.196599616858237,0.9161683807701507
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.19,any_zone,16704,10235,10126,9751,10610,484,375,859,61.27274904214559,60.62021072796935,-0.6525383141762431,5.142480842911877,0.919038642789821
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.2,equal_zone_mean,16704,3141,3042,2921,3262,220,121,341,18.80387931034483,18.211206896551722,-0.592672413793105,2.041427203065134,0.8954629061925199
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.2,area_weighted_mean,16704,2834,2735,2634,2935,200,101,301,16.965996168582375,16.373323754789272,-0.592672413793105,1.801963601532567,0.8974446337308347
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.2,zone_p90,16704,7573,7453,7164,7862,409,289,698,45.33644636015325,44.61805555555556,-0.7183908045976961,4.178639846743295,0.911218519460697
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.2,any_zone,16704,9818,9703,9288,10233,530,415,945,58.776340996168585,58.087883141762454,-0.6884578544061326,5.657327586206897,0.9076517150395779
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.21,equal_zone_mean,16704,2877,2790,2662,3005,215,128,343,17.223419540229884,16.70258620689655,-0.5208333333333315,2.0534003831417627,0.8858569051580699
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.21,area_weighted_mean,16704,2564,2474,2373,2665,191,101,292,15.349616858237546,14.81082375478927,-0.5387931034482762,1.7480842911877392,0.8904315196998124
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.21,zone_p90,16704,7186,7085,6806,7465,380,279,659,43.019636015325666,42.41499042145594,-0.6046455938697293,3.945162835249042,0.9117213663764233
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.21,any_zone,16704,9036,8920,8528,9428,508,392,900,54.0948275862069,53.400383141762454,-0.694444444444442,5.387931034482758,0.9045396690708528
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.22,equal_zone_mean,16704,2602,2519,2404,2717,198,115,313,15.577107279693486,15.080220306513409,-0.49688697318007735,1.873802681992337,0.8847994111152006
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.22,area_weighted_mean,16704,2342,2264,2156,2450,186,108,294,14.020593869731801,13.553639846743296,-0.4669540229885055,1.7600574712643677,0.88
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.22,zone_p90,16704,7164,7065,6791,7438,373,274,647,42.887931034482754,42.29525862068966,-0.5926724137930994,3.873323754789272,0.9130142511427803
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.22,any_zone,16704,9036,8920,8528,9428,508,392,900,54.0948275862069,53.400383141762454,-0.694444444444442,5.387931034482758,0.9045396690708528
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.23,equal_zone_mean,16704,2344,2271,2162,2453,182,109,291,14.032567049808428,13.595545977011495,-0.4370210727969337,1.7420977011494254,0.8813697513249082
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.23,area_weighted_mean,16704,2105,2033,1918,2220,187,115,302,12.60177203065134,12.17073754789272,-0.4310344827586188,1.8079501915708813,0.8639639639639639
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.23,zone_p90,16704,7150,7053,6779,7424,371,274,645,42.80411877394636,42.223419540229884,-0.5806992337164751,3.8613505747126435,0.9131196120689655
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.23,any_zone,16704,9035,8919,8527,9427,508,392,900,54.088840996168585,53.394396551724135,-0.6944444444444531,5.387931034482758,0.9045295428025883
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.24,equal_zone_mean,16704,2124,2055,1940,2239,184,115,299,12.71551724137931,12.302442528735632,-0.4130747126436768,1.7899904214559386,0.8664582402858418
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.24,area_weighted_mean,16704,1852,1791,1681,1962,171,110,281,11.087164750957855,10.721982758620689,-0.36518199233716575,1.6822318007662835,0.8567787971457697
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.24,zone_p90,16704,6675,6588,6331,6932,344,257,601,39.96048850574713,39.439655172413794,-0.5208333333333315,3.59794061302682,0.9133006347374495
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.24,any_zone,16704,9035,8919,8527,9427,508,392,900,54.088840996168585,53.394396551724135,-0.6944444444444531,5.387931034482758,0.9045295428025883
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.25,equal_zone_mean,16704,1900,1841,1731,2010,169,110,279,11.374521072796934,11.021312260536398,-0.3532088122605373,1.670258620689655,0.8611940298507462
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.25,area_weighted_mean,16704,1611,1550,1443,1718,168,107,275,9.644396551724139,9.279214559386974,-0.36518199233716436,1.6463122605363985,0.839930151338766
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.25,zone_p90,16704,6586,6500,6245,6841,341,255,596,39.42768199233716,38.912835249042146,-0.5148467432950221,3.5680076628352495,0.91287823417629
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.25,any_zone,16704,9032,8916,8521,9427,511,395,906,54.070881226053636,53.37643678160919,-0.694444444444442,5.4238505747126435,0.9038930730879389
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.26,equal_zone_mean,16704,1629,1571,1448,1752,181,123,304,9.752155172413794,9.40493295019157,-0.3472222222222224,1.8199233716475096,0.8264840182648402
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.26,area_weighted_mean,16704,1361,1308,1213,1456,148,95,243,8.147749042145595,7.830459770114942,-0.31728927203065194,1.4547413793103448,0.8331043956043956
