group_scope,model,event,threshold,city,n_steps,n_zone_steps,area_zone_time_mass,unweighted_zone_high_count,equal_zone_mean_high_count,area_weighted_mean_high_count,zone_p90_high_count,any_zone_high_count,hidden_any_zone_count,hidden_p90_count,equal_zone_mean_high_pct,area_weighted_mean_high_pct,zone_p90_high_pct,any_zone_high_pct,hidden_any_zone_pct,hidden_p90_pct,area_weighted_zone_time_high_pct,unweighted_zone_time_high_pct,time_slice,scenario,severity
city,no_pmv_ordinal,broad_tail,0.05,Ahmedabad,400896,6013440,390602.87428018596,5870455,400006,400070,400772,400895,889,766,99.77799728607918,99.79396152618135,99.96906928480205,99.9997505587484,0.22175327266922093,0.1910719987228608,97.43246983761024,97.62224284269902,,,
city,no_pmv_ordinal,broad_tail,0.05,Beijing,400896,6013440,389749.4301180806,5768691,399347,400286,400706,400895,1548,1359,99.61361550127714,99.84784083652617,99.95260616219667,99.9997505587484,0.38613505747126436,0.3389906609195402,97.21958565764702,95.9299668742018,,,
city,no_pmv_ordinal,broad_tail,0.05,Guangzhou,400896,6013440,381440.4052876345,5646973,394892,399145,400191,400887,5995,5302,98.50235472541507,99.56322836845466,99.82414391762453,99.99775502873564,1.4954003033205618,1.32253751596424,95.14697210439479,93.90586752341422,,,
city,no_pmv_ordinal,broad_tail,0.05,Houston,400896,6013440,378826.0363374339,5608953,395770,399225,400211,400881,5111,4443,98.72136414431672,99.58318366858238,99.82913274265644,99.99625838122606,1.274894236909323,1.108267480842912,94.49484064132191,93.27361709770115,,,
city,no_pmv_ordinal,broad_tail,0.05,Kolkata,400896,6013440,380232.3384515644,5661288,394948,396897,400070,400886,5938,5122,98.51632343550448,99.0024844348659,99.79396152618135,99.99750558748404,1.4811821519795658,1.2776380906768838,94.84563040079334,94.14391762452107,,,
city,no_pmv_ordinal,broad_tail,0.05,Phoenix,400896,6013440,399930.1515919705,6001797,400896,400896,400896,400896,0,0,100.0,100.0,100.0,100.0,0.0,0.0,99.75907756424871,99.80638370051086,,,
city,no_pmv_ordinal,broad_tail,0.06,Ahmedabad,400896,6013440,316426.36221019266,4938184,374853,372872,389114,396157,21304,14276,93.50380148467433,93.00965836526181,97.06108317369093,98.81789790868454,5.314096424010217,3.561023307790549,78.92978782781385,82.11911983822904,,,
city,no_pmv_ordinal,broad_tail,0.06,Beijing,400896,6013440,336109.082090406,4928594,380677,382627,392317,396562,15885,11640,94.95654733397191,95.44295777458493,97.86004350255428,98.9189216155811,3.9623742816091956,2.9034961685823752,83.83947010955609,81.95964373137505,,,
city,no_pmv_ordinal,broad_tail,0.06,Guangzhou,400896,6013440,291972.99899642525,4492761,342578,349656,372279,390104,47526,29711,85.45308508939975,87.21863026819923,92.86173970306514,97.3080300127714,11.854944923371647,7.411149026181353,72.83011030202977,74.71199513090677,,,
city,no_pmv_ordinal,broad_tail,0.06,Houston,400896,6013440,290632.15990759083,4462057,344550,350015,378604,392081,47531,34054,85.94498323754789,87.30817967752235,94.43945561941251,97.80117536717752,11.85619212962963,8.494472381864624,72.4956497215215,74.20140551830566,,,
