event,aggregator,n,ordinal_mean,nominal_mean,nominal_minus_ordinal_mean,mae,rmse,pearson_r
broad_tail,any_zone,2405376,0.19562410159812232,0.20828446753227908,0.012660365934156759,0.03208708193650833,0.04454965441307155,0.9555776829505964
broad_tail,area_weighted_mean,2405376,0.11087493339172817,0.12270055060293672,0.011825617211208547,0.015717156683050317,0.023139445623412712,0.9817703966550604
broad_tail,equal_zone_mean,2405376,0.1155773169779607,0.127281384772408,0.011704067794447298,0.015444249465741168,0.022072815399134936,0.9848685447633523
broad_tail,zone_p90,2405376,0.16389108129611,0.17787438768616257,0.013983306390052574,0.026425868536227654,0.03716914586664931,0.9654666796451198
outermost,any_zone,2405376,0.05660696911110063,0.0636455643021775,0.007038595191076878,0.013962633990914883,0.021912044183214248,0.9266645633200058
outermost,area_weighted_mean,2405376,0.024592870034708003,0.02928002817773293,0.0046871581430249255,0.00540689912323552,0.009572291228601308,0.961978497306524
outermost,equal_zone_mean,2405376,0.026517859034402357,0.03134528431938553,0.004827425284983176,0.005554309035763947,0.009372894902563487,0.9632820955968514
outermost,zone_p90,2405376,0.04383421858931386,0.05063717766538898,0.006802959076075116,0.010710059460326904,0.01708923919562967,0.9380256483123058
