example_kind,weather,city,scenario_raw,time_slice,severity,weather_year,month,day,hour,current_time,outdoor_temp_c,mean_operative_temp_c,mean_rh_pct,example_score,mean_p_tail_min,mean_p_tail_max,mean_p_tail_spread,mean_min_scenario,mean_max_scenario,max_zone_p_tail_min,max_zone_p_tail_max,max_zone_p_tail_spread,zone_min_scenario,zone_max_scenario
sreal_any_zone_hidden_tail,ahmedabad_ssp585_baseline_2020s_typical_2025,Ahmedabad,ssp585,baseline_2020s,typical,2025,2,5,16,17.0,31.76,26.007220497147593,45.98251029098427,0.4403432011604309,0.10216553509235382,0.1785319745540619,0.07636643946170807,COMP-Lo,EQ-Max,0.19219143688678741,0.6325346231460571,0.4403432011604309,S-real,EQ-Max
sreal_any_zone_hidden_tail,ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,12,19,16,17.0,30.94,25.649526991023425,47.20640446332824,0.4403432011604309,0.09518996626138687,0.1598924994468689,0.06470253318548203,S-real,EQ-Max,0.19219143688678741,0.6325346231460571,0.4403432011604309,S-real,EQ-Max
sreal_any_zone_hidden_tail,ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,Ahmedabad,ssp245,near_2030s,heatwave_extreme,2034,2,27,13,13.25,27.24,25.681316288248492,45.28148261333548,0.4403432011604309,0.09556806087493896,0.1776239573955536,0.08205589652061462,COMP-Lo,EQ-Max,0.19219143688678741,0.6325346231460571,0.4403432011604309,S-real,EQ-Max
sreal_any_zone_hidden_tail,ahmedabad_ssp585_near_2030s_typical_2031,Ahmedabad,ssp585,near_2030s,typical,2031,11,29,16,16.75,30.369999999999997,25.69051270263898,47.08640902122207,0.4403432011604309,0.09817278385162354,0.16617195308208466,0.06799916923046112,S-real,EQ-Max,0.19219143688678741,0.6325346231460571,0.4403432011604309,S-real,EQ-Max
sreal_any_zone_hidden_tail,ahmedabad_ssp585_near_2030s_typical_2031,Ahmedabad,ssp585,near_2030s,typical,2031,11,26,10,10.25,21.435,25.959253619087725,45.20472020284721,0.4403432011604309,0.1023288443684578,0.1861708164215088,0.083841972053051,COMP-Lo,EQ-Max,0.18974342942237854,0.6325346231460571,0.4427911937236786,COMP-Lo,EQ-Max
sreal_any_zone_hidden_tail,phoenix_ssp585_late_2080s_typical_2081,Phoenix,ssp585,late_2080s,typical,2081,3,12,15,15.5,30.565,26.131388413186446,44.19047064699217,0.4403432011604309,0.10670260339975357,0.22202883660793304,0.11532623320817947,COMP-Lo,EQ-Max,0.19219143688678741,0.6325346231460571,0.4403432011604309,S-real,EQ-Max
sreal_any_zone_hidden_tail,ahmedabad_ssp585_baseline_2020s_typical_2025,Ahmedabad,ssp585,baseline_2020s,typical,2025,2,6,15,15.5,32.245000000000005,25.97038030383241,46.06034497127019,0.4403432011604309,0.1022278368473053,0.19712594151496887,0.09489810466766357,COMP-Lo,EQ-Max,0.19219143688678741,0.6325346231460571,0.4403432011604309,S-real,EQ-Max
sreal_any_zone_hidden_tail,ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,Ahmedabad,ssp245,near_2030s,heatwave_extreme,2034,12,26,16,17.0,29.9,25.64884632192063,47.19492254103919,0.4403432011604309,0.09820561110973358,0.16536979377269745,0.06716418266296387,S-real,EQ-Max,0.19219143688678741,0.6325346231460571,0.4403432011604309,S-real,EQ-Max
sreal_any_zone_hidden_tail,ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,Ahmedabad,ssp245,near_2030s,heatwave_extreme,2034,2,13,15,15.75,30.9475,25.977114661537975,45.81924609514478,0.4403432011604309,0.10141221433877945,0.19543001055717468,0.09401779621839523,COMP-Lo,EQ-Max,0.19219143688678741,0.6325346231460571,0.4403432011604309,S-real,EQ-Max
sreal_any_zone_hidden_tail,ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,11,26,17,18.0,29.96,25.415737505544833,46.604857118535065,0.4403432011604309,0.08658242225646973,0.1332423985004425,0.04665997624397278,COMP-Lo,EQ-Max,0.18974342942237854,0.6325346231460571,0.4427911937236786,COMP-Lo,EQ-Max
