weather,city,scenario_raw,time_slice,severity,weather_year,scenario,watts_person,met,bsa_m2,rows,mean_mu,mean_p_tail_mean_agg,p95_p_tail_mean_agg,high_tail_mean_agg_pct,mean_max_zone_p_tail,p95_max_zone_p_tail,any_zone_high_tail_pct,mean_p90_zone_p_tail,mean_zones_high_tail,warm_dominant_pct,cold_dominant_pct
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Lo,90.0,0.9,1.7182130584192439,16704,0.10385766625404358,0.10569484531879425,0.1753303326666355,2.0114942528735633,0.16843999922275543,0.3172176778316498,20.174808429118773,0.142947718501091,0.5572318007662835,51.95162835249042,4.873084291187739
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,S-real,93.2,0.932,1.7182130584192439,16704,0.11707083135843277,0.10472897440195084,0.1732885397970675,1.9276819923371646,0.17142453789710999,0.36242175102233887,22.44971264367816,0.1441451460123062,0.595426245210728,53.059147509578544,4.352250957854406
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Med,100.0,1.0,1.7182130584192439,16704,0.07345983386039734,0.13807129859924316,0.2175605334341525,8.087883141762452,0.21607939898967743,0.375043660402298,43.18127394636016,0.1852298080921173,1.5531010536398469,46.52777777777778,25.754310344827587
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,EQ-Max,108.0,1.08,1.7182130584192439,16704,0.4614340364933014,0.18286246061325073,0.38860298395156856,33.4051724137931,0.34297794103622437,0.624157190322876,66.34937739463601,0.28423964977264404,4.151700191570881,92.81609195402298,0.023946360153256702
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Hi,110.0,1.1,1.7182130584192439,16704,0.3596171438694,0.13678190112113953,0.2984352871775627,19.21096743295019,0.2597988247871399,0.5244166851043701,59.43486590038314,0.21243375539779663,3.3326149425287355,66.32543103448276,0.6345785440613027
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,LEGACY,120.0,1.2,1.7182130584192439,16704,0.36213356256484985,0.1622827649116516,0.3091746047139168,25.880028735632184,0.28286024928092957,0.5213558077812195,66.31944444444444,0.23895210027694702,4.0119731800766285,75.6764846743295,0.7303639846743295
ahmedabad_ssp245_baseline_2020s_hot_2029,Ahmedabad,ssp245,baseline_2020s,hot,2029,COMP-Lo,90.0,0.9,1.7182130584192439,16704,0.10385766625404358,0.10569484531879425,0.1753303326666355,2.0114942528735633,0.16843999922275543,0.3172176778316498,20.174808429118773,0.142947718501091,0.5572318007662835,51.95162835249042,4.873084291187739
ahmedabad_ssp245_baseline_2020s_hot_2029,Ahmedabad,ssp245,baseline_2020s,hot,2029,S-real,93.2,0.932,1.7182130584192439,16704,0.11707083135843277,0.10472897440195084,0.1732885397970675,1.9276819923371646,0.17142453789710999,0.36242175102233887,22.44971264367816,0.1441451460123062,0.595426245210728,53.059147509578544,4.352250957854406
ahmedabad_ssp245_baseline_2020s_hot_2029,Ahmedabad,ssp245,baseline_2020s,hot,2029,COMP-Med,100.0,1.0,1.7182130584192439,16704,0.07345983386039734,0.13807129859924316,0.2175605334341525,8.087883141762452,0.21607939898967743,0.375043660402298,43.18127394636016,0.1852298080921173,1.5531010536398469,46.52777777777778,25.754310344827587
ahmedabad_ssp245_baseline_2020s_hot_2029,Ahmedabad,ssp245,baseline_2020s,hot,2029,EQ-Max,108.0,1.08,1.7182130584192439,16704,0.4614340364933014,0.18286246061325073,0.38860298395156856,33.4051724137931,0.34297794103622437,0.624157190322876,66.34937739463601,0.28423964977264404,4.151700191570881,92.81609195402298,0.023946360153256702
