scope,rows,weather_cases,city,mean_agg_threshold_flip_rows,mean_agg_threshold_flip_pct,max_zone_threshold_flip_rows,max_zone_threshold_flip_pct,sreal_mean_hidden_rows,sreal_mean_hidden_pct,sreal_zone_hidden_rows,sreal_zone_hidden_pct,direction_flip_rows,direction_flip_pct,mean_agg_p_tail_spread_mean,mean_agg_p_tail_spread_p95,max_zone_p_tail_spread_mean,max_zone_p_tail_spread_p95,sreal_mean_high_tail_pct,sreal_any_zone_high_tail_pct,time_slice,severity
city,400896,24,Ahmedabad,102065,25.459221344189015,183301,45.722830858876115,101343,25.279124760536398,170258,42.46936861430396,81373,20.29778296615581,0.08288398912797372,0.21206563059240577,0.1815813301752011,0.3627474141617613,3.824932151979566,21.7772190293742,,
city,400896,24,Beijing,33079,8.25126716155811,132143,32.96191530970626,32395,8.080649345466155,119070,29.700969827586203,50431,12.57957175925926,0.059248273416111864,0.14345924973798285,0.08684532592693965,0.21566472634052233,1.6565393518518519,12.388250319284802,,
city,400896,24,Guangzhou,70041,17.471114703065137,131325,32.75787236590038,69779,17.40576109514687,127685,31.8499062100894,77639,19.366369332694763,0.06845425193508466,0.19451127213736372,0.12154933530837297,0.27739460468292226,2.2479645593869733,9.504460009578544,,
city,400896,24,Houston,74214,18.51203304597701,123094,30.704721424010216,73991,18.45640764687101,119714,29.8616099936143,66121,16.49330499680715,0.06913085700944066,0.20096411242460208,0.11699655403693517,0.2742059245705602,1.1693805874840357,9.13154533844189,,
city,400896,24,Kolkata,91583,22.8445781449553,159822,39.86619971264368,90864,22.66522988505747,154433,38.52196080779055,74950,18.69562180715198,0.08030199228475492,0.21322243437170976,0.14843418138722578,0.31109552662819623,5.024495130906769,16.286518199233715,,
city,400896,24,Phoenix,85786,21.39856720945083,200309,49.965327666028095,83732,20.886214878671776,186979,46.64027578224776,60483,15.086955220306514,0.0821424713358283,0.18367164184649779,0.1640239985038837,0.3352657324944934,4.651580459770115,20.23866538952746,,
time_slice,601344,36,,98452,16.371993401447423,230163,38.274764527458494,97924,16.284190080885484,217341,36.14254070881226,108854,18.101785334184758,0.0668301647529006,0.16981253601196733,0.1268356576975849,0.2814318838632768,1.004583067262665,11.170977011494253,baseline_2020s,
time_slice,601344,36,,138232,22.98717539378459,231956,38.572929970200086,136388,22.680528948488718,218928,36.40644955300127,91275,15.178500159642402,0.08604952010015647,0.22009437407056487,0.15331340374218094,0.31734794336888505,7.035573648361004,21.956650436355897,late_2080s,
time_slice,601344,36,,118964,19.783019369944657,235392,39.14431673052363,117859,19.599264314601957,222693,37.0325470945083,100370,16.690945615155385,0.07515399013128546,0.20025863148685952,0.13900274369451734,0.3014113455803857,3.2108077905491696,15.326169380587483,mid_2050s,
time_slice,601344,36,,101120,16.815666240953597,232483,38.6605669965943,99933,16.61827506385696,219177,36.44785680076628,110498,18.37517294593444,0.06674088175512022,0.1750973525043162,0.1271353450914224,0.2840581131064229,1.132296988080034,11.097308695189442,near_2030s,
severity,801792,48,,161475,20.139263050766285,309618,38.61575071839081,159750,19.924119971264368,291790,36.39223140166028,134594,16.786647908684547,0.07640657550655305,0.19792997913124655,0.13918116611118117,0.29957367445652666,3.6982159961685825,16.310464559386972,,heatwave_extreme
severity,801792,48,,161608,20.155850893997446,319153,39.804961885376756,159652,19.91189734993614,301389,37.58942468869732,132304,16.501037675606643,0.07604128393965463,0.19650367390519619,0.14098716511701545,0.2996459324223299,3.614403735632184,16.039820801404854,,hot
severity,801792,48,,133685,16.673276859833972,301223,37.56872106481482,132702,16.55067648467433,284960,35.540389527458494,144099,17.97211745689655,0.06863305810838938,0.17951351751883818,0.12954703144108257,0.2889673575603713,1.9748263888888888,12.31304378192848,,typical
city_time_slice,100224,6,Ahmedabad,28829,28.76456736909323,47589,47.48263888888889,28695,28.630866858237546,44366,44.26684227330779,19290,19.24688697318008,0.08626557514071465,0.21113123012085755,0.18456357717514038,0.35591108053922627,2.779773307790549,21.93287037037037,baseline_2020s,
city_time_slice,100224,6,Ahmedabad,26873,26.81293901660281,44734,44.63401979565773,26576,26.516602809706256,41460,41.36733716475096,18734,18.69212962962963,0.09052202105522156,0.22836217756072677,0.1921564886967341,0.36642287174860616,7.362507982120051,27.805715197956577,late_2080s,
city_time_slice,100224,6,Ahmedabad,24476,24.421296296296298,45383,45.28156928480204,24317,24.26265166028097,42142,42.047812899106,21050,21.002953384418902,0.0802068163951238,0.2087908459206422,0.17939820885658264,0.3661404031018411,3.4742177522349937,20.654733397190295,mid_2050s,
city_time_slice,100224,6,Ahmedabad,21887,21.83808269476373,45595,45.49309546615581,21755,21.70637771392082,42290,42.19548212005109,22299,22.249161877394634,0.07454154392083485,0.19997826876739655,0.17020704597234726,0.36251530125737186,1.6832295657726692,16.715557151979567,near_2030s,
city_time_slice,100224,6,Beijing,6002,5.988585568326948,31312,31.242017879948914,5950,5.936701787994892,27522,27.460488505747126,13397,13.36705779054917,0.05345127917826176,0.1010499234000841,0.07693135365843773,0.18774072577555975,0.0997765006385696,11.063218390804598,baseline_2020s,
city_time_slice,100224,6,Beijing,10967,10.94248882503193,33853,33.77733876117497,10892,10.867656449553001,31404,31.333812260536398,11906,11.879390166028097,0.06771715730428696,0.2068427535394827,0.09967468058069547,0.2497738336523374,3.8852969348659006,14.713042784163473,late_2080s,
city_time_slice,100224,6,Beijing,8762,8.742416985951468,32915,32.84143518518518,8700,8.680555555555555,29978,29.910999361430395,12270,12.24257662835249,0.06165016256272793,0.16457916547854726,0.09046496450901031,0.2314385114858547,2.126237228607918,12.490022349936144,mid_2050s,
city_time_slice,100224,6,Beijing,7348,7.331577266922094,34063,33.986869412515965,6853,6.837683588761174,30166,30.098579182630907,12858,12.82926245210728,0.05417449461917082,0.10136515653381738,0.08031030495961507,0.19370583444833755,0.5148467432950191,11.286717752234994,near_2030s,
