example_kind,weather,city,scenario_raw,time_slice,severity,weather_year,month,day,hour,current_time,outdoor_temp_c,mean_operative_temp_c,mean_rh_pct,example_score,mean_p_tail_min,mean_p_tail_max,mean_p_tail_spread,mean_min_scenario,mean_max_scenario,max_zone_p_tail_min,max_zone_p_tail_max,max_zone_p_tail_spread,zone_min_scenario,zone_max_scenario
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,Ahmedabad,ssp245,near_2030s,heatwave_extreme,2034,12,12,16,16.25,31.0,25.96864944867146,46.47822816776999,0.5514442324638367,0.10894953459501266,0.21299932897090912,0.10404979437589645,COMP-Lo,EQ-Max,0.19884967803955078,0.7502939105033875,0.5514442324638367,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,11,21,15,15.5,31.835,26.01035463946727,46.39103631867353,0.5514442324638367,0.11083168536424637,0.1969519555568695,0.08612027019262314,COMP-Lo,EQ-Max,0.19884967803955078,0.7502939105033875,0.5514442324638367,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_mid_2050s_typical_2058,Ahmedabad,ssp245,mid_2050s,typical,2058,11,16,15,15.25,32.662499999999994,26.028738862373825,46.369756347064246,0.5514442324638367,0.11091931164264679,0.20138829946517944,0.09046898782253265,COMP-Lo,EQ-Max,0.19884967803955078,0.7502939105033875,0.5514442324638367,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,Ahmedabad,ssp245,near_2030s,heatwave_extreme,2034,12,4,16,16.75,31.74,25.91536163586891,46.44542006280032,0.5514442324638367,0.09877829253673553,0.18433353304862976,0.08555524051189423,COMP-Lo,EQ-Max,0.19884967803955078,0.7502939105033875,0.5514442324638367,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_mid_2050s_typical_2055,Ahmedabad,ssp585,mid_2050s,typical,2055,12,5,13,13.25,26.1875,25.804230446147013,45.481120302173345,0.5514442324638367,0.11054281890392303,0.19635803997516632,0.08581522107124329,COMP-Lo,EQ-Max,0.19884967803955078,0.7502939105033875,0.5514442324638367,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,1,24,14,15.0,32.36,26.046883015079732,46.43119802521842,0.4988478720188141,0.11204346269369125,0.21087974309921265,0.09883628040552139,COMP-Lo,EQ-Max,0.25144603848457336,0.7502939105033875,0.4988478720188141,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,3,1,13,14.0,32.79,26.069414878456076,46.46203669504307,0.4988478720188141,0.11204049736261368,0.20264315605163574,0.09060265868902206,COMP-Lo,EQ-Max,0.25144603848457336,0.7502939105033875,0.4988478720188141,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,3,1,14,14.5,33.965,26.111200907775793,46.30439770573596,0.4988478720188141,0.11454948782920837,0.20635351538658142,0.09180402755737305,COMP-Lo,EQ-Max,0.25144603848457336,0.7502939105033875,0.4988478720188141,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,3,1,14,14.5,33.965,26.111200907775793,46.30439770573596,0.4988478720188141,0.11454948782920837,0.20635351538658142,0.09180402755737305,COMP-Lo,EQ-Max,0.25144603848457336,0.7502939105033875,0.4988478720188141,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_late_2080s_hot_2088,Ahmedabad,ssp585,late_2080s,hot,2088,12,11,16,16.75,32.347500000000004,25.9875693026744,46.8189785075816,0.4958113133907318,0.10323766618967056,0.18182255327701569,0.07858488708734512,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,Ahmedabad,ssp585,late_2080s,heatwave_extreme,2088,2,7,14,14.5,32.04,26.072586584299803,46.56559830995705,0.4958113133907318,0.11477556079626083,0.214783176779747,0.10000761598348618,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_late_2080s_hot_2088,Ahmedabad,ssp585,late_2080s,hot,2088,1,12,13,13.75,30.475,25.890749267816712,47.85681285297899,0.4958113133907318,0.1050480529665947,0.18986663222312927,0.08481857925653458,S-real,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_late_2080s_hot_2088,Ahmedabad,ssp585,late_2080s,hot,2088,12,7,15,16.0,32.86,26.071757913262548,46.443162311770855,0.4958113133907318,0.103294737637043,0.1992706060409546,0.09597586840391159,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,phoenix_ssp585_late_2080s_typical_2081,Phoenix,ssp585,late_2080s,typical,2081,11,21,11,11.75,33.6025,26.0365235880752,45.87902077846755,0.4958113133907318,0.11268085241317749,0.2132081389427185,0.10052728652954102,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,12,13,15,15.75,32.945,26.05700245674192,46.28478937499731,0.4958113133907318,0.11645939201116562,0.20507483184337616,0.08861543983221054,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_baseline_2020s_typical_2025,Ahmedabad,ssp585,baseline_2020s,typical,2025,11,21,14,14.25,32.985,26.0337107464065,46.90546024127164,0.4958113133907318,0.10707436501979828,0.1949884295463562,0.08791406452655792,S-real,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_baseline_2020s_hot_2029,Ahmedabad,ssp245,baseline_2020s,hot,2029,12,13,15,15.75,32.945,26.05700245674192,46.28478937499731,0.4958113133907318,0.11645939201116562,0.20507483184337616,0.08861543983221054,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,12,3,11,11.5,24.765,26.180808626938543,45.24894176111145,0.4958113133907318,0.11003147810697556,0.20354728400707245,0.0935158059000969,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_baseline_2020s_typical_2025,Ahmedabad,ssp585,baseline_2020s,typical,2025,11,13,14,15.0,32.83,26.060567295232534,46.34035736159921,0.4958113133907318,0.1067809909582138,0.19767829775810242,0.09089730679988861,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
