variable,cities,paired_rows,exact_equal_rows,mean_ssp245,mean_ssp585,mean_ssp585_minus_ssp245,mean_abs_paired_difference,maximum_abs_paired_difference,exact_equal_pct
DHI,6,3997014,2099259,104.41739452480574,103.00624596272564,-1.411148562080096,18.408037228349272,452.7913314168726,52.52068168888075
DNI,6,3997014,3997014,150.6234547453166,150.6234547453166,0.0,0.0,0.0,100.0
GHI,6,3997014,2097157,206.4317581717073,205.0275232230929,-1.404234948614363,18.525412363769714,452.7913314168725,52.46809243099974
pressure,6,3997014,240,1012.3424128105088,1012.3216761331291,-0.02073667737964607,4.325007553763885,40.378100000000245,0.006004482346071342
relative_humidity,6,3997014,3997014,61.28792820490701,61.28792820490701,0.0,0.0,0.0,100.0
specific_humidity,6,3997014,3997014,0.011123458715702847,0.011123458715702847,0.0,0.0,0.0,100.0
temp,6,3997014,0,23.531096196054094,24.300065595358177,0.7689693993040795,3.298476862775562,23.786200000000015,0.0
wind_speed,6,3997014,0,2.3645017332142584,2.3514680757441426,-0.013033657470116132,0.9991219529643155,12.757830242420795,0.0
