zone,zone_label,area_m2,area_share_pct,mean_high_tail_pct,p95_case_high_tail_pct,max_case_high_tail_pct,mean_p_tail,p95_p_tail,area_rank_large_to_small
core_bottom,Core bottom,983.54,19.741117861823813,7.258948289165602,23.090277777777757,34.225335249042146,0.10193377078078637,0.22462148468626722,1
perimeter_bot_zn_1,Bottom P1,207.34,4.161623703632338,30.510074100681138,57.4811422413793,67.60057471264368,0.1638643990791061,0.3837369617390101,4
perimeter_bot_zn_2,Bottom P2,131.26,2.6345843895957395,10.374386374521073,25.897988505747126,33.35727969348659,0.10249671339533566,0.2642890747937848,10
perimeter_bot_zn_3,Bottom P3,207.34,4.161623703632338,11.665036983822903,26.92169540229885,40.99616858237548,0.10617304046022619,0.2778395493368642,5
perimeter_bot_zn_4,Bottom P4,131.25,2.6343836746491,8.345181792784164,23.359674329501914,30.741139846743295,0.09719187299690649,0.24421238151192995,13
core_mid,Core middle,983.54,19.741117861823813,12.911785932843763,29.154693486590038,44.11518199233716,0.1083706023227716,0.2777760751460619,2
perimeter_mid_zn_1,Middle P1,207.34,4.161623703632338,27.906323169433804,51.077586206896555,63.020833333333336,0.161172857929969,0.3953232380318199,6
perimeter_mid_zn_2,Middle P2,131.26,2.6345843895957395,12.609795724244359,28.05046695402298,38.008860153256705,0.10765450326473766,0.28758859857060914,11
perimeter_mid_zn_3,Middle P3,207.34,4.161623703632338,16.96969621381439,32.13990660919541,47.940613026819925,0.12054967784263927,0.3250155407657538,7
perimeter_mid_zn_4,Middle P4,131.25,2.6343836746491,10.99004895700298,25.137092911877378,33.44109195402299,0.10405117072092246,0.28175362888066885,14
core_top,Core top,983.54,19.741117861823813,11.305425846104725,27.41079980842911,38.37404214559387,0.10191570938868541,0.26770059635086607,3
perimeter_top_zn_1,Top P1,207.34,4.161623703632338,23.589867031183484,45.99616858237546,56.34578544061303,0.14706632461248867,0.37138780469858657,8
perimeter_top_zn_2,Top P2,131.26,2.6345843895957395,12.855578504150703,27.783764367816094,36.45234674329502,0.10833897088017981,0.29514498044947923,12
perimeter_top_zn_3,Top P3,207.34,4.161623703632338,15.009836300021286,30.53759578544061,42.810105363984675,0.11472572399538025,0.3139301544881516,9
perimeter_top_zn_4,Top P4,131.25,2.6343836746491,10.449301897083865,22.876855842911873,30.040708812260537,0.10242888743665496,0.28422386491413876,15
