city,scenario_raw,time_slice,severity,weather_year,weather,occupied_records,mean_zone_high_tail_pct,any_zone_high_tail_pct,hidden_any_zone_high_tail_pct,area_weighted_zone_time_high_tail_pct,area_weighted_mean_p_tail,mean_zone_mean_p_tail,any_zone_mean_p_tail_max,zone_time_high_tail_pct_unweighted
Ahmedabad,ssp245,baseline_2020s,typical,2025,ahmedabad_ssp245_baseline_2020s_typical_2025,16704,10.219109195402298,48.25191570881226,38.03280651340996,10.795057033863433,0.10456559454199474,0.11374531147023607,0.22846614279089672,13.687739463601535
Ahmedabad,ssp245,baseline_2020s,hot,2029,ahmedabad_ssp245_baseline_2020s_hot_2029,16704,18.80387931034483,58.776340996168585,39.97246168582376,18.294520325652847,0.1259677910135544,0.13506373814444114,0.2611850194529353,21.29390166028097
Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,16704,18.80387931034483,58.776340996168585,39.97246168582376,18.294520325652847,0.1259677910135544,0.13506373814444114,0.2611850194529353,21.29390166028097
Ahmedabad,ssp245,near_2030s,typical,2032,ahmedabad_ssp245_near_2030s_typical_2032,16704,8.477011494252872,45.935105363984675,37.4580938697318,9.693971004699584,0.10256177195066354,0.109795452487168,0.21293422112960197,12.182311621966795
Ahmedabad,ssp245,near_2030s,hot,2034,ahmedabad_ssp245_near_2030s_hot_2034,16704,12.990900383141762,50.13170498084292,37.14080459770115,13.677770553962251,0.11095808988015862,0.11906631104126718,0.23337428971292087,15.975415070242658
Ahmedabad,ssp245,near_2030s,heatwave_extreme,2034,ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,16704,12.990900383141762,50.13170498084292,37.14080459770115,13.677770553962251,0.11095808988015862,0.11906631104126718,0.23337428971292087,15.975415070242658
Ahmedabad,ssp245,mid_2050s,typical,2058,ahmedabad_ssp245_mid_2050s_typical_2058,16704,9.099616858237548,46.56369731800766,37.464080459770116,10.657969530379086,0.10453697692574669,0.11302657378538512,0.22364117044897056,13.193646232439335
Ahmedabad,ssp245,mid_2050s,hot,2059,ahmedabad_ssp245_mid_2050s_hot_2059,16704,20.480124521072796,57.04022988505747,36.560105363984675,21.278979921884048,0.13097791002918355,0.13964299071865346,0.25860250560761433,23.720466155810985
Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,16704,20.480124521072796,57.04022988505747,36.560105363984675,21.278979921884048,0.13097791002918355,0.13964299071865346,0.25860250560761433,23.720466155810985
Ahmedabad,ssp245,late_2080s,typical,2086,ahmedabad_ssp245_late_2080s_typical_2086,16704,14.75095785440613,51.16738505747126,36.41642720306513,15.63517550520702,0.11727750878064949,0.12640237323696626,0.24179313227636917,18.22597381864623
Ahmedabad,ssp245,late_2080s,hot,2081,ahmedabad_ssp245_late_2080s_hot_2081,16704,20.402298850574713,62.565852490421456,42.16355363984675,20.89517415632183,0.13089523529175096,0.14090964774487727,0.27255889632363073,24.0110153256705
Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,16704,20.402298850574713,62.565852490421456,42.16355363984675,20.89517415632183,0.13089523529175096,0.14090964774487727,0.27255889632363073,24.0110153256705
Ahmedabad,ssp585,baseline_2020s,typical,2025,ahmedabad_ssp585_baseline_2020s_typical_2025,16704,13.990660919540229,48.257902298850574,34.26724137931034,14.744686822065562,0.11403316853277694,0.12164078006596803,0.23017037146270342,16.99473180076628
Ahmedabad,ssp585,baseline_2020s,hot,2027,ahmedabad_ssp585_baseline_2020s_hot_2027,16704,24.060105363984675,61.15301724137932,37.092911877394634,23.623756633388666,0.13962995165784256,0.14811917097575975,0.26935700147802855,26.507822477650063
Ahmedabad,ssp585,baseline_2020s,heatwave_extreme,2027,ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,16704,24.060105363984675,61.15301724137932,37.092911877394634,23.623756633388666,0.13962995165784256,0.14811917097575975,0.26935700147802855,26.507822477650063
Ahmedabad,ssp585,near_2030s,typical,2031,ahmedabad_ssp585_near_2030s_typical_2031,16704,14.499521072796934,45.53999042145594,31.040469348659006,14.836806246955101,0.11435470768806096,0.12131784259927529,0.21839322471357023,16.958812260536398
Ahmedabad,ssp585,near_2030s,hot,2037,ahmedabad_ssp585_near_2030s_hot_2037,16704,11.907327586206897,50.19755747126437,38.29022988505747,12.777679071300247,0.11134250074990916,0.1199428821858967,0.23530857904191585,15.319284802043423
