case_id,city,scenario,time_slice,severity,weather_year,manifest_mean_temp_c,manifest_cdh18_c_hour,manifest_max_temp_c,manifest_hours_temp_ge_35,manifest_mean_rh_pct,epw_path,data_rows,calendar_years,invalid_field_width_rows,body_sha256,transform_sha256,mean_temp_c,min_temp_c,max_temp_c,cdh18_c_hour,hours_temp_ge_35,mean_rh_pct,min_rh_pct,max_rh_pct,dewpoint_above_drybulb_rows,min_pressure_pa,max_pressure_pa,annual_ghi_kwh_m2,max_ghi_w_m2,max_dni_w_m2,max_dhi_w_m2,max_wind_m_s,broad_range_violation_rows,mean_temp_difference_c,max_temp_difference_c,cdh18_difference_c_hour,hours_ge_35_difference,mean_rh_difference_pct_point
ahmedabad_ssp245_near_2030s_hot_2034,Ahmedabad,ssp245,near_2030s,hot,2034,28.257058,90991.054602,46.222167,1110,56.403206,checksum-only://selected_weather/ssp245/Ahmedabad/ahmedabad_ssp245_near_2030s_hot_2034.epw,8760,2034,0,b7e2469848177c26fcdbfe570f458e795ba758d5fbaffca9c5dfed3aec7df2ca,377d73f33651f2d794560d396c1b7364680b0456055a3f8ffb3a1c8cd2c6c3f6,28.257058219178084,9.52,46.22,90990.99000000002,1111,56.40251141552511,19.0,89.0,0,99365.0,102277.0,1905.076,925.0,798.0,445.0,5.82,0,2.191780836824364e-07,-0.00216700000000003,-0.0646019999840064,1,-0.0006945844748855734
ahmedabad_ssp245_near_2030s_typical_2032,Ahmedabad,ssp245,near_2030s,typical,2032,27.41087,85470.075181,42.672822,900,56.360225,checksum-only://selected_weather/ssp245/Ahmedabad/ahmedabad_ssp245_near_2030s_typical_2032.epw,8784,2032,0,2d09699a8def8dea46d49e77a64f1458cf59986016b22b15c1876380e3278fbe,d24446921d40f4d66b972321d3fcad2e134f2a3ea54a57f1fe53b1b16f6e80c5,27.410842440801456,6.78,42.67,85469.79000000001,901,56.36327413479053,19.0,89.0,0,99262.0,102278.0,1901.148,914.0,799.0,460.0,6.12,0,-2.7559198542803642e-05,-0.002821999999994773,-0.2851809999847319,1,0.003049134790529706
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,Ahmedabad,ssp585,baseline_2020s,heatwave_extreme,2027,28.247966,92410.889875,43.764356,1162,56.373055,checksum-only://selected_weather/ssp585/Ahmedabad/ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027.epw,8760,2027,0,4fce79efd959a284c70cf2070a851ecd1bb5ca29a70a4caa8b80fa7cb9d6e81e,ee86a7bf06124610f2bd247419883ebd26995dfb99d67b607992f1fb2522074c,28.247985159817354,8.23,43.76,92411.03000000001,1164,56.37614155251141,19.0,89.0,0,99548.0,102261.0,2073.705,974.0,799.0,697.0,8.9,0,1.9159817352232267e-05,-0.004356000000001359,0.14012500001990702,2,0.0030865525114123216
ahmedabad_ssp585_baseline_2020s_hot_2027,Ahmedabad,ssp585,baseline_2020s,hot,2027,28.247966,92410.889875,43.764356,1162,56.373055,checksum-only://selected_weather/ssp585/Ahmedabad/ahmedabad_ssp585_baseline_2020s_hot_2027.epw,8760,2027,0,4fce79efd959a284c70cf2070a851ecd1bb5ca29a70a4caa8b80fa7cb9d6e81e,ee86a7bf06124610f2bd247419883ebd26995dfb99d67b607992f1fb2522074c,28.247985159817354,8.23,43.76,92411.03000000001,1164,56.37614155251141,19.0,89.0,0,99548.0,102261.0,2073.705,974.0,799.0,697.0,8.9,0,1.9159817352232267e-05,-0.004356000000001359,0.14012500001990702,2,0.0030865525114123216
ahmedabad_ssp585_baseline_2020s_typical_2025,Ahmedabad,ssp585,baseline_2020s,typical,2025,27.769898,87125.097005,46.601166,822,56.373538,checksum-only://selected_weather/ssp585/Ahmedabad/ahmedabad_ssp585_baseline_2020s_typical_2025.epw,8760,2025,0,049155beb917b95aa396b2ee4456f2a57d735fc17e9a513b518541c264cd893d,89cc3c20266f5b5b83eae3de285fbcd7575ddcce6d0ab6f41fe24c58cb560e58,27.76990068493151,10.59,46.6,87125.27,824,56.37625570776256,19.0,89.0,0,99544.0,102127.0,1985.359,957.0,799.0,680.0,6.16,0,2.6849315091226345e-06,-0.00116599999999778,0.17299500000081025,2,0.0027177077625566426
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,Ahmedabad,ssp585,late_2080s,heatwave_extreme,2088,30.258735,107894.289868,49.175956,1765,56.357362,checksum-only://selected_weather/ssp585/Ahmedabad/ahmedabad_ssp585_late_2080s_heatwave_extreme_2088.epw,8784,2088,0,54dcff04b8f8dcf0003c4f69941be2d5ae5b63318642e5659ae176538fc951a1,04b084d31d56bab8ba566f35e6a2cbaca47dba69cf029bb896c94b30360f8919,30.258701047358834,12.0,49.18,107893.97,1766,56.3549635701275,19.0,89.0,0,99598.0,102293.0,1952.58,940.0,799.0,464.0,6.51,0,-3.395264116790031e-05,0.004044000000000381,-0.31986800000595395,1,-0.002398429872499719
ahmedabad_ssp585_late_2080s_hot_2088,Ahmedabad,ssp585,late_2080s,hot,2088,30.258735,107894.289868,49.175956,1765,56.357362,checksum-only://selected_weather/ssp585/Ahmedabad/ahmedabad_ssp585_late_2080s_hot_2088.epw,8784,2088,0,54dcff04b8f8dcf0003c4f69941be2d5ae5b63318642e5659ae176538fc951a1,04b084d31d56bab8ba566f35e6a2cbaca47dba69cf029bb896c94b30360f8919,30.258701047358834,12.0,49.18,107893.97,1766,56.3549635701275,19.0,89.0,0,99598.0,102293.0,1952.58,940.0,799.0,464.0,6.51,0,-3.395264116790031e-05,0.004044000000000381,-0.31986800000595395,1,-0.002398429872499719
ahmedabad_ssp585_late_2080s_typical_2087,Ahmedabad,ssp585,late_2080s,typical,2087,29.166304,98528.964972,44.660091,1436,56.402861,checksum-only://selected_weather/ssp585/Ahmedabad/ahmedabad_ssp585_late_2080s_typical_2087.epw,8760,2087,0,13f43bd06d772bf7f488e4bd9789c2132d877372bdabd76f003d63f64a5e2947,dab0f7ce05ab278f57e92c478d7f1dd3765179b868173c2e6adbe44b132cea4a,29.166350456621004,12.38,44.66,98529.35,1438,56.406050228310505,19.0,89.0,0,99554.0,102094.0,1942.673,980.0,799.0,475.0,5.71,0,4.645662100344339e-05,-9.100000000472619e-05,0.3850280000042403,2,0.0031892283105037222
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,Ahmedabad,ssp585,mid_2050s,heatwave_extreme,2051,28.37354,92684.693571,46.727889,1190,56.388343,checksum-only://selected_weather/ssp585/Ahmedabad/ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051.epw,8760,2051,0,5632d50b13a25a2a639581e27edff67a5684a52ea36eb9f6a1d3b0612b28ae9f,ea86cded027279b73e8f343f5c10e8b29171a55c992e8c5e63a4220549b47aad,28.37353310502283,5.06,46.73,92684.61,1191,56.391780821917806,19.0,89.0,0,99639.0,102358.0,2028.153,968.0,798.0,508.0,6.08,0,-6.894977168769856e-06,0.002110999999999308,-0.08357099999557249,1,0.003437821917806616
ahmedabad_ssp585_mid_2050s_hot_2050,Ahmedabad,ssp585,mid_2050s,hot,2050,28.461958,92989.103507,45.623343,1180,56.383025,checksum-only://selected_weather/ssp585/Ahmedabad/ahmedabad_ssp585_mid_2050s_hot_2050.epw,8760,2050,0,8263e4fdfe48d07d80b7df29cb3e9ee2ff96fa6d4d70db50d658690c05539c2f,9b27f325fe46c2e38bcc78ade3b34782b42b0b934bea385a6728928e0d85640c,28.461997716894977,11.6,45.62,92989.61,1183,56.38230593607306,19.0,89.0,0,99595.0,102232.0,1965.241,930.0,798.0,431.0,6.4,0,3.97168949781701e-05,-0.003343000000000984,0.5064929999934975,3,-0.0007190639269438748
ahmedabad_ssp585_mid_2050s_typical_2055,Ahmedabad,ssp585,mid_2050s,typical,2055,27.757055,87384.800906,44.279718,965,56.356043,checksum-only://selected_weather/ssp585/Ahmedabad/ahmedabad_ssp585_mid_2050s_typical_2055.epw,8760,2055,0,a64f00878873a2df8adef4875a8c3fed08a17cc4ce6e4183c9e0c4cb49a4b88b,0f4e6404beef1e90f6ef0d08c9bf35417892009a47b37956233e90b74b3ef97d,27.757093607305933,9.25,44.28,87385.0,967,56.364041095890414,19.0,89.0,0,99454.0,102287.0,1865.337,962.0,799.0,462.0,6.4,0,3.8607305931748215e-05,0.0002819999999985612,0.19909399999596644,2,0.007998095890414447
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,Ahmedabad,ssp585,near_2030s,heatwave_extreme,2037,27.961734,89638.885702,46.88205,1155,56.40666,checksum-only://selected_weather/ssp585/Ahmedabad/ahmedabad_ssp585_near_2030s_heatwave_extreme_2037.epw,8760,2037,0,ea6ebe492d13130fb6aec9ec2976fce52907ee108f04774ef852e328a84e5c61,4adcb583eeb44ba9c3443d855cfcfe03595da19b5b01db2ff14074653dd5f94a,27.961793378995434,9.95,46.88,89639.37999999999,1156,56.412100456621005,19.0,89.0,0,99428.0,102240.0,1923.366,880.0,799.0,445.0,6.89,0,5.9378995434400395e-05,-0.0020499999999969987,0.49429799999052193,1,0.005440456621002454
ahmedabad_ssp585_near_2030s_hot_2037,Ahmedabad,ssp585,near_2030s,hot,2037,27.961734,89638.885702,46.88205,1155,56.40666,checksum-only://selected_weather/ssp585/Ahmedabad/ahmedabad_ssp585_near_2030s_hot_2037.epw,8760,2037,0,ea6ebe492d13130fb6aec9ec2976fce52907ee108f04774ef852e328a84e5c61,4adcb583eeb44ba9c3443d855cfcfe03595da19b5b01db2ff14074653dd5f94a,27.961793378995434,9.95,46.88,89639.37999999999,1156,56.412100456621005,19.0,89.0,0,99428.0,102240.0,1923.366,880.0,799.0,445.0,6.89,0,5.9378995434400395e-05,-0.0020499999999969987,0.49429799999052193,1,0.005440456621002454
ahmedabad_ssp585_near_2030s_typical_2031,Ahmedabad,ssp585,near_2030s,typical,2031,26.911824,81512.894083,44.890228,849,56.382097,checksum-only://selected_weather/ssp585/Ahmedabad/ahmedabad_ssp585_near_2030s_typical_2031.epw,8760,2031,0,2cd8cce966d18e58284456e5b1bc10cde749752d9237a6878b8950d49a84fc9e,f42287fbf77945fbb5c260df226a71582ae1afa98d27a37737be1f8474db391a,26.91185502283105,7.79,44.89,81513.14000000001,849,56.387100456621006,19.0,89.0,0,99262.0,102271.0,1923.972,913.0,799.0,518.0,6.47,0,3.1022831048943544e-05,-0.00022799999999989495,0.2459170000074664,0,0.005003456621004432
beijing_ssp245_baseline_2020s_heatwave_extreme_2025,Beijing,ssp245,baseline_2020s,heatwave_extreme,2025,13.942054,25156.848381,36.927585,43,56.184776,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_baseline_2020s_heatwave_extreme_2025.epw,8760,2025,0,113577d302fec6f6951d856acd45f7067ee1e31cc331af79a078dead380c6177,260608e4f01f068cb28355ac5dac0bb92ddc46eef3daf8bf15bcde4a8762cd15,13.942010273972603,-13.46,36.93,25156.749999999996,43,56.19029680365297,16.0,93.0,0,99391.0,104486.0,1642.315,892.0,763.0,533.0,11.17,0,-4.372602739799447e-05,0.002414999999999168,-0.0983810000034282,0,0.005520803652970585
beijing_ssp245_baseline_2020s_hot_2025,Beijing,ssp245,baseline_2020s,hot,2025,13.942054,25156.848381,36.927585,43,56.184776,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_baseline_2020s_hot_2025.epw,8760,2025,0,113577d302fec6f6951d856acd45f7067ee1e31cc331af79a078dead380c6177,260608e4f01f068cb28355ac5dac0bb92ddc46eef3daf8bf15bcde4a8762cd15,13.942010273972603,-13.46,36.93,25156.749999999996,43,56.19029680365297,16.0,93.0,0,99391.0,104486.0,1642.315,892.0,763.0,533.0,11.17,0,-4.372602739799447e-05,0.002414999999999168,-0.0983810000034282,0,0.005520803652970585
beijing_ssp245_baseline_2020s_typical_2026,Beijing,ssp245,baseline_2020s,typical,2026,12.926611,22252.923701,34.029787,0,56.243318,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_baseline_2020s_typical_2026.epw,8760,2026,0,e1a396ce14cdae050d4a276f4bf5e20b254f65d8f116954665771888b46ff24b,20d59774c04965fc3670736a2872669d37344cf4bf8e2771e8624582da15ffaf,12.92660388127854,-13.74,34.03,22252.75,0,56.2384703196347,27.0,93.0,0,99548.0,104518.0,1480.341,775.0,727.0,443.0,13.13,0,-7.118721459420385e-06,0.00021300000000223918,-0.1737009999997099,0,-0.004847680365301699
