city,scenario,weather_year,case_id_canonical,source_csv,epw_path,source_rows,epw_rows,expected_transform_sha256,epw_transform_sha256,exact_transform_match
Beijing,ssp245,2035,beijing_ssp245_near_2030s_typical_2035,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Beijing/forecast_Beijing_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_near_2030s_typical_2035.epw,8760,8760,e4564de457bcaf8673d4b24d9a5e3ad81ee3fd220e7ea49babd258d7f59c447b,e4564de457bcaf8673d4b24d9a5e3ad81ee3fd220e7ea49babd258d7f59c447b,True
Beijing,ssp245,2039,beijing_ssp245_near_2030s_heatwave_extreme_2039,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Beijing/forecast_Beijing_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_near_2030s_heatwave_extreme_2039.epw,8760,8760,013c3d5904a475e1b034d42c7975a6390b47cae288e168e4aed77dd43683b02c,013c3d5904a475e1b034d42c7975a6390b47cae288e168e4aed77dd43683b02c,True
Beijing,ssp245,2050,beijing_ssp245_mid_2050s_heatwave_extreme_2050,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Beijing/forecast_Beijing_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_mid_2050s_heatwave_extreme_2050.epw,8760,8760,4b8ad6535675a00072ba22b3cf172599ee767b94800d3be709e35477a6883ae5,4b8ad6535675a00072ba22b3cf172599ee767b94800d3be709e35477a6883ae5,True
Beijing,ssp245,2056,beijing_ssp245_mid_2050s_typical_2056,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Beijing/forecast_Beijing_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_mid_2050s_typical_2056.epw,8784,8784,7cb0e3446b9a7fb4f09f5af64a9c37327673c3156a6833cfb28178b609110931,7cb0e3446b9a7fb4f09f5af64a9c37327673c3156a6833cfb28178b609110931,True
Beijing,ssp245,2083,beijing_ssp245_late_2080s_typical_2083,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Beijing/forecast_Beijing_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_late_2080s_typical_2083.epw,8760,8760,30c413b4b6ab5b64e7eb9fd266313f9b8f8cbd528c002028ee554d036dc8d868,30c413b4b6ab5b64e7eb9fd266313f9b8f8cbd528c002028ee554d036dc8d868,True
Beijing,ssp245,2084,beijing_ssp245_late_2080s_heatwave_extreme_2084,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Beijing/forecast_Beijing_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_late_2080s_heatwave_extreme_2084.epw,8784,8784,1e51f9d0e4688b05d388fffce6b50a1cc15c45dfee95a40160e059d80abe77a7,1e51f9d0e4688b05d388fffce6b50a1cc15c45dfee95a40160e059d80abe77a7,True
Guangzhou,ssp245,2025,guangzhou_ssp245_baseline_2020s_typical_2025,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Guangzhou/forecast_Guangzhou_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Guangzhou/guangzhou_ssp245_baseline_2020s_typical_2025.epw,8760,8760,ced5f08372b93a7b4ae389ba40644c6de1c6d779523ec6eaa77a243711f94ab6,ced5f08372b93a7b4ae389ba40644c6de1c6d779523ec6eaa77a243711f94ab6,True
Guangzhou,ssp245,2027,guangzhou_ssp245_baseline_2020s_hot_2027,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Guangzhou/forecast_Guangzhou_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Guangzhou/guangzhou_ssp245_baseline_2020s_hot_2027.epw,8760,8760,4863da49afd58c22c51148bf48313767182f880f5f017a35ca8697272e93b3ad,4863da49afd58c22c51148bf48313767182f880f5f017a35ca8697272e93b3ad,True
Guangzhou,ssp245,2028,guangzhou_ssp245_baseline_2020s_heatwave_extreme_2028,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Guangzhou/forecast_Guangzhou_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Guangzhou/guangzhou_ssp245_baseline_2020s_heatwave_extreme_2028.epw,8784,8784,7c3d619191f27e38ac4d044f51f107e3eb6bc616ef89e97364c8613979544098,7c3d619191f27e38ac4d044f51f107e3eb6bc616ef89e97364c8613979544098,True
Guangzhou,ssp245,2031,guangzhou_ssp245_near_2030s_typical_2031,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Guangzhou/forecast_Guangzhou_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Guangzhou/guangzhou_ssp245_near_2030s_typical_2031.epw,8760,8760,0fbd380ad930a07ceaa55ea1ebc2b78d38d7e8171b1e7acdcbcb77a3a397e7c6,0fbd380ad930a07ceaa55ea1ebc2b78d38d7e8171b1e7acdcbcb77a3a397e7c6,True
Guangzhou,ssp245,2034,guangzhou_ssp245_near_2030s_heatwave_extreme_2034,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Guangzhou/forecast_Guangzhou_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Guangzhou/guangzhou_ssp245_near_2030s_heatwave_extreme_2034.epw,8760,8760,a4d4fd9ec0f3f8732d081b5f574aab0271673a2eacb3f042f65455449b065256,a4d4fd9ec0f3f8732d081b5f574aab0271673a2eacb3f042f65455449b065256,True
Guangzhou,ssp245,2038,guangzhou_ssp245_near_2030s_hot_2038,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Guangzhou/forecast_Guangzhou_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Guangzhou/guangzhou_ssp245_near_2030s_hot_2038.epw,8760,8760,a066d6446124171333947737da517c896c9055aa0b443fb8d8b7b94c8a8c995d,a066d6446124171333947737da517c896c9055aa0b443fb8d8b7b94c8a8c995d,True
Guangzhou,ssp245,2051,guangzhou_ssp245_mid_2050s_hot_2051,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Guangzhou/forecast_Guangzhou_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Guangzhou/guangzhou_ssp245_mid_2050s_hot_2051.epw,8760,8760,9f94d5d07a2bd3d78680830a40a166b5e125eb7d42677e612db98de1914ed2bc,9f94d5d07a2bd3d78680830a40a166b5e125eb7d42677e612db98de1914ed2bc,True
Guangzhou,ssp245,2054,guangzhou_ssp245_mid_2050s_typical_2054,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Guangzhou/forecast_Guangzhou_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Guangzhou/guangzhou_ssp245_mid_2050s_typical_2054.epw,8760,8760,383065e5c913bec2f510ef10685fd15f496b44319fa4fbd79a38fa6610aa0d1a,383065e5c913bec2f510ef10685fd15f496b44319fa4fbd79a38fa6610aa0d1a,True
Guangzhou,ssp245,2055,guangzhou_ssp245_mid_2050s_heatwave_extreme_2055,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Guangzhou/forecast_Guangzhou_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Guangzhou/guangzhou_ssp245_mid_2050s_heatwave_extreme_2055.epw,8760,8760,12f05c4e9a9fdcba049376d9f36e81bada6aea89684601f48a65bdd6393c5469,12f05c4e9a9fdcba049376d9f36e81bada6aea89684601f48a65bdd6393c5469,True
Guangzhou,ssp245,2083,guangzhou_ssp245_late_2080s_hot_2083,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Guangzhou/forecast_Guangzhou_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Guangzhou/guangzhou_ssp245_late_2080s_hot_2083.epw,8760,8760,9781af965dbfbd3068ab2d4f2321a549eb637185bfb3be2d0691048928b1245a,9781af965dbfbd3068ab2d4f2321a549eb637185bfb3be2d0691048928b1245a,True
Guangzhou,ssp245,2084,guangzhou_ssp245_late_2080s_typical_2084,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Guangzhou/forecast_Guangzhou_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Guangzhou/guangzhou_ssp245_late_2080s_typical_2084.epw,8784,8784,f03d0ad7700fba97658496fa0524dc1b40cfc3d8144dd6dc2eb2afdcee3b0843,f03d0ad7700fba97658496fa0524dc1b40cfc3d8144dd6dc2eb2afdcee3b0843,True
Guangzhou,ssp245,2088,guangzhou_ssp245_late_2080s_heatwave_extreme_2088,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Guangzhou/forecast_Guangzhou_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Guangzhou/guangzhou_ssp245_late_2080s_heatwave_extreme_2088.epw,8784,8784,9973242f394942e47631cdddcf179e3032caa7edcf2e06dd23910b03c50639af,9973242f394942e47631cdddcf179e3032caa7edcf2e06dd23910b03c50639af,True
Houston,ssp245,2026,houston_ssp245_baseline_2020s_heatwave_extreme_2026,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Houston/forecast_Houston_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Houston/houston_ssp245_baseline_2020s_heatwave_extreme_2026.epw,8760,8760,edf891f497a4097e90652092b21114f1e0b98d8fb1a0869dc5342708a9ec9ad4,edf891f497a4097e90652092b21114f1e0b98d8fb1a0869dc5342708a9ec9ad4,True
Houston,ssp245,2027,houston_ssp245_baseline_2020s_typical_2027,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Houston/forecast_Houston_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Houston/houston_ssp245_baseline_2020s_typical_2027.epw,8760,8760,a04242ca3a61615092868f6f5e16aadbbef853da1c0e0197f4953bf327a2fb79,a04242ca3a61615092868f6f5e16aadbbef853da1c0e0197f4953bf327a2fb79,True
Houston,ssp245,2033,houston_ssp245_near_2030s_typical_2033,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Houston/forecast_Houston_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Houston/houston_ssp245_near_2030s_typical_2033.epw,8760,8760,fcdc0f27b14064d8488ac6affcd24c19ffc4a2c77d3dc2432b9f40e3c1cdca41,fcdc0f27b14064d8488ac6affcd24c19ffc4a2c77d3dc2432b9f40e3c1cdca41,True
Houston,ssp245,2038,houston_ssp245_near_2030s_hot_2038,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Houston/forecast_Houston_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Houston/houston_ssp245_near_2030s_hot_2038.epw,8760,8760,343e025ec9358fd946b09990ec973a182bb6d15c655062143e24f4d1ab30b468,343e025ec9358fd946b09990ec973a182bb6d15c655062143e24f4d1ab30b468,True
Houston,ssp245,2039,houston_ssp245_near_2030s_heatwave_extreme_2039,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Houston/forecast_Houston_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Houston/houston_ssp245_near_2030s_heatwave_extreme_2039.epw,8760,8760,fb3dc84bdff18611db6e92e76cb1f79e4a22cf03c0a4714210e5a22578cb449d,fb3dc84bdff18611db6e92e76cb1f79e4a22cf03c0a4714210e5a22578cb449d,True
