tsv,class_index,support,share_pct
-3,0,443,1.9934302299419522
-2,1,1238,5.570805021824237
-1,2,3755,16.896908608198714
0,3,9834,44.25145119920803
1,4,4064,18.287359942402016
2,5,1982,8.918687845925392
3,6,907,4.081357152499662
