group_scope,event,threshold,aggregator,n_steps,ordinal_high_count,nominal_high_count,both_high_count,union_high_count,ordinal_only_count,nominal_only_count,disagreement_count,ordinal_high_pct,nominal_high_pct,nominal_minus_ordinal_pp,disagreement_pct,jaccard
global,broad_tail,0.05,any_zone,2405376,2405109,2405375,2405108,2405376,1,267,268,99.98889986430396,99.99995842645806,0.011058562154108132,0.011141709237973606,0.9998885829076203
global,broad_tail,0.05,area_weighted_mean,2405376,2397251,2405096,2396992,2405355,259,8104,8363,99.66221497179652,99.98835940825883,0.3261444364623244,0.3476795311834823,0.9965231743339341
global,broad_tail,0.05,equal_zone_mean,2405376,2392685,2403262,2390589,2405358,2096,12673,14769,99.47239017933163,99.9121135323542,0.43972335302256277,0.6139996408045977,0.9938599576445585
global,broad_tail,0.05,zone_p90,2405376,2403652,2405315,2403591,2405376,61,1724,1785,99.92832721370796,99.9974640139421,0.06913680023414219,0.07420877234993614,0.9992579122765006
global,broad_tail,0.06,any_zone,2405376,2377098,2405121,2376881,2405338,217,28240,28457,98.82438338122606,99.98939874680715,1.1650153655810984,1.1830582827799063,0.9881692302703404
global,broad_tail,0.06,area_weighted_mean,2405376,2190050,2388085,2176595,2401540,13455,211490,224945,91.04813550979141,99.28115188644104,8.233016376649637,9.3517603900596,0.9063330196457273
global,broad_tail,0.06,equal_zone_mean,2405376,2166441,2371660,2138278,2399823,28163,233382,261545,90.0666257583014,98.59830646019583,8.531680701894423,10.873352024797786,0.8910148790139939
global,broad_tail,0.06,zone_p90,2405376,2311984,2403160,2310026,2405118,1958,93134,95092,96.1173637718178,99.90787303107706,3.7905092592592595,3.9533112494678586,0.960462646739162
global,broad_tail,0.07,any_zone,2405376,2274612,2389318,2264421,2399509,10191,124897,135088,94.56367736270754,99.3324120636441,4.768734700936569,5.616086632609621,0.9437018156631211
global,broad_tail,0.07,area_weighted_mean,2405376,1718754,2192607,1665994,2245367,52760,526613,579373,71.45469149106003,91.15443905651341,19.699747565453386,24.08658771019583,0.7419695755749506
global,broad_tail,0.07,equal_zone_mean,2405376,1780360,2147284,1698254,2229390,82106,449030,531136,74.01587111536824,89.27020141549595,15.254330300127714,22.081204767986375,0.7617572519837265
global,broad_tail,0.07,zone_p90,2405376,2154925,2346739,2121684,2379980,33241,225055,258296,89.587864849404,97.56225222169009,7.974387372286079,10.738279587058324,0.8914713569021588
global,broad_tail,0.08,any_zone,2405376,1910354,2196407,1871797,2234964,38557,324610,363167,79.42018212537249,91.31241851585781,11.892236390485312,15.09813850308642,0.8375065549154259
global,broad_tail,0.08,area_weighted_mean,2405376,1263696,1547331,1200317,1610710,63379,347014,410393,52.53631864623244,64.32803021232439,11.791711566091955,17.061490594401874,0.745209876389915
global,broad_tail,0.08,equal_zone_mean,2405376,1320730,1554321,1239115,1635936,81615,315206,396821,54.90742403682418,64.61862927043423,9.711205233610047,16.497254483290764,0.7574348874283591
global,broad_tail,0.08,zone_p90,2405376,1660434,1983961,1596102,2048293,64332,387859,452191,69.03012252554278,82.4802858264155,13.450163300872712,18.799181500106428,0.7792351973081976
global,broad_tail,0.09,any_zone,2405376,1686900,1911531,1633455,1964976,53445,278076,331521,70.13040788633461,79.46911418422732,9.33870629789272,13.782502195083012,0.831284962259081
global,broad_tail,0.09,area_weighted_mean,2405376,967310,1152760,907797,1212273,59513,244963,304476,40.21450284695615,47.924316198382286,7.709813351426138,12.658145753512132,0.7488387516673225
global,broad_tail,0.09,equal_zone_mean,2405376,1025309,1202029,968065,1259273,57244,233964,291208,42.62572670551298,49.97260303586633,7.346876330353341,12.106547999148574,0.7687491115905765
global,broad_tail,0.09,zone_p90,2405376,1393718,1628175,1327491,1694402,66227,300684,366911,57.94179371541082,67.68900163633461,9.747207920923797,15.253789844082588,0.7834569364294895
global,broad_tail,0.1,any_zone,2405376,1447519,1713351,1392062,1768808,55457,321289,376746,60.178491844934015,71.23006964399745,11.05157779906343,15.66266562899106,0.7870057123215182
global,broad_tail,0.1,area_weighted_mean,2405376,782724,898001,727982,952743,54742,170019,224761,32.5406090357599,37.33308222914006,4.792473193380162,9.344110858343976,0.7640906309466456
global,broad_tail,0.1,equal_zone_mean,2405376,849210,975657,810796,1014071,38414,164861,203275,35.304667544699875,40.56151720146871,5.256849656768837,8.450861736377181,0.7995455939475639
global,broad_tail,0.1,zone_p90,2405376,1209035,1422237,1143984,1487288,65051,278253,343304,50.26386727064709,59.12742955779054,8.863562287143466,14.272363239676459,0.7691744974745981
global,broad_tail,0.11,any_zone,2405376,1398722,1550111,1321133,1627700,77589,228978,306567,58.14982771924223,64.4436046588974,6.293776939655173,12.745076029693486,0.8116563248755914
global,broad_tail,0.11,area_weighted_mean,2405376,645109,732117,606237,770989,38872,125880,164752,26.81946606268625,30.43669679916986,3.61723073648361,6.849324180502342,0.7863108293373835
global,broad_tail,0.11,equal_zone_mean,2405376,739695,808782,707202,841275,32493,101580,134073,30.75174109993614,33.62393239144317,2.8721912915070242,5.573889487547893,0.8406311848087724
global,broad_tail,0.11,zone_p90,2405376,1116575,1255250,1046360,1325465,70215,208890,279105,46.41997758354619,52.18518851106854,5.765210927522349,11.603383421136654,0.7894286156179152
global,broad_tail,0.12,any_zone,2405376,1303519,1381726,1210895,1474350,92624,170831,263455,54.19190180661984,57.443243800553425,3.251341993933589,10.952757489889315,0.8213076949164039
global,broad_tail,0.12,area_weighted_mean,2405376,550968,603164,520599,633533,30369,82565,112934,22.905691251596423,25.075663846317582,2.169972594721158,4.695066384631758,0.8217393569080064
global,broad_tail,0.12,equal_zone_mean,2405376,650343,696542,626558,720327,23785,69984,93769,27.037061981162196,28.957718044912728,1.920656063750532,3.8983094534908473,0.869824399196476
global,broad_tail,0.12,zone_p90,2405376,1016848,1081435,951763,1146520,65085,129672,194757,42.27397296722009,44.959083320029805,2.6851103528097062,8.096738306194124,0.8301320517740641
global,broad_tail,0.13,any_zone,2405376,1151616,1221075,1110477,1262214,41139,110598,151737,47.87675606641124,50.76441271551724,2.8876566491060025,6.308244532247766,0.8797850443744087
global,broad_tail,0.13,area_weighted_mean,2405376,484680,514925,460743,538862,23937,54182,78119,20.14986430395913,21.407256079714774,1.2573917757556408,3.247683522243508,0.8550296736455716
global,broad_tail,0.13,equal_zone_mean,2405376,574833,620375,558662,636546,16171,61713,77884,23.8978438298212,25.791186076521928,1.8933422467007237,3.237913739889314,0.8776459203262608
global,broad_tail,0.13,zone_p90,2405376,926264,950030,878968,997326,47296,71062,118358,38.50807524478502,39.49611204235845,0.9880367975734355,4.920561276074926,0.88132466214658
global,broad_tail,0.14,any_zone,2405376,1129241,1116148,1066004,1179385,63237,50144,113381,46.94654806566624,46.40222568114091,-0.5443223845253299,4.713649757875691,0.9038643021574804
global,broad_tail,0.14,area_weighted_mean,2405376,440662,458654,420450,478866,20212,38204,58416,18.3198801351639,19.067871301617707,0.7479911664538101,2.4285600255427844,0.8780118028843142
global,broad_tail,0.14,equal_zone_mean,2405376,515476,556976,502930,569522,12546,54046,66592,21.43016310131971,23.15546509152831,1.7253019902085993,2.7684653043848444,0.8830738759872314
global,broad_tail,0.14,zone_p90,2405376,894279,890421,846649,938051,47630,43772,91402,37.178345506066414,37.01795478128991,-0.16039072477650063,3.799904879736058,0.9025618010108193
global,broad_tail,0.15,any_zone,2405376,1074090,1078798,1022769,1130119,51321,56029,107350,44.653725654533844,44.849453889953175,0.19572823541932735,4.4629197264793525,0.9050100033713264
global,broad_tail,0.15,area_weighted_mean,2405376,407659,417364,389562,435461,18097,27802,45899,16.947828530757768,17.351299755214985,0.4034712244572159,1.908184001170711,0.8945967606743198
global,broad_tail,0.15,equal_zone_mean,2405376,467177,500187,455761,511603,11416,44426,55842,19.42220259951043,20.794545218710088,1.3723426191996595,2.321549728607918,0.8908489590561431
global,broad_tail,0.15,zone_p90,2405376,865554,851022,813713,902863,51841,37309,89150,35.984145514048535,35.379998802681996,-0.604146711366539,3.7062812633035334,0.9012585519619256
global,broad_tail,0.16,any_zone,2405376,1036868,1049291,995183,1090976,41685,54108,95793,43.1062752767135,43.62274338814389,0.516468111430396,3.9824543023627075,0.9121951353650309
global,broad_tail,0.16,area_weighted_mean,2405376,380524,386250,364574,402200,15950,21676,37626,15.81973047041294,16.057780571519796,0.23805010110685398,1.5642460887611749,0.9064495275982098
global,broad_tail,0.16,equal_zone_mean,2405376,427344,454408,415777,465975,11567,38631,50198,17.766203703703702,18.891350042571307,1.1251463388676033,2.086908657939549,0.8922731906218144
global,broad_tail,0.16,zone_p90,2405376,839210,801897,774813,866294,64397,27084,91481,34.8889321253725,33.33769855523627,-1.551233570136228,3.803189189548744,0.8943995918244845
global,broad_tail,0.17,any_zone,2405376,1034538,997698,963878,1068358,70660,33820,104480,43.009408924010216,41.47783963920818,-1.5315692848020435,4.343603661132397,0.9022050660920777
global,broad_tail,0.17,area_weighted_mean,2405376,356233,361448,342246,375435,13987,19202,33189,14.809867563324818,15.026673584504044,0.2168060211792252,1.3797842832056195,0.911598545687003
global,broad_tail,0.17,equal_zone_mean,2405376,393230,418226,383389,428067,9841,34837,44678,16.347963894210302,17.387136148361005,1.0391722541507025,1.8574227064708386,0.8956284880637844
global,broad_tail,0.17,zone_p90,2405376,803030,767491,745139,825382,57891,22352,80243,33.38480137824606,31.90731927149851,-1.4774821067475523,3.335985725308642,0.9027807730238847
global,broad_tail,0.18,any_zone,2405376,1006333,903243,885963,1023613,120370,17280,137650,41.83682717379736,37.551010735951465,-4.2858164378458925,5.722598047041294,0.8655253499125157
global,broad_tail,0.18,area_weighted_mean,2405376,333618,340876,321252,353242,12366,19624,31990,13.869681912515963,14.17142267986377,0.3017407673478076,1.3299376064282673,0.9094388549492982
global,broad_tail,0.18,equal_zone_mean,2405376,364046,388964,355736,397274,8310,33228,41538,15.134681646445298,16.170611164325244,1.0359295178799488,1.7268817848020435,0.8954424402301686
global,broad_tail,0.18,zone_p90,2405376,773551,716721,698392,791880,75159,18329,93488,32.159254935610896,29.796630547573432,-2.362624388037463,3.886627288207748,0.8819417083396475
