weather,city,scenario,time_slice,severity,weather_year,event,threshold,aggregator,n_steps,ordinal_high_count,nominal_high_count,both_high_count,union_high_count,ordinal_only_count,nominal_only_count,disagreement_count,ordinal_high_pct,nominal_high_pct,nominal_minus_ordinal_pp,disagreement_pct,jaccard
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.09,zone_p90,16704,11895,13398,11794,13499,101,1604,1705,71.21048850574712,80.20833333333334,8.99784482758621,10.20713601532567,0.8736943477294614
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.09,any_zone,16704,13990,15174,13871,15293,119,1303,1422,83.75239463601532,90.84051724137932,7.0881226053639885,8.512931034482758,0.9070162819590663
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.1,equal_zone_mean,16704,8781,9743,8641,9883,140,1102,1242,52.56824712643679,58.32734674329502,5.759099616858232,7.435344827586207,0.8743296569867449
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.1,area_weighted_mean,16704,7811,9002,7700,9113,111,1302,1413,46.76125478927203,53.89128352490421,7.130028735632177,8.45905172413793,0.8449467793262373
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.1,zone_p90,16704,10829,11943,10608,12164,221,1335,1556,64.82878352490421,71.4978448275862,6.669061302682,9.315134099616857,0.8720815521210128
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.1,any_zone,16704,12741,14030,12565,14206,176,1465,1641,76.27514367816092,83.99185823754789,7.716714559386972,9.823994252873563,0.8844854286921019
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.11,equal_zone_mean,16704,8005,8494,7840,8659,165,654,819,47.92265325670498,50.85009578544061,2.9274425287356243,4.9030172413793105,0.9054163298302345
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.11,area_weighted_mean,16704,6767,7744,6631,7880,136,1113,1249,40.51125478927203,46.36015325670498,5.84889846743295,7.477250957854406,0.841497461928934
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.11,zone_p90,16704,10379,10992,9943,11428,436,1049,1485,62.13481800766284,65.80459770114942,3.6697796934865856,8.890086206896552,0.8700560028001401
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.11,any_zone,16704,12582,13177,12200,13559,382,977,1359,75.32327586206897,78.8852969348659,3.5620210727969392,8.135775862068966,0.8997713695700272
