weather,zone,zone_label,floor,position,position_name,high_tail_pct__COMP-Lo,high_tail_pct__S-real,high_tail_pct__COMP-Med,high_tail_pct__EQ-Max,high_tail_pct__COMP-Hi,high_tail_pct__LEGACY,mean_p_tail__COMP-Lo,mean_p_tail__S-real,mean_p_tail__COMP-Med,mean_p_tail__EQ-Max,mean_p_tail__COMP-Hi,mean_p_tail__LEGACY,high_tail_pct_profile_spread,mean_p_tail_profile_spread,sreal_high_tail_gap_to_max_profile,sreal_mean_p_tail_gap_to_max_profile
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,core_bottom,Core bottom,bottom,core,Core,0.3472222222222222,0.5148467432950191,2.1132662835249043,16.582854406130267,9.183429118773946,14.331896551724139,0.09413990104934601,0.09270623930375868,0.12459345471257846,0.1445797911752703,0.10553994919525969,0.13195162812846167,16.235632183908045,0.05187355187151163,16.068007662835246,0.05187355187151163
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,perimeter_bot_zn_1,Bottom P1,bottom,P1,P1 south,14.28999042145594,15.128113026819923,32.974137931034484,60.793821839080465,53.735632183908045,61.40445402298851,0.15183174155819087,0.1536621571794649,0.19177694656285527,0.30429739860252647,0.23298262628414104,0.2524697093089,47.11446360153257,0.1524656570443356,46.276340996168585,0.15063524142306156
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,perimeter_bot_zn_2,Bottom P2,bottom,P2,P2 east,1.1793582375478928,1.3170498084291187,4.2684386973180075,20.623802681992338,14.59530651340996,19.115181992337167,0.09669236563189229,0.09536093051189873,0.12709217492847402,0.15689624430771912,0.11607996825691311,0.1433622014764124,19.444444444444446,0.06153531379582039,19.30675287356322,0.06153531379582039
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,perimeter_bot_zn_3,Bottom P3,bottom,P3,P3 north,1.0057471264367817,1.1015325670498084,5.034722222222222,25.58668582375479,15.882423371647509,23.25191570881226,0.096329076263833,0.09467333294271577,0.12693641161565028,0.16276378192998728,0.11905840172239787,0.14871092342250977,24.58093869731801,0.06809044898727151,24.485153256704983,0.06809044898727151
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,perimeter_bot_zn_4,Bottom P4,bottom,P4,P4 west,0.6645114942528735,0.7423371647509579,2.957375478927203,15.134099616858238,11.566091954022989,14.56537356321839,0.09208167904316,0.09049130270651845,0.12185248745056547,0.14176697439812144,0.10608066005942136,0.13256168888128292,14.469588122605364,0.05127567169160299,14.39176245210728,0.05127567169160299
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,core_mid,Core middle,middle,core,Core,1.215277777777778,1.2691570881226053,5.5136494252873565,25.55675287356322,19.82758620689655,24.191810344827587,0.09775037617152671,0.09608333285336457,0.1281766785625127,0.1683281864598775,0.12422250332359977,0.15264218747108615,24.34147509578544,0.07224485360651292,24.287595785440615,0.07224485360651292
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,perimeter_mid_zn_1,Middle P1,middle,P1,P1 south,13.715277777777779,15.45138888888889,31.45354406130268,55.196360153256705,46.90493295019157,53.89727011494253,0.1431998226603292,0.1448788258364968,0.18427984298291547,0.2862805090515514,0.21702667014181434,0.23667362462694355,41.48108237547893,0.14308068639122218,39.74497126436782,0.14140168321505459
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,perimeter_mid_zn_2,Middle P2,middle,P2,P2 east,2.077346743295019,1.8199233716475096,5.471743295019157,20.839319923371647,18.12140804597701,20.3125,0.0980528028445953,0.09626218972837634,0.12748490097987056,0.16105181893386472,0.12061044008843488,0.14668581986887572,19.01939655172414,0.06478962920548838,19.01939655172414,0.06478962920548838
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,perimeter_mid_zn_3,Middle P3,middle,P3,P3 north,3.334530651340996,2.9094827586206895,11.05124521072797,30.39990421455939,25.01197318007663,28.867337164750957,0.10572931523566385,0.10406758895399369,0.1372355480326622,0.18583630171360047,0.139246983401411,0.1640762706550257,27.490421455938698,0.08176871275960677,27.490421455938698,0.08176871275960677
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,perimeter_mid_zn_4,Middle P4,middle,P4,P4 west,1.5625,1.4487547892720307,5.166427203065134,17.636494252873565,15.116139846743296,18.06154214559387,0.09484346890699634,0.09310650569018582,0.1245428225829164,0.15068196076906648,0.11370754314209179,0.1397627237471505,16.61278735632184,0.057575455078880663,16.61278735632184,0.057575455078880663
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,core_top,Core top,top,core,Core,0.8979885057471264,0.9758141762452108,4.6875,18.767959770114942,14.70905172413793,17.708333333333336,0.0929397204277903,0.09137840536731814,0.12373673398729201,0.14958192136061627,0.11077461278907029,0.13748814322631683,17.869971264367816,0.05820351599329812,17.79214559386973,0.05820351599329812
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,perimeter_top_zn_1,Top P1,top,P1,P1 south,9.207375478927203,10.895593869731801,25.56273946360153,47.294061302681996,38.64942528735632,45.923132183908045,0.13023359615185562,0.1316098286813347,0.16982642403926435,0.2557819370611502,0.19128648214175145,0.2148030132007021,38.08668582375479,0.1255483409092946,36.3984674329502,0.12417210837981552
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,perimeter_top_zn_2,Top P2,top,P2,P2 east,1.9875478927203067,1.933668582375479,5.495689655172414,20.031130268199234,16.81633141762452,19.372605363984675,0.09746914849364888,0.09579504156530941,0.12760424544965193,0.159687762368737,0.11874565232608857,0.14529237242570456,18.097461685823756,0.06389272080342759,18.097461685823756,0.06389272080342759
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,perimeter_top_zn_3,Top P3,top,P3,P3 north,2.687978927203065,2.5203544061302683,8.704501915708812,24.862308429118773,20.019157088122604,23.461446360153257,0.10067976517029549,0.09910674906276964,0.13243534732373394,0.16958449093097439,0.12684195585621852,0.15144535538226603,22.341954022988503,0.07047774186820474,22.341954022988503,0.07047774186820474
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,perimeter_top_zn_4,Top P4,top,P4,P4 west,1.5505268199233717,1.5146072796934866,4.855124521072797,15.864463601532567,13.122605363984674,16.73251915708812,0.09345000744717989,0.09175216088773096,0.1234955154237867,0.14581786301239272,0.10952403350166585,0.13631562140753906,15.217911877394634,0.05406570212466176,15.217911877394634,0.05406570212466176
ahmedabad_ssp245_baseline_2020s_hot_2029,core_bottom,Core bottom,bottom,core,Core,0.3472222222222222,0.5148467432950191,2.1132662835249043,16.582854406130267,9.183429118773946,14.331896551724139,0.09413990104934601,0.09270623930375868,0.12459345471257846,0.1445797911752703,0.10553994919525969,0.13195162812846167,16.235632183908045,0.05187355187151163,16.068007662835246,0.05187355187151163
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_bot_zn_1,Bottom P1,bottom,P1,P1 south,14.28999042145594,15.128113026819923,32.974137931034484,60.793821839080465,53.735632183908045,61.40445402298851,0.15183174155819087,0.1536621571794649,0.19177694656285527,0.30429739860252647,0.23298262628414104,0.2524697093089,47.11446360153257,0.1524656570443356,46.276340996168585,0.15063524142306156
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_bot_zn_2,Bottom P2,bottom,P2,P2 east,1.1793582375478928,1.3170498084291187,4.2684386973180075,20.623802681992338,14.59530651340996,19.115181992337167,0.09669236563189229,0.09536093051189873,0.12709217492847402,0.15689624430771912,0.11607996825691311,0.1433622014764124,19.444444444444446,0.06153531379582039,19.30675287356322,0.06153531379582039
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_bot_zn_3,Bottom P3,bottom,P3,P3 north,1.0057471264367817,1.1015325670498084,5.034722222222222,25.58668582375479,15.882423371647509,23.25191570881226,0.096329076263833,0.09467333294271577,0.12693641161565028,0.16276378192998728,0.11905840172239787,0.14871092342250977,24.58093869731801,0.06809044898727151,24.485153256704983,0.06809044898727151
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_bot_zn_4,Bottom P4,bottom,P4,P4 west,0.6645114942528735,0.7423371647509579,2.957375478927203,15.134099616858238,11.566091954022989,14.56537356321839,0.09208167904316,0.09049130270651845,0.12185248745056547,0.14176697439812144,0.10608066005942136,0.13256168888128292,14.469588122605364,0.05127567169160299,14.39176245210728,0.05127567169160299
ahmedabad_ssp245_baseline_2020s_hot_2029,core_mid,Core middle,middle,core,Core,1.215277777777778,1.2691570881226053,5.5136494252873565,25.55675287356322,19.82758620689655,24.191810344827587,0.09775037617152671,0.09608333285336457,0.1281766785625127,0.1683281864598775,0.12422250332359977,0.15264218747108615,24.34147509578544,0.07224485360651292,24.287595785440615,0.07224485360651292
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_mid_zn_1,Middle P1,middle,P1,P1 south,13.715277777777779,15.45138888888889,31.45354406130268,55.196360153256705,46.90493295019157,53.89727011494253,0.1431998226603292,0.1448788258364968,0.18427984298291547,0.2862805090515514,0.21702667014181434,0.23667362462694355,41.48108237547893,0.14308068639122218,39.74497126436782,0.14140168321505459
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_mid_zn_2,Middle P2,middle,P2,P2 east,2.077346743295019,1.8199233716475096,5.471743295019157,20.839319923371647,18.12140804597701,20.3125,0.0980528028445953,0.09626218972837634,0.12748490097987056,0.16105181893386472,0.12061044008843488,0.14668581986887572,19.01939655172414,0.06478962920548838,19.01939655172414,0.06478962920548838
