city,year,month,day,hour,current_time,outdoor_temp_c,expected_tsv,discomfort_probability,zone_p_disc_max,zone_p_disc_p90,zone_p_disc_spread,zones_above_tail_020,mean_d_tail,zone_d_tail_max_abs,gap_max_minus_mean
Ahmedabad,2087,11,30,12,12.75,35.9025,0.390485919868775,0.1686441937448739,0.7472329967230656,0.46234922863573097,0.6907717682269144,3,0.1106275502696939,0.7396091085400923,0.5785888029781917
Ahmedabad,2087,11,13,12,13.0,34.7,0.4265974592615373,0.170593975716631,0.7472329967230656,0.4596090021103382,0.6747203760446768,3,0.11872910811608449,0.7396091085400923,0.5766390210064346
Ahmedabad,2087,11,13,12,12.75,34.535000000000004,0.4260261257710191,0.1708984453305635,0.7472329967230656,0.46234922863573097,0.6747203760446768,3,0.11842463850215199,0.7396091085400923,0.5763345513925021
Ahmedabad,2081,11,6,12,13.0,34.61,0.4284176119626687,0.171393470927009,0.7472329967230656,0.46234922863573097,0.6747203760446768,3,0.11891966409859758,0.7396091085400923,0.5758395257960567
Ahmedabad,2081,11,6,12,13.0,34.61,0.4284176119626687,0.171393470927009,0.7472329967230656,0.46234922863573097,0.6747203760446768,3,0.11891966409859758,0.7396091085400923,0.5758395257960567
Ahmedabad,2087,11,14,13,13.25,35.114999999999995,0.4063344042134733,0.1720439566533766,0.7472329967230656,0.4753714977861787,0.6864618712967678,3,0.11529152307722398,0.7396091085400923,0.5751890400696891
Ahmedabad,2081,10,31,17,17.25,35.59,0.4707453814346557,0.173848572774989,0.7472329967230655,0.3971924138600995,0.6747203760446767,3,0.1331517585105849,0.7396091085400922,0.5733844239480765
Ahmedabad,2081,10,31,17,17.25,35.59,0.4707453814346557,0.173848572774989,0.7472329967230655,0.3971924138600995,0.6747203760446767,3,0.1331517585105849,0.7396091085400922,0.5733844239480765
Ahmedabad,2087,11,27,13,13.25,33.6325,0.4299722778979176,0.1746158941884275,0.7472329967230655,0.4616196297133829,0.6743355462210721,3,0.1193397617542869,0.7396091085400922,0.572617102534638
Ahmedabad,2058,10,30,16,17.0,35.47,0.5081804102227215,0.1768185122153849,0.7472329967230655,0.3700046337261929,0.6747203760446767,3,0.136780294197285,0.7396091085400922,0.5704144845076806
Ahmedabad,2081,10,31,12,12.5,33.685,0.4689507359699009,0.1769053366256016,0.7472329967230655,0.48260791164813344,0.6864618712967677,3,0.1346445584920237,0.7396091085400922,0.5703276600974639
Ahmedabad,2081,10,31,12,12.5,33.685,0.4689507359699009,0.1769053366256016,0.7472329967230655,0.48260791164813344,0.6864618712967677,3,0.1346445584920237,0.7396091085400922,0.5703276600974639
Ahmedabad,2025,10,30,16,17.0,35.08,0.5107547633995956,0.1786278860580174,0.7472329967230656,0.3700046337261929,0.6864618712967678,3,0.1403156340372066,0.7396091085400923,0.5686051106650483
Ahmedabad,2025,10,31,16,16.75,35.7125,0.4920941580446158,0.1793952163534588,0.7472329967230656,0.3712192477654438,0.6799488339873394,3,0.1389521269889419,0.7396091085400923,0.5678377803696069
Ahmedabad,2037,10,31,14,14.5,35.144999999999996,0.5126167740341072,0.1807076572290188,0.7472329967230655,0.5352081284080308,0.6864618712967677,3,0.14742769471299458,0.7396091085400922,0.5665253394940467
Ahmedabad,2037,10,31,14,14.5,35.144999999999996,0.5126167740341072,0.1807076572290188,0.7472329967230655,0.5352081284080308,0.6864618712967677,3,0.14742769471299458,0.7396091085400922,0.5665253394940467
Ahmedabad,2081,10,31,13,13.25,34.1875,0.5019849336993597,0.1811833292353374,0.7472329967230655,0.5352081284080308,0.6873742179340214,3,0.14548783530855391,0.7396091085400922,0.5660496674877281
Ahmedabad,2081,10,31,13,13.25,34.1875,0.5019849336993597,0.1811833292353374,0.7472329967230655,0.5352081284080308,0.6873742179340214,3,0.14548783530855391,0.7396091085400922,0.5660496674877281
Ahmedabad,2037,10,31,13,14.0,34.56,0.5042399335304878,0.181195905857196,0.7472329967230655,0.5352081284080308,0.6864618712967677,3,0.14528844153268902,0.7396091085400922,0.5660370908658695
Ahmedabad,2037,10,31,13,14.0,34.56,0.5042399335304878,0.181195905857196,0.7472329967230655,0.5352081284080308,0.6864618712967677,3,0.14528844153268902,0.7396091085400922,0.5660370908658695
Ahmedabad,2037,10,31,14,14.25,34.8525,0.5093233062485482,0.181490522745609,0.7472329967230655,0.5352081284080308,0.6864618712967677,3,0.1462006346347109,0.7396091085400922,0.5657424739774566
Ahmedabad,2037,10,31,14,14.25,34.8525,0.5093233062485482,0.181490522745609,0.7472329967230655,0.5352081284080308,0.6864618712967677,3,0.1462006346347109,0.7396091085400922,0.5657424739774566
Ahmedabad,2081,10,31,13,13.5,34.335,0.5100492293101859,0.1819207282110734,0.7472329967230655,0.5351935045815929,0.6873742179340214,3,0.1481977424573884,0.7396091085400922,0.5653122685119921
Ahmedabad,2081,10,31,13,13.5,34.335,0.5100492293101859,0.1819207282110734,0.7472329967230655,0.5351935045815929,0.6873742179340214,3,0.1481977424573884,0.7396091085400922,0.5653122685119921
Ahmedabad,2037,10,31,14,15.0,35.73,0.5327055434524899,0.1827352254830692,0.7472329967230655,0.48258844192307104,0.6873742179340214,3,0.15098336484930291,0.7396091085400922,0.5644977712399963
Ahmedabad,2037,10,31,14,15.0,35.73,0.5327055434524899,0.1827352254830692,0.7472329967230655,0.48258844192307104,0.6873742179340214,3,0.15098336484930291,0.7396091085400922,0.5644977712399963
Ahmedabad,2058,10,30,16,16.75,35.4925,0.5317933290422249,0.1854824247170704,0.7472329967230656,0.40751993988735774,0.6799488339873394,3,0.148362551233782,0.7396091085400923,0.5617505720059952
Ahmedabad,2087,11,13,13,13.5,35.065,0.4527839436929005,0.1856853314052721,0.7472329967230656,0.5791532839324326,0.6799488339873394,3,0.1348350458415713,0.7396091085400923,0.5615476653177935
Ahmedabad,2055,11,5,13,13.25,33.5325,0.5007122351368531,0.1859310858564271,0.7472329967230655,0.5803549181549752,0.6864618712967677,3,0.1438190579431474,0.7396091085400922,0.5613019108666384
Ahmedabad,2034,11,5,13,13.25,33.6325,0.5088315059307484,0.1860620387311796,0.7472329967230655,0.5508591443281026,0.6864618712967677,3,0.14694662113654278,0.7396091085400922,0.561170957991886
Ahmedabad,2034,11,5,13,13.25,33.6325,0.5088315059307484,0.1860620387311796,0.7472329967230655,0.5508591443281026,0.6864618712967677,3,0.14694662113654278,0.7396091085400922,0.561170957991886
Ahmedabad,2037,10,31,16,17.0,35.77,0.4871568724598982,0.1867445730987223,0.7472329967230655,0.46284556541778515,0.6747203760446766,3,0.1467063550806225,0.7396091085400922,0.5604884236243433
Ahmedabad,2037,10,31,16,17.0,35.77,0.4871568724598982,0.1867445730987223,0.7472329967230655,0.46284556541778515,0.6747203760446766,3,0.1467063550806225,0.7396091085400922,0.5604884236243433
Ahmedabad,2037,10,31,16,16.5,35.82,0.5297755818567104,0.1874779379427433,0.7472329967230655,0.4198947112961338,0.6864618712967677,3,0.1511293170666042,0.7396091085400922,0.5597550587803222
Ahmedabad,2037,10,31,16,16.5,35.82,0.5297755818567104,0.1874779379427433,0.7472329967230655,0.4198947112961338,0.6864618712967677,3,0.1511293170666042,0.7396091085400922,0.5597550587803222
Ahmedabad,2037,10,31,14,14.75,35.4375,0.5228692074475731,0.187936990281869,0.7472329967230655,0.5352081284080308,0.6873742179340214,3,0.1551842798000307,0.7396091085400922,0.5592960064411965
Ahmedabad,2037,10,31,14,14.75,35.4375,0.5228692074475731,0.187936990281869,0.7472329967230655,0.5352081284080308,0.6873742179340214,3,0.1551842798000307,0.7396091085400922,0.5592960064411965
Ahmedabad,2058,10,31,13,13.75,35.4425,0.5228540517224132,0.1886552203572312,0.7472329967230655,0.576989324999551,0.6873742179340214,3,0.1532062686062572,0.7396091085400922,0.5585777763658344
Ahmedabad,2034,11,19,13,13.25,33.205,0.5312640193888101,0.190736900266158,0.7472573697671288,0.5803549181549752,0.6864862443408309,3,0.1556784548600039,0.739584735496029,0.5565204695009708
Ahmedabad,2034,11,19,13,13.25,33.205,0.5312640193888101,0.190736900266158,0.7472573697671288,0.5803549181549752,0.6864862443408309,3,0.1556784548600039,0.739584735496029,0.5565204695009708
Ahmedabad,2025,10,31,14,14.5,35.065,0.5190448062947319,0.1912690229967497,0.7472329967230656,0.5788161426831463,0.6864618712967678,3,0.1533138627838819,0.7396091085400923,0.555963973726316
Ahmedabad,2025,10,30,13,13.25,33.425,0.5236676562017771,0.1915894900458033,0.7472329967230656,0.5842333847602876,0.6864618712967678,3,0.1572895952394933,0.7396091085400923,0.5556435066772624
Ahmedabad,2058,10,31,13,13.5,35.295,0.5205140723967069,0.1925778873666658,0.7472329967230655,0.5788161426831463,0.6799488339873392,3,0.1559024201742178,0.7396091085400922,0.5546551093563997
Ahmedabad,2058,10,30,16,16.5,35.515,0.5734573044904112,0.1941655578723427,0.7472329967230655,0.46234922863573097,0.6864618712967677,3,0.1613494951763868,0.7396091085400922,0.5530674388507228
Ahmedabad,2025,10,30,16,16.75,35.1025,0.5552916507367899,0.1941917301842574,0.7472329967230655,0.4202596747997835,0.6747203760446766,3,0.1582487151240037,0.7396091085400922,0.5530412665388081
Ahmedabad,2034,11,26,13,13.25,33.3625,0.5333787004719858,0.1945423370626443,0.7472573697671288,0.6139056608748384,0.6873985909780846,3,0.1583980548892516,0.739584735496029,0.5527150327044845
Ahmedabad,2034,11,26,13,13.25,33.3625,0.5333787004719858,0.1945423370626443,0.7472573697671288,0.6139056608748384,0.6873985909780846,3,0.1583980548892516,0.739584735496029,0.5527150327044845
Ahmedabad,2034,11,12,12,12.75,33.7425,0.5298633457035298,0.1947332655669556,0.7472329967230656,0.5788307665095842,0.6799488339873394,3,0.1566125422355951,0.7396091085400923,0.5524997311561101
Ahmedabad,2034,11,12,12,12.75,33.7425,0.5298633457035298,0.1947332655669556,0.7472329967230656,0.5788307665095842,0.6799488339873394,3,0.1566125422355951,0.7396091085400923,0.5524997311561101
