city,year,occupied_probability_steps,mean_p_disc_mean,max_zone_p_disc_mean,p90_zone_p_disc_mean,mean_high_tail_020_pct,max_zone_high_tail_020_pct,p90_zone_high_tail_020_pct,hidden_tail_020_pct,mean_low_but_any_zone_above_disc_low_pct,mean_below_disc_up_but_any_zone_above_disc_up_pct,max_zone_more_severe_pct,p90_zone_more_severe_pct,mean_zone_p_disc_spread,p95_zone_p_disc_spread,mean_zones_above_tail_020,zone_mu_both_signs_pct,zone_d_tail_both_signs_pct,mu_d_tail_sign_conflict_pct_of_comparable,mu_d_tail_sign_comparable_steps,mean_abs_mu,mean_abs_d_tail
All,All,2405376,0.11652893585819378,0.1969266900910941,0.16507134359755057,13.448250917943804,37.03200663846318,28.193887358982543,23.58375572051937,15.327707601638995,16.35873144157088,31.686439043209873,20.94138296881652,0.12212528091082733,0.359219674828145,2.2275116239623243,28.596859700936566,51.29813384684972,4.310604132441751,1642322,0.28600661183895126,0.06647298820420779
Ahmedabad,All,400896,0.13166755489207857,0.25032747939735245,0.20530641023153684,17.107179916985952,54.47672214240102,42.160809786079184,37.36954222541507,11.679587723499361,27.44901420817369,39.12860193167305,26.72588401979566,0.17244749045717267,0.4570757265612398,3.0366728528097062,19.81785799808429,54.06963401979566,1.052258709784964,287952,0.34108150909365104,0.08111145096415036
Beijing,All,400896,0.09515612985237724,0.14683935812398596,0.12369663839813569,5.475235472541507,15.54966874201788,9.981641123882504,10.074433269476373,10.232828464240102,5.0768777937420175,15.30970625798212,10.844458413154534,0.07872148492752958,0.2324082259784847,0.9130597461685823,45.90068247126437,54.73988266283525,11.459380218684117,264674,0.20068697780619119,0.045101211305487554
Guangzhou,All,400896,0.108154502954627,0.17085800558589626,0.14452766487466778,12.514467592592593,32.07889327905492,23.273118215197957,19.564425686462325,22.738066730523627,11.267011893358877,34.005078623882504,22.172583413154534,0.09864575610610953,0.3008926728915474,1.9816311462324394,26.100285360791826,54.40213920817369,5.4925715743161385,235245,0.26748397701965104,0.058007227781462896
Houston,All,400896,0.1051657010504511,0.16107201758835887,0.13917808169878462,12.332624920178798,28.180625399106003,22.3145154853129,15.848000478927204,25.772519556194123,11.468809865900383,37.24132942209451,25.115491299489147,0.09126789940726117,0.29792608458477365,1.8818746008939975,31.767341155810985,57.80252234993615,5.8778678272192995,233452,0.2588772483903979,0.05555882276297874
Kolkata,All,400896,0.12886121677707182,0.2133162120372998,0.17858205589857692,19.903416347381864,47.26836885376756,36.36005348020434,27.3649525063857,19.936841475095786,18.98297812899106,38.91981960408685,25.963591554916988,0.1307506123801014,0.3185824198713025,3.2603443287037037,17.831557311621967,47.60087404214559,3.6617135157390424,267170,0.340162760873918,0.08147407656228998
Phoenix,All,400896,0.13016850962255688,0.23914706781367068,0.1991372104836024,13.35658125798212,44.63776141443167,35.073186063218394,31.28118015644955,1.6064016602809705,23.90769675925926,25.514098419540232,14.826289112388249,0.16091844218678977,0.4518716416626405,2.2914870689655173,30.163433908045977,39.173750798212005,0.28488337586800405,353829,0.3077471978498988,0.0775851398488769
Ahmedabad,2025,33408,0.1176931381898035,0.22931885613639807,0.18594391021252596,12.104885057471265,48.25490900383142,36.099137931034484,36.15002394636016,13.730244252873563,24.71264367816092,38.442887931034484,25.826149425287355,0.15833726297453168,0.45543421401624634,2.3011853448275863,20.99197796934866,59.225335249042146,1.067231053271491,22207,0.29668610037159077,0.06535181122085182
Ahmedabad,2027,33408,0.14811917097575977,0.26935700147802855,0.2226485182136214,24.060105363984675,61.15301724137932,49.622844827586206,37.092911877394634,6.615181992337164,34.62045019157088,41.235632183908045,26.556513409961685,0.17964034326200395,0.4506683919350638,3.9761733716475094,16.5110153256705,45.60584291187739,0.6407390850841901,26844,0.40632898205515844,0.09979756372526946
Ahmedabad,2029,33408,0.13506373814444111,0.2611850194529353,0.2124933494310368,18.80387931034483,58.776340996168585,45.33644636015325,39.97246168582376,8.560823754789272,29.495929118773944,38.05675287356322,24.94013409961686,0.18369976764700305,0.46142747126234707,3.1940852490421454,15.756704980842912,48.41954022988506,0.862406899255194,25510,0.3587617146349929,0.08543603706347053
