zone,mean_p_disc,p95_p_disc,high_tail_020_pct,above_disc_up_pct
perimeter_bot_zn_1,0.163864519575003,0.3993365125440598,30.510115674223076,10.976288114623243
perimeter_mid_zn_1,0.161172536099068,0.4198947112961338,27.906240022349937,12.111703118348233
perimeter_top_zn_1,0.14706615220448377,0.3842313427997147,23.589783884099617,9.882072490953597
perimeter_mid_zn_3,0.12054967582104592,0.3624461117643018,16.969696213814387,5.83098027085994
perimeter_top_zn_3,0.11472577305325726,0.3624461117643018,15.009836300021288,5.334883194976586
core_mid,0.10837060810499746,0.3101632266759955,12.911785932843763,2.97828697051937
perimeter_top_zn_2,0.10833894703119612,0.3101632266759955,12.855578504150703,3.8782294327373354
perimeter_mid_zn_2,0.10765453206137753,0.3101632266759955,12.60979572424436,3.439046535759898
perimeter_bot_zn_3,0.10617304522495963,0.3101632266759955,11.665036983822903,3.456216408578118
core_top,0.10191576534527766,0.3006022251709707,11.305425846104725,2.70065885749255
perimeter_mid_zn_4,0.10405124507511897,0.2953864903042743,10.99004895700298,2.8254210568326945
perimeter_top_zn_4,0.10242885662658749,0.2928843656840942,10.449301897083865,2.893892680395913
perimeter_bot_zn_2,0.1024967320196346,0.2928843656840942,10.374386374521073,2.8675350548105576
perimeter_bot_zn_4,0.09719189165952921,0.261978649972982,8.345181792784164,2.0970941757130697
core_bottom,0.1019337579713703,0.2594765253528019,7.258948289165603,1.2383926670923797
