city,scalar,rows,high_tail_pct,pearson_r,standard_disagreement_pct,standard_false_negative_pct,standard_false_positive_pct
Ahmedabad,abs_mean_pmv,400896,17.538962723499363,0.930522415186996,18.634009818007662,0.06685025542784163,18.56715956257982
Ahmedabad,abs_mu_tsv,400896,17.538962723499363,0.9870396162248851,6.621916906130268,0.00249441251596424,6.619422493614303
Beijing,abs_mean_pmv,400896,5.433828224776501,,31.027997286079184,0.001995530012771392,31.026001756066414
Beijing,abs_mu_tsv,400896,5.433828224776501,,1.7553180874840357,0.0,1.7553180874840357
Guangzhou,abs_mean_pmv,400896,12.673361669859515,,18.187509977650063,0.004489942528735632,18.183020035121327
Guangzhou,abs_mu_tsv,400896,12.673361669859515,,4.7084530651340994,0.0,4.7084530651340994
Houston,abs_mean_pmv,400896,12.456597222222223,,18.50080818965517,0.004489942528735632,18.496318247126435
Houston,abs_mu_tsv,400896,12.456597222222223,,4.687001117496807,0.000249441251596424,4.686751676245211
Kolkata,abs_mean_pmv,400896,19.719827586206897,,18.498064335887612,0.012222621328224775,18.48584171455939
Kolkata,abs_mu_tsv,400896,19.719827586206897,,5.329561781609195,0.0,5.329561781609195
Phoenix,abs_mean_pmv,400896,15.26081577266922,,7.9422094508301395,0.21427003512132825,7.727939415708812
Phoenix,abs_mu_tsv,400896,15.26081577266922,,2.7600674489144317,0.17061781609195403,2.5894496328224776
