dataset,analysis,metric,level,contrast,estimate,ci_lower_2_5,ci_upper_97_5,bootstrap_mean,bootstrap_sd,n_bootstrap_valid,resampling_unit,n_resampling_units
role_weighted_144,overall,mean_p_tail,,,0.11557731697796071,0.10944155143882127,0.12200219982543059,0.11560685883533164,0.003207087378171861,10000,city × scenario_raw × time_slice,48
role_weighted_144,overall,high_tail_pct,,,13.14730004789272,11.02148479073542,15.453327255281502,13.159694284802043,1.1253048478231558,10000,city × scenario_raw × time_slice,48
role_weighted_144,overall,mean_zone_high_tail_pct,,,13.14730004789272,11.02148479073542,15.453327255281502,13.159694284802043,1.1253048478231558,10000,city × scenario_raw × time_slice,48
role_weighted_144,overall,any_zone_high_tail_pct,,,36.64316930076628,32.39389392760217,40.866229437726155,36.65140061678507,2.1601865634479327,10000,city × scenario_raw × time_slice,48
role_weighted_144,overall,hidden_any_zone_high_tail_pct,,,23.49586925287356,20.788137696559705,26.119986022975205,23.491706331983025,1.3741298586525215,10000,city × scenario_raw × time_slice,48
role_weighted_144,overall,area_weighted_zone_time_high_tail_pct,,,12.872694464516497,10.75327170359001,15.199535449963426,12.885248476999578,1.1281826819259613,10000,city × scenario_raw × time_slice,48
role_weighted_144,overall,area_weighted_mean_p_tail,,,0.11087493339172816,0.10539094841072133,0.11688003057196727,0.11090801316932097,0.002899768036985408,10000,city × scenario_raw × time_slice,48
role_weighted_144,overall,any_minus_mean_zone_pct_points,,,23.49586925287356,20.788137696559705,26.1199860229752,23.491706331983025,1.3741298586525217,10000,city × scenario_raw × time_slice,48
role_weighted_144,overall,area_weighted_minus_mean_zone_pct_points,,,-0.2746055833762212,-0.5705891056054477,0.009272879700824606,-0.2744458078024659,0.14796471582921877,10000,city × scenario_raw × time_slice,48
unique_source_year_119,overall,mean_p_tail,,,0.11320826086310785,0.10779527303780505,0.1192743252426676,0.11326802185599784,0.0029702317522845713,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
unique_source_year_119,overall,high_tail_pct,,,12.436411346147656,10.59535310808708,14.46789576673114,12.450775103569645,1.0042544689382424,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
unique_source_year_119,overall,mean_zone_high_tail_pct,,,12.436411346147656,10.59535310808708,14.46789576673114,12.450775103569645,1.0042544689382424,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
unique_source_year_119,overall,any_zone_high_tail_pct,,,35.41490590489069,31.658003701605598,39.305060192369446,35.458035965188174,1.9656827496507914,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
unique_source_year_119,overall,hidden_any_zone_high_tail_pct,,,22.97849455874303,20.551449005047665,25.520298799463905,23.007260861618526,1.2815606681053728,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
unique_source_year_119,overall,area_weighted_zone_time_high_tail_pct,,,12.184954202095495,10.357820256927658,14.157907233098655,12.200169705365433,0.9880982527105371,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
unique_source_year_119,overall,area_weighted_mean_p_tail,,,0.10864265600511058,0.10389214657295531,0.11398049162715553,0.10869145120279622,0.002615185385679969,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
unique_source_year_119,overall,any_minus_mean_zone_pct_points,,,22.97849455874303,20.55144900504766,25.520298799463905,23.007260861618526,1.281560668105373,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
unique_source_year_119,overall,area_weighted_minus_mean_zone_pct_points,,,-0.25145714405216,-0.5652212771892022,0.04848985742197855,-0.25060539820421474,0.15753380735376687,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
role_weighted_144,time_slice_level,mean_p_tail,baseline_2020s,,0.10426582063075598,0.09545776186623316,0.1139429997141042,0.10418615222427823,0.0047646139824471315,10000,city × scenario_raw,12
role_weighted_144,time_slice_level,mean_p_tail,near_2030s,,0.10446279789325434,0.09711487910179382,0.11206953431393561,0.1044191140966513,0.0038209522825377873,10000,city × scenario_raw,12
role_weighted_144,time_slice_level,mean_p_tail,mid_2050s,,0.11730474844702715,0.10804342524408542,0.12730972538215238,0.11725654747341432,0.004969833765659183,10000,city × scenario_raw,12
