dataset,analysis,metric,level,contrast,estimate,ci_lower_2_5,ci_upper_97_5,bootstrap_mean,bootstrap_sd,n_bootstrap_valid,resampling_unit,n_resampling_units
endpoint_role_weighted_144,overall,mean_endpoint_probability,,,0.026517859034402305,0.02494437504223965,0.02819863194076493,0.026525642269479597,0.00082944626812011,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,area_weighted_mean_endpoint_probability,,,0.02459287003470795,0.023277434321878312,0.026047098312824257,0.024600848519520973,0.0007030720319866989,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,mean_zone_high_pct__tau_0p025,,,33.30377454501916,30.21613460847701,36.36941272383195,33.309549292917204,1.579489955595541,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,any_zone_high_pct__tau_0p025,,,69.3319880135164,67.04130663979353,71.58602646737974,69.33271714276687,1.1678581623507118,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,hidden_any_zone_pct__tau_0p025,,,36.028213468497235,34.57507786724404,37.478220660719984,36.02316784984967,0.7409068189343962,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,area_weighted_zone_time_high_pct__tau_0p025,,,29.56183083549868,27.648108950398882,31.623914572807674,29.568485551003587,1.0081488690933662,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,any_minus_mean_zone_pp__tau_0p025,,,36.02821346849723,34.57507786724404,37.478220660719984,36.02316784984966,0.7409068189343966,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,mean_zone_high_pct__tau_0p05,,,10.986806220732227,9.142142434280547,12.984809859248617,10.996858761374522,0.9719116192935823,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,any_zone_high_pct__tau_0p05,,,30.337834916453808,26.653072118454663,33.99955869685238,30.345665118467966,1.8803897564451482,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,hidden_any_zone_pct__tau_0p05,,,19.35102869572158,17.258453564016605,21.368885779187952,19.348806357093448,1.0606269442922112,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,area_weighted_zone_time_high_pct__tau_0p05,,,7.240026939920725,5.837022275427574,8.827691121020953,7.249877192974181,0.7631536589265172,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,any_minus_mean_zone_pp__tau_0p05,,,19.35102869572158,17.258453564016605,21.368885779187952,19.348806357093448,1.0606269442922114,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,mean_zone_high_pct__tau_0p075,,,3.7936688484461474,2.76189772409802,4.962263695987654,3.8022914463268944,0.5578105092017638,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,any_zone_high_pct__tau_0p075,,,23.873814322584078,20.60751624694019,27.121583070588542,23.88216807684121,1.6753421285148713,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,hidden_any_zone_pct__tau_0p075,,,20.080145474137932,17.5057797616672,22.577361086166988,20.079876630514313,1.3118939110621097,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,area_weighted_zone_time_high_pct__tau_0p075,,,4.612106765423651,3.6456645018806504,5.706208712989815,4.619586461673684,0.5265456632414729,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,any_minus_mean_zone_pp__tau_0p075,,,20.080145474137932,17.5057797616672,22.57736108616699,20.079876630514317,1.3118939110621097,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,mean_zone_high_pct__tau_0p1,,,1.421149957428693,0.8931181653097063,2.043883160054811,1.4266908915695509,0.2935313500201258,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,any_zone_high_pct__tau_0p1,,,20.299404334291186,17.241705662649,23.38027505886813,20.308613268777936,1.5763248548865418,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,hidden_any_zone_pct__tau_0p1,,,18.878254376862497,16.141331958080567,21.56175271558376,18.881922377208387,1.3943197563136047,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,area_weighted_zone_time_high_pct__tau_0p1,,,3.3126775888961473,2.5991986934088236,4.122398103122521,3.318556292060256,0.38907931761220504,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,any_minus_mean_zone_pp__tau_0p1,,,18.878254376862497,16.141331958080567,21.561752715583758,18.881922377208387,1.3943197563136045,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,mean_zone_high_pct__tau_0p15,,,0.12081271285653468,0.05866026766709237,0.19481673551245204,0.12136613984674327,0.034998807857934015,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,any_zone_high_pct__tau_0p15,,,7.654104805236271,5.938983136108451,9.418896463588228,7.65895234258594,0.9035394065016059,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,hidden_any_zone_pct__tau_0p15,,,7.533292092379735,5.839550656529374,9.28150318287037,7.537586202739196,0.8939743552433056,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,area_weighted_zone_time_high_pct__tau_0p15,,,0.5959201936884377,0.45853263446129094,0.7393879281932071,0.5964065508007584,0.07269320019795057,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,any_minus_mean_zone_pp__tau_0p15,,,7.533292092379735,5.839550656529374,9.28150318287037,7.537586202739196,0.8939743552433056,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,mean_zone_high_pct__tau_0p2,,,0.04207242443593018,0.01633736264101745,0.072380575843444,0.042125863066730516,0.014517615732323425,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,any_zone_high_pct__tau_0p2,,,0.7371820455512984,0.4430066234967007,1.0875233227570242,0.7389257479911665,0.16521310932199773,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,hidden_any_zone_pct__tau_0p2,,,0.6951096211153682,0.40575776926351637,1.0419171472568114,0.6967998849244359,0.16330666868892954,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,area_weighted_zone_time_high_pct__tau_0p2,,,0.058668689284332075,0.03643341327434783,0.08463536510016759,0.05881233154232649,0.012249838761241166,10000,city × scenario_raw × time_slice,48
endpoint_role_weighted_144,overall,any_minus_mean_zone_pp__tau_0p2,,,0.6951096211153682,0.40575776926351637,1.0419171472568114,0.6967998849244359,0.16330666868892954,10000,city × scenario_raw × time_slice,48
endpoint_unique_source_year_119,overall,mean_endpoint_probability,,,0.025972066626273698,0.024593101156619186,0.027471967884820665,0.025987822335704208,0.000739380793606565,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,area_weighted_mean_endpoint_probability,,,0.024126802181461505,0.02300790701016106,0.025347120701753434,0.02413830808324414,0.0006037666682489293,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,mean_zone_high_pct__tau_0p025,,,32.40666956437748,29.64639750565291,35.28568243763443,32.439004123378034,1.4600188582351172,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,any_zone_high_pct__tau_0p025,,,68.61562872275348,66.48299109072684,70.95667069400905,68.64386765299352,1.1414281429561188,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,hidden_any_zone_pct__tau_0p025,,,36.20895915837599,34.88991845250111,37.568794804885755,36.20486352961549,0.6833710161039529,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,area_weighted_zone_time_high_pct__tau_0p025,,,29.069103035046734,27.362453555189475,30.87882862306185,29.081007761058938,0.9093587708858886,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,any_minus_mean_zone_pp__tau_0p025,,,36.20895915837599,34.88991845250111,37.568794804885755,36.20486352961549,0.683371016103953,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,mean_zone_high_pct__tau_0p05,,,10.308656508580443,8.703023441776136,12.060242401612554,10.327884263857674,0.8626556033847561,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,any_zone_high_pct__tau_0p05,,,29.210333558710836,25.98945750698763,32.673024337454294,29.251773529934418,1.7352904794354196,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,hidden_any_zone_pct__tau_0p05,,,18.901677050130395,16.972410006713172,20.90519611071201,18.923889266076742,1.005737461504069,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,area_weighted_zone_time_high_pct__tau_0p05,,,6.704517295445554,5.543693375031354,8.000871676549382,6.716690678072037,0.6357910205759217,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,any_minus_mean_zone_pp__tau_0p05,,,18.901677050130395,16.972410006713172,20.905196110712005,18.923889266076742,1.005737461504069,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,mean_zone_high_pct__tau_0p075,,,3.375883399336746,2.520906740330232,4.340144326708173,3.383683945663701,0.4735133578460612,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,any_zone_high_pct__tau_0p075,,,22.869176406194654,20.000870033733133,25.935317156246587,22.905615150084554,1.5384002584869092,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,hidden_any_zone_pct__tau_0p075,,,19.493293006857915,17.158709266076997,21.924479188001623,19.52193120442085,1.2221551721592114,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,area_weighted_zone_time_high_pct__tau_0p075,,,4.230834742331061,3.4407873491698573,5.113206231712425,4.238766609459697,0.433086112431263,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,any_minus_mean_zone_pp__tau_0p075,,,19.493293006857915,17.158709266076997,21.924479188001623,19.521931204420852,1.2221551721592114,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,mean_zone_high_pct__tau_0p1,,,1.1913817251038348,0.7681623741331812,1.682521706100972,1.1948515246665528,0.23553164970715101,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,any_zone_high_pct__tau_0p1,,,19.317921133970835,16.640482871702,22.246952239868357,19.352651176823837,1.4464249068299901,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,hidden_any_zone_pct__tau_0p1,,,18.126539408867,15.71712793095532,20.700039709779343,18.157799652157284,1.2918685593486403,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,area_weighted_zone_time_high_pct__tau_0p1,,,3.0113023896215063,2.4271523533515262,3.6626530800591186,3.0179111243930365,0.31926750671979326,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,any_minus_mean_zone_pp__tau_0p1,,,18.126539408867,15.71712793095532,20.700039709779343,18.157799652157284,1.2918685593486403,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,mean_zone_high_pct__tau_0p15,,,0.10348248494800218,0.048881447705899105,0.1671182544670948,0.10364035455177598,0.030501015457270943,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,any_zone_high_pct__tau_0p15,,,7.030369619112013,5.452660884595769,8.841320902472207,7.052672071671564,0.8689831874343468,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,hidden_any_zone_pct__tau_0p15,,,6.926887134164012,5.365168568943975,8.720503287777806,6.949031717119788,0.8587406824775573,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,area_weighted_zone_time_high_pct__tau_0p15,,,0.5446782769913479,0.41792250935102915,0.692724078923331,0.5464170308050862,0.07040694317901652,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,any_minus_mean_zone_pp__tau_0p15,,,6.926887134164012,5.365168568943975,8.720503287777806,6.949031717119788,0.8587406824775573,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,mean_zone_high_pct__tau_0p2,,,0.03878706655075823,0.013199690988866263,0.07152687011195256,0.038825294164612154,0.015091653251302592,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,any_zone_high_pct__tau_0p2,,,0.6685864000772722,0.38244238643144274,1.0522890589486324,0.669033647844773,0.17361943603346758,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,hidden_any_zone_pct__tau_0p2,,,0.629799333526514,0.3495842834168041,1.0133078370135808,0.6302083536801609,0.17247911857412865,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,area_weighted_zone_time_high_pct__tau_0p2,,,0.053135340073356456,0.03123854436628293,0.07939460988757062,0.05317370394549182,0.012252873870208163,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_unique_source_year_119,overall,any_minus_mean_zone_pp__tau_0p2,,,0.629799333526514,0.34958428341680414,1.0133078370135808,0.6302083536801609,0.17247911857412865,10000,city × scenario_raw × time_slice block containing distinct source-year trajectories,48
endpoint_role_weighted_144,time_slice_level,mean_zone_high_pct__tau_0p025,baseline_2020s,,28.98507343550447,23.486003851372924,34.6789025915283,28.941944311409106,2.8669319341415442,10000,city × scenario_raw,12
