model,rows,mean_p_tail,high_tail_pct,pmv_pearson_r,pmv_spearman_r,mu_pearson_r,mu_spearman_r
Primary predictor,2405376,0.11652894834045267,13.448250917943804,0.856247988718893,0.7505797193267796,0.9758287110220041,0.8964746491072529
No-PMV predictor,2405376,0.12072983710512479,13.847232199872286,0.8492367167018298,0.726363710680279,0.9761394815834952,0.8891338671543162
