city,year,occupied_probability_steps,mean_p_disc_mean,max_zone_p_disc_mean,p90_zone_p_disc_mean,mean_high_tail_020_pct,max_zone_high_tail_020_pct,p90_zone_high_tail_020_pct,hidden_tail_020_pct,mean_low_but_any_zone_above_disc_low_pct,mean_below_disc_up_but_any_zone_above_disc_up_pct,max_zone_more_severe_pct,p90_zone_more_severe_pct,mean_zone_p_disc_spread,p95_zone_p_disc_spread,mean_zones_above_tail_020,zone_mu_both_signs_pct,zone_d_tail_both_signs_pct,mu_d_tail_sign_conflict_pct_of_comparable,mu_d_tail_sign_comparable_steps,mean_abs_mu,mean_abs_d_tail
All,All,2405376,0.12072983710512479,0.20483604517342835,0.1713090879143976,13.847232199872286,37.52124407992763,29.08576455406556,23.674011880055343,12.406417957109408,15.22344115847169,27.629859115581095,19.60184187420179,0.1287611297416897,0.3916270623898833,2.2067294260855683,32.9100315293742,50.90422453703704,1.4932470077424065,1873836,0.3061868689916226,0.07236940216647555
Ahmedabad,All,400896,0.1358402795542677,0.25958763456163875,0.21175715553293273,17.538962723499363,55.02848619093231,44.33394196998723,37.48952346743295,10.358546855044699,25.83338322158365,36.19193007662835,25.896741299489147,0.18032150012852294,0.4626895686824083,3.1041791387292466,26.24745569923372,46.68268079501915,0.0011743739852674783,340607,0.3711726420161518,0.08902436856251024
Beijing,All,400896,0.09728494851718258,0.14714700410712314,0.1252275375630028,5.433828224776501,16.05403895274585,10.323126197318008,10.620210727969347,8.387711526181354,3.713681353767561,12.101392879948914,9.661109115581098,0.07820720241655565,0.23313283208020047,0.8822687180715197,49.247186302681996,59.73893478607918,5.171894097734025,301901,0.20753638586810194,0.04782029324290342
Guangzhou,All,400896,0.11117751563227193,0.17851721326711967,0.15079403468139707,12.673361669859515,32.655102570242654,24.620350415070245,19.98174090038314,18.328194843550445,11.730224297573436,30.05841914112388,21.241918103448278,0.10626316880644296,0.3193817401445611,1.9083552841634739,33.40242856002554,55.21731321839081,1.5483187715117819,283275,0.2834254289635704,0.062361556587342444
Houston,All,400896,0.10829563918513357,0.17010431419600838,0.14582891729140116,12.456597222222223,29.422842832056194,23.353188856960408,16.966245609833972,19.384329102809705,12.254549808429118,31.638878911238827,23.594149106002554,0.10030919641248014,0.3153931529624855,1.7802622126436782,36.77637092911878,57.906788793103445,2.399247121346324,270960,0.27192920122701353,0.05914184480756993
Kolkata,All,400896,0.13226364727483633,0.22097370230830682,0.18458446767433667,19.719827586206897,46.71061821519796,36.77836645913155,26.990790628991064,16.701837883141764,17.32494212962963,34.02678001277139,23.822387851213282,0.13681408271727521,0.34291859889615417,3.094568167305236,26.341744492337167,47.57069165070243,0.4702710993769969,306419,0.36366555031225195,0.08604870406340692
Phoenix,All,400896,0.1395169924670561,0.2526864026003731,0.20966241474331543,15.26081577266922,45.25637571839081,35.105613425925924,29.995559945721585,1.2778875319284801,20.483866139846743,21.761753671775224,13.394745769476375,0.17065162796886152,0.4687466302222273,2.4707430356002553,25.44500319284802,38.308937978927204,0.009442259235878428,370674,0.3393920055626458,0.0898196457351202
Ahmedabad,2025,33408,0.12113727082508048,0.23756680076481476,0.1919308393572466,12.347341954022989,49.042145593869726,38.28125,36.69480363984675,11.826508620689655,23.75778256704981,35.58429118773947,25.25742337164751,0.1659689366155433,0.46012005485540436,2.342073754789272,28.03220785440613,51.03568007662835,0.0,27656,0.32306453639656635,0.0731770936001238
Ahmedabad,2027,33408,0.1533697043950611,0.2830828322035841,0.23114919730270136,25.005986590038315,62.75143678160919,52.47246168582376,37.74545019157088,6.429597701149426,32.866379310344826,39.29597701149425,26.903735632183906,0.19243214089617025,0.4529680489029977,4.03963122605364,20.551963601532567,37.16475095785441,0.0,30216,0.4432853344656264,0.10857290183300307
Ahmedabad,2029,33408,0.13904723233649616,0.27063578466324284,0.21789010618176236,19.07926245210728,59.93175287356321,48.19204980842912,40.85249042145594,7.614942528735632,28.939176245210728,36.55411877394636,25.742337164750957,0.1912011106461115,0.4636256915630371,3.255866858237548,20.65972222222222,39.64918582375479,0.006751738572682465,29622,0.3896582204320401,0.09306081940979492
