zone,mean_p_disc,p95_p_disc,high_tail_020_pct,above_disc_up_pct
perimeter_bot_zn_1,0.1689715667092039,0.4554546205922352,29.10962776713495,11.365250172945935
perimeter_mid_zn_1,0.16532357442296713,0.4554546205922352,27.973214998403577,11.662168409429546
perimeter_top_zn_1,0.15159780938031828,0.4014769095117381,23.797027990634312,9.530110884951043
perimeter_mid_zn_3,0.12584864823334177,0.3799208119055204,17.200637239250746,5.723720532673478
perimeter_top_zn_3,0.12001241732652732,0.3770971933975987,15.236661544806301,5.245125917943806
core_mid,0.11106552543362982,0.2918354547131525,12.797417118986804,2.782641882183908
perimeter_bot_zn_3,0.11153286870330037,0.3146587968292065,12.546479219880801,3.413811395806726
perimeter_top_zn_2,0.11255093285234057,0.3197994987468671,12.35070941091954,3.885172214240102
perimeter_mid_zn_2,0.11145159037248245,0.3197994987468671,11.895104964878673,3.51167551351639
core_top,0.1044987241887324,0.2863255260453291,11.245934107598979,2.4275622605363987
perimeter_bot_zn_2,0.10714006820827712,0.2863255260453291,10.551905398573862,2.72344115847169
perimeter_mid_zn_4,0.10750739246232971,0.2863255260453291,10.130474404001703,2.8247558801617707
perimeter_top_zn_4,0.10616659127236952,0.2863255260453291,9.65050786238825,2.845750518837803
perimeter_bot_zn_4,0.10113434504262174,0.257628205128205,8.44932351532567,1.9233583439761601
core_bottom,0.10614550196842776,0.2469775745427211,7.737917065772669,1.0892267986377182
