city,year,month,day,hour,current_time,outdoor_temp_c,expected_tsv,discomfort_probability,zone_p_disc_max,zone_p_disc_p90,zone_p_disc_spread,zones_above_tail_020,mean_d_tail,zone_d_tail_max_abs,gap_max_minus_mean
Ahmedabad,2088,12,24,17,17.5,31.3,0.3512329404751769,0.129178412753127,0.7203887855264002,0.1671524305506249,0.6471475618496131,2,0.08515041237901551,0.7103804452428306,0.5912103727732732
Ahmedabad,2088,12,24,17,17.5,31.3,0.3512329404751769,0.129178412753127,0.7203887855264002,0.1671524305506249,0.6471475618496131,2,0.08515041237901551,0.7103804452428306,0.5912103727732732
Ahmedabad,2059,2,5,17,18.0,33.42,0.4258146096426752,0.1410369501053524,0.7192898844274991,0.22659367516239903,0.6460486607507119,2,0.0957882457657128,0.7092815441439295,0.5782529343221467
Ahmedabad,2059,2,5,17,18.0,33.42,0.4258146096426752,0.1410369501053524,0.7192898844274991,0.22659367516239903,0.6460486607507119,2,0.0957882457657128,0.7092815441439295,0.5782529343221467
Phoenix,2050,10,4,16,17.0,39.63,0.1938995280093218,0.1442244799863814,0.7203887855264002,0.25995176620797267,0.6638527271102604,2,0.07721805297927399,0.7103804452428306,0.5761643055400187
Phoenix,2050,10,4,16,16.75,39.6675,0.2400744072203035,0.1462864592934107,0.7203887855264002,0.2726426262113501,0.6638527271102604,3,0.0828712102698424,0.7103804452428306,0.5741023262329895
Ahmedabad,2059,2,5,17,17.75,33.4775,0.4586711130552013,0.1524768771945794,0.7232124040343219,0.2875752024789589,0.6499711803575347,3,0.10875782127509981,0.7075568267349089,0.5707355268397425
Ahmedabad,2059,2,5,17,17.75,33.4775,0.4586711130552013,0.1524768771945794,0.7232124040343219,0.2875752024789589,0.6499711803575347,3,0.10875782127509981,0.7075568267349089,0.5707355268397425
Phoenix,2086,10,3,16,17.0,38.73,0.1786230514470977,0.1531529757353727,0.7232124040343219,0.23986738258704987,0.6666763456181821,2,0.0770077077476394,0.7075568267349089,0.5700594282989492
Phoenix,2086,10,3,16,17.0,38.73,0.1786230514470977,0.1531529757353727,0.7232124040343219,0.23986738258704987,0.6666763456181821,2,0.0770077077476394,0.7075568267349089,0.5700594282989492
Phoenix,2058,11,26,15,15.75,29.4625,0.4934962661147494,0.1562743574061999,0.7232124040343219,0.3163140728533662,0.6499711803575347,3,0.1108332986693855,0.7075568267349089,0.566938046628122
Ahmedabad,2025,1,4,14,14.25,25.137499999999996,0.3740035594359366,0.154716669022093,0.7203887855264002,0.37063465704599285,0.6693043231939173,3,0.10480765430012541,0.7103804452428306,0.5656721165043072
Ahmedabad,2025,1,5,13,14.0,24.44,0.384027155352265,0.1552580653262647,0.7203887855264002,0.37063465704599285,0.6693043231939173,3,0.1053490506042971,0.7103804452428306,0.5651307202001354
Ahmedabad,2025,1,5,14,14.25,24.9275,0.3907900773239312,0.1553971704103801,0.7203887855264002,0.37063465704599285,0.6693043231939173,3,0.1054881556884124,0.7103804452428306,0.5649916151160201
Ahmedabad,2059,2,5,17,17.5,33.535,0.4773758553221423,0.1576402583816498,0.7211985688729875,0.34575922660798003,0.6479573451962004,3,0.1144277493970699,0.7095706618962433,0.5635583104913378
Ahmedabad,2059,2,5,17,17.5,33.535,0.4773758553221423,0.1576402583816498,0.7211985688729875,0.34575922660798003,0.6479573451962004,3,0.1144277493970699,0.7095706618962433,0.5635583104913378
Ahmedabad,2025,1,4,14,14.75,26.112500000000004,0.3771423359948218,0.1569026632695675,0.7203887855264002,0.37063465704599285,0.6693043231939173,3,0.10296191074679459,0.7103804452428306,0.5634861222568327
