scope,case_label,mu_lower,mu_upper,tail_threshold,best_abs_mu_threshold,rows,probability_gate_action_pct,mean_threshold_action_pct,decision_disagreement_pct,false_negative_pct,false_positive_pct,boundary_rows,boundary_disagreement_pct,boundary_false_negative_pct,boundary_false_positive_pct
all_cases,All cases,0.5,0.7,0.2,0.5967462493823942,150336,9.889181566624096,9.580539591315453,1.2425500212856535,0.7755959982971478,0.4669540229885058,6772,25.251033668044894,14.884819846426462,10.366213821618429
weather_case,beijing ssp585 cmip direct 2025,0.5,0.7,0.2,0.5967462493823942,16704,0.14966475095785442,0.203544061302682,0.11374521072796935,0.02993295019157088,0.08381226053639847,111,17.117117117117118,4.504504504504505,12.612612612612612
weather_case,beijing ssp585 cmip direct 2050,0.5,0.7,0.2,0.5967462493823942,16704,5.070641762452107,5.4238505747126435,0.46096743295019155,0.05387931034482758,0.407088122605364,378,20.37037037037037,2.380952380952381,17.989417989417987
weather_case,beijing ssp585 cmip direct 2075,0.5,0.7,0.2,0.5967462493823942,16704,6.267959770114942,6.902538314176246,0.7902298850574714,0.07782567049808428,0.712404214559387,525,25.142857142857146,2.4761904761904763,22.666666666666664
weather_case,houston ssp585 cmip direct 2025,0.5,0.7,0.2,0.5967462493823942,16704,10.422653256704981,11.512212643678161,1.2811302681992338,0.09578544061302681,1.1853448275862069,1228,17.42671009771987,1.3029315960912053,16.123778501628664
weather_case,houston ssp585 cmip direct 2050,0.5,0.7,0.2,0.5967462493823942,16704,8.854166666666668,9.60249042145594,0.9159482758620688,0.08381226053639847,0.8321360153256706,878,17.425968109339408,1.5945330296127564,15.831435079726653
weather_case,houston ssp585 cmip direct 2075,0.5,0.7,0.2,0.5967462493823942,16704,14.260057471264368,14.918582375478929,1.113505747126437,0.2274904214559387,0.8860153256704981,1115,16.681614349775785,3.4080717488789234,13.273542600896862
weather_case,phoenix ssp585 cmip direct 2025,0.5,0.7,0.2,0.5967462493823942,16704,10.75191570881226,8.800287356321839,2.023467432950192,1.9875478927203067,0.035919540229885055,824,35.67961165048544,34.95145631067961,0.7281553398058253
weather_case,phoenix ssp585 cmip direct 2050,0.5,0.7,0.2,0.5967462493823942,16704,14.894636015325672,12.871168582375478,2.083333333333333,2.0534003831417627,0.02993295019157088,782,36.95652173913043,36.31713554987212,0.639386189258312
weather_case,phoenix ssp585 cmip direct 2075,0.5,0.7,0.2,0.5967462493823942,16704,18.330938697318008,15.990181992337165,2.400622605363985,2.3706896551724137,0.02993295019157088,931,37.16433941997852,36.62728249194414,0.5370569280343717
