scope,case_label,eps,direction_threshold,tail_threshold,rows,modest_mu_directional_tail_pct,sign_conflict_pct_of_comparable,sign_comparable_rows,high_tail_rows,high_tail_ambiguous_direction_pct_of_all,high_tail_ambiguous_direction_pct_of_high_tail,warm_directional_tail_pct,cold_directional_tail_pct,mean_abs_d_tail,p95_abs_d_tail
weather_case,beijing ssp585 cmip direct 2050,0.25,0.06,0.2,16704,3.7775383141762453,0.0,1875,847,0.0,0.0,15.002394636015326,0.0,0.04004780521988206,0.16921723496058524
weather_case,beijing ssp585 cmip direct 2050,0.25,0.08,0.2,16704,0.40110153256704983,0.0,1578,847,0.0,0.0,9.84794061302682,0.0,0.04004780521988206,0.16921723496058524
weather_case,beijing ssp585 cmip direct 2050,0.25,0.1,0.2,16704,0.017959770114942528,0.0,1323,847,0.0,0.0,7.9382183908045985,0.0,0.04004780521988206,0.16921723496058524
weather_case,beijing ssp585 cmip direct 2050,0.35,0.04,0.2,16704,19.85153256704981,0.0,1565,847,0.0,0.0,29.20258620689655,0.017959770114942528,0.04004780521988206,0.16921723496058524
weather_case,beijing ssp585 cmip direct 2050,0.35,0.06,0.2,16704,5.669300766283525,0.0,1559,847,0.0,0.0,15.002394636015326,0.0,0.04004780521988206,0.16921723496058524
weather_case,beijing ssp585 cmip direct 2050,0.35,0.08,0.2,16704,1.0057471264367817,0.0,1477,847,0.0,0.0,9.84794061302682,0.0,0.04004780521988206,0.16921723496058524
weather_case,beijing ssp585 cmip direct 2050,0.35,0.1,0.2,16704,0.08381226053639847,0.0,1312,847,0.0,0.0,7.9382183908045985,0.0,0.04004780521988206,0.16921723496058524
weather_case,beijing ssp585 cmip direct 2075,0.15,0.04,0.2,16704,10.572318007662835,0.0,3052,1047,0.0,0.0,28.819444444444443,0.023946360153256702,0.04279933745068339,0.1980636688942146
weather_case,beijing ssp585 cmip direct 2075,0.15,0.06,0.2,16704,1.0955459770114944,0.0,2495,1047,0.0,0.0,16.032088122605366,0.0,0.04279933745068339,0.1980636688942146
weather_case,beijing ssp585 cmip direct 2075,0.15,0.08,0.2,16704,0.023946360153256702,0.0,1901,1047,0.0,0.0,11.404454022988505,0.0,0.04279933745068339,0.1980636688942146
weather_case,beijing ssp585 cmip direct 2075,0.15,0.1,0.2,16704,0.0,0.0,1625,1047,0.0,0.0,9.728208812260537,0.0,0.04279933745068339,0.1980636688942146
weather_case,beijing ssp585 cmip direct 2075,0.25,0.04,0.2,16704,14.721024904214557,0.0,2359,1047,0.0,0.0,28.819444444444443,0.023946360153256702,0.04279933745068339,0.1980636688942146
weather_case,beijing ssp585 cmip direct 2075,0.25,0.06,0.2,16704,3.0292145593869733,0.0,2172,1047,0.0,0.0,16.032088122605366,0.0,0.04279933745068339,0.1980636688942146
weather_case,beijing ssp585 cmip direct 2075,0.25,0.08,0.2,16704,0.13769157088122605,0.0,1882,1047,0.0,0.0,11.404454022988505,0.0,0.04279933745068339,0.1980636688942146
weather_case,beijing ssp585 cmip direct 2075,0.25,0.1,0.2,16704,0.0,0.0,1625,1047,0.0,0.0,9.728208812260537,0.0,0.04279933745068339,0.1980636688942146
weather_case,beijing ssp585 cmip direct 2075,0.35,0.04,0.2,16704,17.64846743295019,0.0,1870,1047,0.0,0.0,28.819444444444443,0.023946360153256702,0.04279933745068339,0.1980636688942146
weather_case,beijing ssp585 cmip direct 2075,0.35,0.06,0.2,16704,4.855124521072797,0.0,1867,1047,0.0,0.0,16.032088122605366,0.0,0.04279933745068339,0.1980636688942146
weather_case,beijing ssp585 cmip direct 2075,0.35,0.08,0.2,16704,0.4789272030651341,0.0,1825,1047,0.0,0.0,11.404454022988505,0.0,0.04279933745068339,0.1980636688942146
weather_case,beijing ssp585 cmip direct 2075,0.35,0.1,0.2,16704,0.005986590038314176,0.0,1624,1047,0.0,0.0,9.728208812260537,0.0,0.04279933745068339,0.1980636688942146
weather_case,houston ssp585 cmip direct 2025,0.15,0.04,0.2,16704,0.05387931034482758,0.0,4567,1741,0.0,0.0,27.077346743295017,0.3172892720306513,0.051010667781258706,0.22634623806365636
weather_case,houston ssp585 cmip direct 2025,0.15,0.06,0.2,16704,0.0,0.0,4059,1741,0.0,0.0,24.299568965517242,0.0,0.051010667781258706,0.22634623806365636
weather_case,houston ssp585 cmip direct 2025,0.15,0.08,0.2,16704,0.0,0.0,3539,1741,0.0,0.0,21.18654214559387,0.0,0.051010667781258706,0.22634623806365636
weather_case,houston ssp585 cmip direct 2025,0.15,0.1,0.2,16704,0.0,0.0,3158,1741,0.0,0.0,18.90565134099617,0.0,0.051010667781258706,0.22634623806365636
weather_case,houston ssp585 cmip direct 2025,0.25,0.04,0.2,16704,1.496647509578544,0.0,4326,1741,0.0,0.0,27.077346743295017,0.3172892720306513,0.051010667781258706,0.22634623806365636
weather_case,houston ssp585 cmip direct 2025,0.25,0.06,0.2,16704,0.017959770114942528,0.0,4056,1741,0.0,0.0,24.299568965517242,0.0,0.051010667781258706,0.22634623806365636
weather_case,houston ssp585 cmip direct 2025,0.25,0.08,0.2,16704,0.0,0.0,3539,1741,0.0,0.0,21.18654214559387,0.0,0.051010667781258706,0.22634623806365636
weather_case,houston ssp585 cmip direct 2025,0.25,0.1,0.2,16704,0.0,0.0,3158,1741,0.0,0.0,18.90565134099617,0.0,0.051010667781258706,0.22634623806365636
weather_case,houston ssp585 cmip direct 2025,0.35,0.04,0.2,16704,6.13625478927203,0.0,3551,1741,0.0,0.0,27.077346743295017,0.3172892720306513,0.051010667781258706,0.22634623806365636
