city,year,occupied_probability_steps,mean_p_disc_mean,max_zone_p_disc_mean,p90_zone_p_disc_mean,mean_high_tail_020_pct,max_zone_high_tail_020_pct,p90_zone_high_tail_020_pct,hidden_tail_020_pct,mean_low_but_any_zone_above_disc_low_pct,mean_below_disc_up_but_any_zone_above_disc_up_pct,max_gate_more_conservative_pct,p90_gate_more_conservative_pct,mean_zone_p_disc_spread,p95_zone_p_disc_spread,mean_zones_above_tail_020,zone_mu_both_signs_pct,zone_d_tail_both_signs_pct,mu_d_tail_sign_conflict_pct_of_comparable,mu_d_tail_sign_comparable_steps,mean_abs_mu,mean_abs_d_tail
All,All,150336,0.10303718426491477,0.17288185334830244,0.14290210452439236,9.889181566624096,27.064043209876544,19.754416773094935,17.17486164325245,22.858131119625373,12.213308854831844,35.07143997445721,25.55143146019583,0.10644636670733437,0.36180495525172696,1.5560810451255853,68.93358876117497,61.63194444444444,4.499695442715543,90295,0.19784495184039835,0.05267747274328414
Beijing,All,50112,0.08510005539183939,0.13837515090871208,0.11002745781605196,3.8294220945083017,14.97844827586207,7.515166028097063,11.149026181353767,24.9022190293742,4.823196040868455,29.725415070242654,22.772988505747126,0.07773548364061542,0.23677019160248258,0.6726333014048531,76.1234833971903,65.91634738186463,11.365494685200327,25683,0.1318577752366015,0.03603647951361384
Houston,All,50112,0.09704380940576406,0.15206745857595727,0.12981296221760508,11.178959131545337,25.73036398467433,20.504070881226053,14.551404853128991,39.02857598978289,10.676085568326947,49.704661558109834,37.895114942528735,0.08805939804599992,0.30013518720682075,1.7176524584929758,64.51149425287356,60.6102330779055,3.877152494230428,28165,0.2135056451541185,0.05232598039742419
Phoenix,All,50112,0.12696768799714087,0.2282029505602381,0.18886589353952,14.659163473818646,40.48331736909323,31.244013409961685,25.824153895274588,4.64359833971903,21.14064495530013,25.784243295019156,15.986190932311622,0.1535442184353878,0.46060905135837504,2.2779573754789273,66.16578863346105,58.36925287356321,0.14267292232556864,36447,0.2481714351304751,0.06966995831881438
Beijing,2025,16704,0.07608168513514407,0.12679166916970366,0.0960598657639471,0.14966475095785442,11.19492337164751,2.855603448275862,11.045258620689655,28.38242337164751,3.7835249042145596,32.165948275862064,23.99425287356322,0.07007827929832017,0.23768253823973629,0.19031369731800765,81.07638888888889,68.69612068965517,15.2382168859369,7829,0.09258435390415032,0.02526229587027608
Beijing,2050,16704,0.08852134512324779,0.14167385254208306,0.11554596599106587,5.070641762452107,15.744731800766285,9.099616858237548,10.674090038314176,22.719109195402297,4.61566091954023,27.33477011494253,21.384099616858236,0.07932509511641504,0.2322030239072565,0.8278855363984674,75.45498084291188,65.35560344827587,8.610792192881746,8710,0.14556533555864762,0.04004780521988206
Beijing,2075,16704,0.0906971359171263,0.14665993101434951,0.11847654169314294,6.267959770114942,17.995689655172413,10.590277777777777,11.727729885057471,23.605124521072796,6.070402298850574,29.67552681992337,22.94061302681992,0.08380307650711104,0.23722044835027092,0.9997006704980843,71.83908045977012,63.69731800766284,10.673665791776028,9144,0.1574236362470065,0.04279933745068339
Houston,2025,16704,0.0957809388353381,0.14968159889260466,0.12812070220694913,10.422653256704981,26.209291187739463,20.994971264367816,15.786637931034484,39.47557471264368,9.638409961685824,49.1139846743295,37.535919540229884,0.08714845084875619,0.28245751525886975,1.5930316091954022,63.81106321839081,60.69204980842912,4.07967618236046,9388,0.21171266019986407,0.051010667781258706
Houston,2050,16704,0.09025759572989439,0.13875492726191116,0.11852642631755454,8.854166666666668,21.31824712643678,16.52897509578544,12.464080459770114,43.07950191570881,8.818247126436782,51.89774904214559,40.48730842911878,0.07752113523735779,0.26662033603171376,1.3795498084291187,67.80411877394637,63.53568007662835,4.100840336134453,8925,0.18858597301675745,0.04502558556514928
Houston,2075,16704,0.10509289365205965,0.16776584957335602,0.1427917581283116,14.260057471264368,29.663553639846747,23.988266283524904,15.403496168582375,34.53065134099617,13.571599616858238,48.10225095785441,35.662116858237546,0.09950860805188577,0.3191957181752585,2.180375957854406,61.91930076628353,57.602969348659,3.481526593585059,9852,0.24021830224573396,0.06094168784586459
Phoenix,2025,16704,0.1168025008355638,0.2145974432276441,0.17562139256380094,10.75191570881226,39.50550766283525,28.759578544061306,28.75359195402299,6.112308429118774,19.821599616858236,25.93390804597701,15.762691570881227,0.14368409071418636,0.4463416040905394,1.8584171455938698,69.33069923371647,62.45210727969349,0.16630633627141195,12026,0.21877995061968897,0.05908387677705782
Phoenix,2050,16704,0.126973418717887,0.21991053858718476,0.18480873138660261,14.894636015325672,35.554358237547895,28.400383141762454,20.65972222222222,3.0052681992337167,18.29501915708812,21.30028735632184,13.817049808429118,0.1450740315330995,0.4698949314922379,2.1963002873563218,65.52322796934867,55.56752873563219,0.057708161582852434,12130,0.2495734018736165,0.0704650394251049
Phoenix,2075,16704,0.13712714443797183,0.2501008698658853,0.20616755666815645,18.330938697318008,46.390086206896555,36.572078544061306,28.05914750957854,4.813218390804598,25.305316091954023,30.11853448275862,18.37883141762452,0.17187453305887754,0.4698949314922379,2.77915469348659,63.64343869731801,57.08812260536399,0.20340086241965669,12291,0.27616095289811976,0.07946095875428043
