zone,mean_p_disc,p95_p_disc,high_tail_020_pct,above_disc_up_pct
perimeter_bot_zn_1,0.13336132191902403,0.3842313427997147,18.96751277139208,8.336659216687952
perimeter_mid_zn_1,0.13250453878103308,0.3750436483674537,18.13005534269902,7.7725893997445725
perimeter_top_zn_1,0.12315835006976492,0.3720397249809014,15.233210940825884,6.462191358024691
perimeter_mid_zn_3,0.1061795471920047,0.3101632266759955,12.633700510855682,4.451362281822052
perimeter_top_zn_3,0.10217743602942121,0.3101632266759955,11.375186249467859,4.241166453810132
perimeter_top_zn_2,0.10011874685340608,0.3101632266759955,10.30358663260962,3.789511494252874
perimeter_mid_zn_2,0.09828634842547236,0.2928843656840942,9.415575776926351,3.1795444870157517
perimeter_bot_zn_3,0.09477028553855453,0.261978649972982,8.754390166028097,2.3979618986802893
perimeter_bot_zn_2,0.09548356267919522,0.2790036861409365,8.526234567901234,2.9553799489144317
core_mid,0.09656715176579464,0.2598493943031759,8.26615048957003,1.2758088548318434
perimeter_top_zn_4,0.09429824856350275,0.2790036861409365,7.738000212856535,2.976665602383993
perimeter_mid_zn_4,0.0945550294042198,0.261978649972982,7.730018092805449,2.777112601106854
core_top,0.09135234360784884,0.2594765253528019,7.450643891017454,1.434120902511707
perimeter_bot_zn_4,0.0897937308599916,0.2594765253528019,6.423611111111111,2.1611590038314175
core_bottom,0.09295112228448799,0.1950393060449986,4.660227756492125,0.45963707960834393
