strategy,weather,case_label,rows,near_mean_pct,high_tail_pct,near_mean_high_tail_pct,near_mean_directional_tail_pct,sign_conflict_pct_of_comparable,sign_comparable_rows,mean_abs_mu,mean_p_tail,p95_p_tail,mean_abs_d_tail,warm_tail_dominant_pct,cold_tail_dominant_pct,tail_consistency_mae
ordinal,ALL,All cases,150336,65.24851000425713,9.889181566624096,0.0,0.0,0.0,22186,0.19784495184039835,0.10303718426491475,0.27777470533050924,0.052677472743284146,14.75760962111537,0.0,5.194389991985352e-17
ordinal,beijing_ssp585_cmip_direct_2025,beijing ssp585 cmip direct 2025,16704,83.24952107279694,0.14966475095785442,0.0,0.0,0.0,183,0.09258435390415032,0.07608168513514402,0.10955705006643979,0.02526229587027608,1.0955459770114944,0.0,5.107796901487265e-17
ordinal,beijing_ssp585_cmip_direct_2050,beijing ssp585 cmip direct 2050,16704,76.32902298850574,5.070641762452107,0.0,0.0,0.0,1326,0.14556533555864762,0.08852134512324775,0.20220143160961437,0.04004780521988206,7.9382183908045985,0.0,5.10526294238682e-17
ordinal,beijing_ssp585_cmip_direct_2075,beijing ssp585 cmip direct 2075,16704,74.01221264367817,6.267959770114942,0.0,0.0,0.0,1625,0.1574236362470065,0.09069713591712626,0.23064219755952026,0.04279933745068339,9.728208812260537,0.0,5.0838696811289644e-17
ordinal,houston_ssp585_cmip_direct_2025,houston ssp585 cmip direct 2025,16704,65.27777777777779,10.422653256704981,0.0,0.0,0.0,3158,0.21171266019986407,0.09578093883533806,0.2558161494591479,0.051010667781258706,18.90565134099617,0.0,5.1976901390833815e-17
ordinal,houston_ssp585_cmip_direct_2050,houston ssp585 cmip direct 2050,16704,70.2286877394636,8.854166666666668,0.0,0.0,0.0,2457,0.18858597301675745,0.09025759572989436,0.25922463314664024,0.04502558556514928,14.70905172413793,0.0,5.2336225099339546e-17
ordinal,houston_ssp585_cmip_direct_2075,houston ssp585 cmip direct 2075,16704,62.46408045977011,14.260057471264368,0.0,0.0,0.0,3495,0.24021830224573396,0.1050928936520596,0.30199972289703764,0.06094168784586459,20.92313218390805,0.0,5.285381740084029e-17
ordinal,phoenix_ssp585_cmip_direct_2025,phoenix ssp585 cmip direct 2025,16704,52.87356321839081,10.75191570881226,0.0,0.0,0.0,2914,0.21877995061968897,0.11680250083556376,0.28201893626305935,0.05908387677705782,17.44492337164751,0.0,5.2037134844860786e-17
ordinal,phoenix_ssp585_cmip_direct_2050,phoenix ssp585 cmip direct 2050,16704,53.609913793103445,14.894636015325672,0.0,0.0,0.0,3206,0.2495734018736165,0.12697341871788695,0.35580428768588607,0.0704650394251049,19.19300766283525,0.0,5.2142231837059575e-17
ordinal,phoenix_ssp585_cmip_direct_2075,phoenix ssp585 cmip direct 2075,16704,49.19181034482759,18.330938697318008,0.0,0.0,0.0,3822,0.27616095289811976,0.1371271444379718,0.35645350317859587,0.07946095875428043,22.88074712643678,0.0,5.317949345571716e-17
