weather,city,scenario_raw,time_slice,severity,weather_year,rows,weather_cases,mean_mu,mean_abs_mu,mean_p_tail,p95_p_tail,high_tail_pct,near_mean_pct,near_mean_high_tail_pct,near_mean_directional_tail_pct,warm_tail_dominant_pct,cold_tail_dominant_pct,sign_conflict_pct_of_comparable,sign_comparable_rows
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,16704,1,0.3576141618452844,0.3587617146349929,0.13506373814444114,0.2970939063911712,18.80387931034483,25.25742337164751,0.0,0.0,32.189894636015325,0.0,0.0,5377
ahmedabad_ssp245_baseline_2020s_hot_2029,Ahmedabad,ssp245,baseline_2020s,hot,2029,16704,1,0.3576141618452844,0.3587617146349929,0.13506373814444114,0.2970939063911712,18.80387931034483,25.25742337164751,0.0,0.0,32.189894636015325,0.0,0.0,5377
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,16704,1,0.2819861706185884,0.2836507516628569,0.11374531147023607,0.24833810604436551,10.219109195402298,35.14727011494253,0.0,0.0,22.14439655172414,0.0,0.0,3699
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,16704,1,0.36800438540019836,0.37140166489774606,0.14090964774487727,0.3124008737865723,20.402298850574713,26.80196360153257,0.0,0.0,35.769875478927204,0.0,0.0,5975
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,16704,1,0.36800438540019836,0.37140166489774606,0.14090964774487727,0.3124008737865723,20.402298850574713,26.80196360153257,0.0,0.0,35.769875478927204,0.0,0.0,5975
ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,16704,1,0.31783527244109355,0.32008434967769234,0.12640237323696626,0.330106087434926,14.75095785440613,34.27322796934866,0.0,0.0,25.514846743295017,0.0,0.0,4262
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,16704,1,0.3636538770808689,0.36554384596651757,0.13964299071865346,0.33844675155844417,20.480124521072796,31.19612068965517,0.0,0.0,30.615421455938694,0.0,0.0,5114
ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,16704,1,0.3636538770808689,0.36554384596651757,0.13964299071865346,0.33844675155844417,20.480124521072796,31.19612068965517,0.0,0.0,30.615421455938694,0.0,0.0,5114
ahmedabad_ssp245_mid_2050s_typical_2058,Ahmedabad,ssp245,mid_2050s,typical,2058,16704,1,0.282255511935501,0.28348202277736134,0.11302657378538512,0.2525030785689411,9.099616858237548,33.27945402298851,0.0,0.0,20.833333333333336,0.0,0.0,3480
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,Ahmedabad,ssp245,near_2030s,heatwave_extreme,2034,16704,1,0.29390637809858006,0.2964406972217682,0.11906631104126718,0.27951886990721636,12.990900383141762,35.14727011494253,0.0,0.0,23.162116858237546,0.0,0.0,3869
