scope,rows,weather_cases,mean_mu,mean_abs_mu,mean_p_tail,p95_p_tail,high_tail_pct,near_mean_pct,near_mean_high_tail_pct,near_mean_directional_tail_pct,warm_tail_dominant_pct,cold_tail_dominant_pct,sign_conflict_pct_of_comparable,sign_comparable_rows,city,scenario_raw,time_slice,severity
all,2405376,144,0.27445647663004596,0.28600662367195584,0.11652894834045267,0.3062116450116744,13.448250917943804,39.42173697584078,0.0,0.00062360312899106,21.011309666347383,0.0,0.0,505386,,,,
city,400896,24,0.3387237379547525,0.3410813194343296,0.1316675622116581,0.3211647552039458,17.107179916985952,31.092602570242654,0.0,0.0,28.610163234355046,0.0,0.0,114697,Ahmedabad,,,
city,400896,24,0.17010140635748452,0.2006869568989928,0.0951561063591559,0.21583606196595775,5.475235472541507,48.60911558109834,0.0,0.00374161877394636,8.451319045338442,0.0,0.0,33866,Beijing,,,
city,400896,24,0.25917930715258847,0.26748422956470225,0.1081544975078608,0.2887211507374024,12.514467592592593,46.49909203384419,0.0,0.0,19.823345705619413,0.0,0.0,79471,Guangzhou,,,
city,400896,24,0.24162102652310363,0.25887729244915747,0.10516571241544843,0.2837507097128981,12.332624920178798,47.335717991698594,0.0,0.0,19.59610472541507,0.0,0.0,78560,Houston,,,
city,400896,24,0.33745129915599603,0.3401629741173762,0.12886134441343286,0.3292274350279081,19.903416347381864,36.83673571200511,0.0,0.0,28.112777378671776,0.0,0.0,112703,Kolkata,,,
city,400896,24,0.29966208263635036,0.30774696956717684,0.1301684671351598,0.3288017924010531,13.35658125798212,26.157157966155808,0.0,0.0,21.474147908684547,0.0,0.0,86089,Phoenix,,,
scenario,1202688,72,0.2606147820133055,0.27157242330254827,0.11192195662723961,0.2872043236498759,11.749348126862495,40.05203344508301,0.0,0.0005820295870583227,19.275323275862068,0.0,0.0,231815,,ssp245,,
scenario,1202688,72,0.28829817124678636,0.30044082404136335,0.12113594005366564,0.3219466273135035,15.147153709025115,38.79144050659855,0.0,0.0006651766709237974,22.747296056832695,0.0,0.0,273571,,ssp585,,
time_slice,601344,36,0.23450560766305015,0.24796565610384977,0.10509775291547606,0.2570655085451199,9.174781822051937,42.43245130906769,0.0,0.001496647509578544,16.437513303533418,0.0,0.0,98837,,,baseline_2020s,
time_slice,601344,36,0.3480115970402115,0.3560606603490815,0.1374109080210387,0.34724724188561673,21.182052203065137,34.351552522349934,0.0,0.0003325883354618987,29.214559386973182,0.0,0.0,175678,,,late_2080s,
time_slice,601344,36,0.28226574105792773,0.29285666346785555,0.118296598040894,0.3099522069359241,14.278516123882504,38.269775702426564,0.0,0.000498882503192848,21.86751676245211,0.0,0.0,131496,,,mid_2050s,
time_slice,601344,36,0.2330429607589943,0.2471435147670367,0.10531053438440181,0.25642779766156953,9.15765352277565,42.63316836951894,0.0,0.00016629416773094935,16.52564921243082,0.0,0.0,99375,,,near_2030s,
