mu_bin_left,mu_bin_right,mu_bin_center,rows,p_tail_q05,p_tail_q25,p_tail_median,p_tail_q75,p_tail_q95,p_tail_iqr,p_tail_90pct_spread,high_tail_pct
-0.5,-0.45,-0.475,13,0.07674470242784824,0.0843706234435102,0.0864142375573882,0.0921405481606083,0.09511883576828088,0.007769924717098087,0.01837413334043264,0.0
-0.45,-0.4,-0.425,94,0.07933597851193244,0.08696008035816388,0.09294727070583844,0.09826798156097365,0.10974578817035656,0.011307901202809764,0.030409809658424117,0.0
-0.4,-0.35000000000000003,-0.375,212,0.07709001052328526,0.0834318191723115,0.0887215767529869,0.1000987984206459,0.11286194343571533,0.016666979248334393,0.03577193291243007,0.0
-0.35000000000000003,-0.30000000000000004,-0.325,688,0.06765196342957104,0.0772254415065788,0.08149057574238805,0.0895623486822243,0.1044899872738908,0.012336907175645506,0.036838023844319764,0.0
-0.30000000000000004,-0.25000000000000006,-0.275,2072,0.06783999514383693,0.0740870199761086,0.0801986899774726,0.09244113183277154,0.10585961893512004,0.01835411185666294,0.03801962379128311,0.0
-0.25,-0.2,-0.225,6798,0.0655938675202207,0.07381723473867283,0.0809426558458073,0.09202907795094073,0.11276411434409273,0.018211843212267903,0.047170246823872025,0.0
-0.2,-0.15000000000000002,-0.17500000000000002,17202,0.0607481262375095,0.0696266269960189,0.0788526227358945,0.0904139289291935,0.1005237830377835,0.0207873019331746,0.039775656800274006,0.0
-0.15000000000000002,-0.10000000000000002,-0.12500000000000003,28401,0.0560774920745163,0.0657214289186229,0.0774614918223544,0.0896127187627726,0.0988343750647627,0.023891289844149705,0.042756882990246395,0.0
-0.1,-0.05,-0.07500000000000001,44182,0.0494107701344298,0.05999211682861093,0.0698190346343303,0.08645896989488103,0.09983316116761534,0.0264668530662701,0.05042239103318554,0.0
-0.05,0.0,-0.025,80885,0.04997948710845958,0.0545961598372594,0.0623849870101008,0.0768108272912911,0.0971762543048042,0.0222146674540317,0.04719676719634462,0.0
0.0,0.05,0.025,159284,0.051891553708796924,0.05604932331876902,0.059141266195756,0.06887030371626497,0.09306219872165672,0.012820980397495949,0.041170645012859795,0.0
0.05,0.1,0.07500000000000001,288339,0.0559268013193719,0.060114852566133345,0.0641643693933566,0.06892058734576001,0.08766246107593795,0.008805734779626664,0.031735659756566045,0.0
0.1,0.15000000000000002,0.125,347150,0.0604136875358707,0.0673471003582218,0.0711209067811302,0.07535533434331071,0.0890200854528239,0.008008233985088903,0.0286063979169532,0.0
