scope,scenario,watts_person,met,bsa_m2,rows,mean_mu,mean_p_tail_mean_agg,p95_p_tail_mean_agg,high_tail_mean_agg_pct,mean_max_zone_p_tail,p95_max_zone_p_tail,any_zone_high_tail_pct
all,COMP-Lo,90.0,0.9,1.7182130584192439,2405376,0.09130773693323135,0.101175457239151,0.18131864070892334,3.31636301351639,0.14678575098514557,0.3006022274494171,13.815303719667943
all,S-real,93.2,0.932,1.7182130584192439,2405376,0.09604315459728241,0.10048916935920715,0.17968107387423515,3.095815373563218,0.14820577204227448,0.3006022274494171,14.88777638090677
all,COMP-Med,100.0,1.0,1.7182130584192439,2405376,0.054315902292728424,0.12988269329071045,0.22489207610487938,7.970895194763729,0.18437260389328003,0.37003836035728455,29.78449107332908
all,EQ-Max,108.0,1.08,1.7182130584192439,2405376,0.3830627501010895,0.1607847958803177,0.38914117217063904,21.1985153256705,0.2635281980037689,0.6120837330818176,45.367584943060876
all,COMP-Hi,110.0,1.1,1.7182130584192439,2405376,0.2724570035934448,0.11959479004144669,0.30530229955911636,13.655495024478501,0.19837574660778046,0.4506204426288605,38.439354179970195
all,LEGACY,120.0,1.2,1.7182130584192439,2405376,0.2835826277732849,0.1466619372367859,0.3074217438697815,17.315754376862493,0.2281978279352188,0.4372137486934662,47.86918968177948
