outdoor_temp_bin,unique_weather_bin_units,occupied_steps,mean_outdoor_temp_c,mean_zone_operative_temp_c,mean_zone_rh_pct,mean_zone_cooling_rate_w,mean_p_tail,high_tail_pct
20--25,119,324338,22.64130408709433,25.076732488297782,46.31124931786387,91589.73635539996,0.07789737378995716,0.1862254808255585
25--30,119,508539,27.686569215930344,25.673723910829473,50.97053168077049,105315.89469883376,0.0990608928105854,7.173884402179577
30--35,119,456170,32.20577465089769,26.557141447171237,53.54657079857298,115801.39363160878,0.1490400843533657,24.31659249841068
<20,119,510505,12.181024059509703,24.097329868335493,33.332078471208284,59780.024669994964,0.07716305674571548,0.005680649552893703
>=35,108,188224,38.34317120824124,27.367603825902712,52.06970517028798,117619.49951806973,0.22319957225606912,52.68616116967018
