case_id,condition,left,right,spearman_rho,n_hours
ahmedabad_ssp245_baseline_2020s_hot_2029,may_through_september,mean_operative_temp_c,warm_discomfort_probability,0.9935060994427788,1853
ahmedabad_ssp245_baseline_2020s_hot_2029,may_through_september,mean_operative_temp_c,cold_discomfort_probability,-0.9790119462322162,1853
ahmedabad_ssp245_baseline_2020s_hot_2029,may_through_september,zone_cooling_rate_w,discomfort_probability,0.07467521010340612,1853
ahmedabad_ssp245_baseline_2020s_typical_2025,all_occupied_hours,outdoor_temp_c,mean_operative_temp_c,0.549334408762797,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,all_occupied_hours,mean_operative_temp_c,discomfort_probability,0.9164233395409167,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,all_occupied_hours,mean_operative_temp_c,warm_discomfort_probability,0.9274871012078221,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,all_occupied_hours,mean_operative_temp_c,cold_discomfort_probability,-0.8745424188537301,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,all_occupied_hours,zone_cooling_rate_w,discomfort_probability,0.5507170710956756,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,outdoor_temp_ge_20_c,outdoor_temp_c,mean_operative_temp_c,0.45788732886258005,4053
ahmedabad_ssp245_baseline_2020s_typical_2025,outdoor_temp_ge_20_c,mean_operative_temp_c,discomfort_probability,0.9240059553162384,4053
ahmedabad_ssp245_baseline_2020s_typical_2025,outdoor_temp_ge_20_c,mean_operative_temp_c,warm_discomfort_probability,0.9381605451568006,4053
ahmedabad_ssp245_baseline_2020s_typical_2025,outdoor_temp_ge_20_c,mean_operative_temp_c,cold_discomfort_probability,-0.900650784246625,4053
ahmedabad_ssp245_baseline_2020s_typical_2025,outdoor_temp_ge_20_c,zone_cooling_rate_w,discomfort_probability,0.49905710865786557,4053
ahmedabad_ssp245_baseline_2020s_typical_2025,outdoor_temp_ge_25_c,outdoor_temp_c,mean_operative_temp_c,0.3681016854381585,3488
ahmedabad_ssp245_baseline_2020s_typical_2025,outdoor_temp_ge_25_c,mean_operative_temp_c,discomfort_probability,0.9269455141657921,3488
ahmedabad_ssp245_baseline_2020s_typical_2025,outdoor_temp_ge_25_c,mean_operative_temp_c,warm_discomfort_probability,0.94389896949664,3488
ahmedabad_ssp245_baseline_2020s_typical_2025,outdoor_temp_ge_25_c,mean_operative_temp_c,cold_discomfort_probability,-0.9243465550850085,3488
ahmedabad_ssp245_baseline_2020s_typical_2025,outdoor_temp_ge_25_c,zone_cooling_rate_w,discomfort_probability,0.4583559337792276,3488
ahmedabad_ssp245_baseline_2020s_typical_2025,may_through_september,outdoor_temp_c,mean_operative_temp_c,0.37389763151095184,1853
ahmedabad_ssp245_baseline_2020s_typical_2025,may_through_september,mean_operative_temp_c,discomfort_probability,0.9835930958059417,1853
ahmedabad_ssp245_baseline_2020s_typical_2025,may_through_september,mean_operative_temp_c,warm_discomfort_probability,0.9914639358624598,1853
ahmedabad_ssp245_baseline_2020s_typical_2025,may_through_september,mean_operative_temp_c,cold_discomfort_probability,-0.9434905049693946,1853
ahmedabad_ssp245_baseline_2020s_typical_2025,may_through_september,zone_cooling_rate_w,discomfort_probability,0.2979860658087765,1853
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,all_occupied_hours,outdoor_temp_c,mean_operative_temp_c,0.5752520683691621,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,all_occupied_hours,mean_operative_temp_c,discomfort_probability,0.9435974902259445,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,all_occupied_hours,mean_operative_temp_c,warm_discomfort_probability,0.9548130113803814,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,all_occupied_hours,mean_operative_temp_c,cold_discomfort_probability,-0.9414776056681429,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,all_occupied_hours,zone_cooling_rate_w,discomfort_probability,0.41072393221506115,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,outdoor_temp_ge_20_c,outdoor_temp_c,mean_operative_temp_c,0.4885066811286518,4088
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,outdoor_temp_ge_20_c,mean_operative_temp_c,discomfort_probability,0.9475282769205933,4088
