zone,position,floor,orientation,mean_operative_temp_c_occ_mean,mean_operative_temp_c_occ_median,mean_operative_temp_c_occ_q25,mean_operative_temp_c_occ_q75,p95_operative_temp_c_occ_mean,p95_operative_temp_c_occ_median,p95_operative_temp_c_occ_q25,p95_operative_temp_c_occ_q75,mean_mrt_minus_air_c_occ_mean,mean_mrt_minus_air_c_occ_median,mean_mrt_minus_air_c_occ_q25,mean_mrt_minus_air_c_occ_q75,mean_rh_pct_occ_mean,mean_rh_pct_occ_median,mean_rh_pct_occ_q25,mean_rh_pct_occ_q75,mean_p_tail_occ_mean,mean_p_tail_occ_median,mean_p_tail_occ_q25,mean_p_tail_occ_q75,high_tail_pct_occ_mean,high_tail_pct_occ_median,high_tail_pct_occ_q25,high_tail_pct_occ_q75,mean_warm_tail_occ_mean,mean_warm_tail_occ_median,mean_warm_tail_occ_q25,mean_warm_tail_occ_q75,mean_cold_tail_occ_mean,mean_cold_tail_occ_median,mean_cold_tail_occ_q25,mean_cold_tail_occ_q75,n_units
core_bottom,core,bottom,core,25.475394373598302,25.462464167784074,25.28543354946228,25.627818661898512,27.307698826503824,27.284038938482215,26.87973652134737,27.721372795300695,1.9401262520021152,1.9952858111384555,1.8952607019969268,2.0678658010885753,44.826260606149006,48.3494097774661,35.966210577984,49.75270107925908,0.09899867704339224,0.0944304008019596,0.0879081339250915,0.10630672506351639,6.390559097202099,4.352250957854406,2.3168103448275863,8.782327586206897,0.07118357760642056,0.06509815767958048,0.0586429589745362,0.08257908988577314,0.027815099436971677,0.028703339770124063,0.026908235707499745,0.030008320830525376,119
core_mid,core,middle,core,25.46987170161373,25.486167612537276,25.279724163413952,25.710979652587596,27.908375880769864,27.915804632898887,27.554199321351533,28.350365929020526,1.4117938807169526,1.4634942735658782,1.3609267868235801,1.573373785365427,46.175015872006234,49.7896994533269,37.14031936370041,51.17295506969859,0.10509210037948098,0.1009000889358622,0.09070183535465985,0.11110618132028377,11.913565713641779,10.099377394636015,6.585249042145594,14.951508620689655,0.07778193233323695,0.0714537409025265,0.06415064346838753,0.08621200755397657,0.02731016804624402,0.027804782670089383,0.026156006878343033,0.029043784028788832,119
core_top,core,top,core,25.29729777878756,25.325503490469806,25.131602829042677,25.609999288568297,27.814761612446752,27.860511441349196,27.486566281280084,28.228942189798005,1.5107403178953447,1.5947012375009546,1.4510686722344506,1.689036059686043,45.861369914504806,49.40266861179023,36.901336373411276,50.76844616608186,0.09890853863698618,0.09503700851172969,0.08615421515039098,0.10656639512699154,10.39568844779291,8.818247126436782,5.723180076628353,13.20043103448276,0.0701809731005795,0.06568728509039923,0.056504110483373726,0.0782334973628167,0.02872756553640667,0.029196563752935563,0.02747699465240567,0.030119918285044116,119
perimeter_bot_zn_1,perimeter,bottom,south,26.141433819003616,26.213731767578224,25.711769623781883,26.763465274650468,29.181237138598274,29.260591107687457,28.739158301248708,29.83791654879574,1.9699043951421986,1.898444614647752,1.840983344722963,2.023197169068881,47.26496626808256,51.443612604117526,35.6095991934077,53.71200554884868,0.15883264889860335,0.15282002100569628,0.12368381803119927,0.1891292866654405,29.04316180495187,27.849616858237546,19.477370689655174,39.06549329501915,0.13554626521147678,0.12899852788998653,0.09707930983273692,0.16801022068414834,0.023286383687126513,0.023216419935201238,0.020835492435765643,0.02636567001926189,119
perimeter_bot_zn_2,perimeter,bottom,east,25.34257868845804,25.419753872803547,25.212826337167268,25.685924297649407,27.755822955824694,27.83282341566607,27.2803124976933,28.21926314831485,2.054742897341804,2.1010271330459664,1.8855436094332916,2.4149229141062016,46.76798090349249,50.24939784348716,37.63277393472182,51.57611075299411,0.09964404976778385,0.09476151371732558,0.08318505405266172,0.11100347506664367,9.4706848256544,8.195641762452107,4.7563457854406135,12.66463122605364,0.07082745045302775,0.06714114606204502,0.05243844992531463,0.08403864763935263,0.02881659931475609,0.028906789197612345,0.027544044279869458,0.030068532650750816,119
perimeter_bot_zn_3,perimeter,bottom,north,25.27522267852079,25.33422383642624,25.06960023397739,25.64407865000375,27.95294770473556,27.902820518116474,27.53039403838875,28.382625848420766,1.4467658724594017,1.5130550824013498,1.3613377386412255,1.7022979177278637,46.396508514473176,49.73762453300132,37.688695148679685,50.985438052884184,0.10344686099386212,0.09887427711805598,0.08860343908756156,0.11346414350452133,10.781144354293444,9.093630268199233,5.627394636015326,13.616499042145595,0.07423698842067435,0.06981615156087609,0.057244193475968666,0.08439615018479235,0.02920987257318776,0.029607077657012714,0.027949537943836332,0.03085717070663537,119
perimeter_bot_zn_4,perimeter,bottom,west,25.297390889504644,25.35987933846555,25.159781591105286,25.603328348512584,27.48210914630322,27.480378056853535,27.02895596148525,27.904272223067473,2.126334691852008,2.1869441953932527,1.9793417148550636,2.4487896166058896,46.96343963930257,50.36282214322564,37.49521804078887,51.769650458999685,0.09439510580984461,0.0898212830330222,0.08092787110008534,0.10435848786587956,7.462209021539651,6.232040229885057,3.1190134099616857,9.979645593869732,0.0652349539333932,0.0598885614862728,0.050809810204579496,0.07575443446711133,0.029160151876451434,0.02955309560574735,0.028068903972107852,0.030537926917162506,119
perimeter_mid_zn_1,perimeter,middle,south,26.186844799813194,26.177161211394914,25.853151851336683,26.65854882057684,29.096846253599708,29.154247799488324,28.74024298883377,29.624530122324284,2.095190289332888,2.0457375650253757,1.9419594659885264,2.2740504475734458,44.8672043659229,48.541573704029354,35.460637772044876,50.122905980728234,0.15657406956448625,0.14907589375329788,0.12482933573664226,0.17983904743565549,26.552086351782087,25.233477011494255,16.83728448275862,34.39295977011494,0.1334215631181316,0.12607414518257512,0.09946431579996949,0.1569019302372197,0.023152506446354675,0.023000627567961396,0.021960787093825224,0.024632424423634454,119
perimeter_mid_zn_2,perimeter,middle,east,25.461638682708575,25.52168468306073,25.32898319583426,25.777385855242358,28.062564478706715,28.144202197546285,27.58296468344486,28.570864167280224,2.2314656456475035,2.289711603380577,2.0823934316798973,2.542062406906875,47.20769674258969,50.83867274556235,37.35415941662098,52.39447258044119,0.10466380543617931,0.1017680393178268,0.09141644772593616,0.1160106252888745,11.639943333655305,10.189176245210728,7.282686781609195,14.810823754789272,0.07676585699794679,0.07412609024534458,0.061646232126386376,0.08837064723120142,0.027897948438232532,0.0280419346171483,0.02685455868085301,0.029015598738784544,119
perimeter_mid_zn_3,perimeter,middle,north,25.557608981475873,25.617095899605644,25.34961533577875,25.941520080298766,28.605414940614782,28.57354817839186,28.155274973482985,29.159829260779887,1.6444057886231516,1.7252197308940713,1.5546987539682298,1.864019830314974,46.4941975014382,50.081054342736486,37.2028762021922,51.44650860964988,0.1175580024526199,0.11350404907044596,0.10165330218279307,0.12916562736990414,16.003865626710457,14.744971264367814,10.635177203065133,19.740780651340998,0.09040744521347234,0.08603720594600282,0.07350804621797105,0.10274198077157094,0.02715055723914756,0.027646351474296244,0.026193955029875062,0.02851708565313679,119
perimeter_mid_zn_4,perimeter,middle,west,25.42780309019404,25.486319881177703,25.29380734560239,25.7198660162929,27.906137004506828,27.925198674606037,27.463755471637427,28.428044321240872,2.2947012072688726,2.359350887792183,2.160155301039759,2.570581641836483,47.62123685891913,51.30864724512715,37.6147773002544,52.784051956577215,0.10102032091726547,0.0975237409431457,0.08779438558819538,0.1118259998030954,10.026934624424483,9.111590038314176,6.241020114942528,11.799568965517242,0.07289533907632498,0.06888994592655864,0.05920903157031675,0.08421892103830743,0.0281249818409405,0.028552248540913806,0.02716005009667078,0.029378483867128276,119
perimeter_top_zn_1,perimeter,top,south,25.951866188389992,25.963105085069476,25.62845303202071,26.402854295889576,28.92850468257684,28.992060210874442,28.59453915395912,29.43858964434763,2.2068111303353484,2.2154788833822385,2.0259036003252353,2.493681249319712,44.810371893870546,48.470162525754006,35.477293618025996,49.98396608626442,0.14247655363659484,0.1346121416058937,0.11385083997517202,0.1651750659876176,22.205721369007374,20.94109195402299,13.152538314176246,28.600933908045974,0.11770531269987931,0.10974486796554468,0.08590540986965764,0.1414215825887828,0.024771240936715525,0.024433606741900853,0.023088209541348423,0.02652237711839101,119
perimeter_top_zn_2,perimeter,top,east,25.40846865694285,25.485563071883025,25.249199514291206,25.76883329314952,28.15898812535316,28.247070951346622,27.7492828405221,28.69073840517867,2.242243028343553,2.3214300998834845,2.0923506472182902,2.577767765852518,46.90413022944371,50.427351040974195,37.50709785887763,51.930141597032325,0.10535767964482706,0.10154083798159375,0.0918535040505275,0.11726595976067991,11.905013442158474,10.859674329501916,7.599976053639846,14.84375,0.07682248578135933,0.07278891080815142,0.06215397314745795,0.08959781878421658,0.028535193863467707,0.0286627301045123,0.02723417937170107,0.029955264332606563,119
perimeter_top_zn_3,perimeter,top,north,25.38995063241445,25.475776168712734,25.19640348626701,25.855070886662112,28.505406546158465,28.541034663340252,28.09326603686019,29.03355456297607,1.7233798894674892,1.8044571127509101,1.6293707386078484,2.0046799697368023,46.26841775564228,49.78951621444158,37.207315584474514,51.113035406270114,0.11166524638639272,0.10793473116033314,0.09677632889767432,0.1239390083981673,14.046753758974853,12.38625478927203,8.970905172413794,17.720306513409966,0.08297416714374403,0.07865789747918274,0.06706802496057444,0.0958888892155893,0.02869107924264868,0.028881583097091986,0.02755845019579506,0.03002636778737689,119
perimeter_top_zn_4,perimeter,top,west,25.33548231929804,25.432419657553794,25.198457536422303,25.66831228565268,27.914654427358983,27.90280799583973,27.47718519756107,28.41076100812839,2.313538514860269,2.3972405812036524,2.1727011135698593,2.6242826059245283,47.2051775276242,50.84984939149482,37.562525732251096,52.39714527093345,0.09949025108153846,0.09525930700925472,0.08675078717526355,0.110185528500959,9.553893396439037,8.854166666666668,6.1811542145593865,11.416427203065133,0.07047171484065608,0.06621405699076684,0.05621267190359518,0.0822895659775024,0.029018536240882385,0.029003121760763362,0.027935058710622677,0.030416362274586897,119
