scenario,severity,delta_annual_mean_temp_c_mean,delta_annual_mean_temp_c_median,delta_annual_mean_temp_c_q25,delta_annual_mean_temp_c_q75,delta_annual_ghi_kwh_m2_mean,delta_annual_ghi_kwh_m2_median,delta_annual_ghi_kwh_m2_q25,delta_annual_ghi_kwh_m2_q75,delta_annual_mean_rh_pct_mean,delta_annual_mean_rh_pct_median,delta_annual_mean_rh_pct_q25,delta_annual_mean_rh_pct_q75,delta_mean_zone_operative_temp_c_occ_mean,delta_mean_zone_operative_temp_c_occ_median,delta_mean_zone_operative_temp_c_occ_q25,delta_mean_zone_operative_temp_c_occ_q75,delta_mean_zone_rh_pct_occ_mean,delta_mean_zone_rh_pct_occ_median,delta_mean_zone_rh_pct_occ_q25,delta_mean_zone_rh_pct_occ_q75,delta_mean_zone_cooling_rate_w_occ_mean,delta_mean_zone_cooling_rate_w_occ_median,delta_mean_zone_cooling_rate_w_occ_q25,delta_mean_zone_cooling_rate_w_occ_q75,delta_mean_p_tail_occ_mean,delta_mean_p_tail_occ_median,delta_mean_p_tail_occ_q25,delta_mean_p_tail_occ_q75,delta_high_tail_pct_occ_mean,delta_high_tail_pct_occ_median,delta_high_tail_pct_occ_q25,delta_high_tail_pct_occ_q75,n_units
ssp245,heatwave_extreme,1.4723898256273353,1.5180267719015923,0.8727950913242024,2.094642112371187,74.82583333333325,70.904,13.265999999999906,108.22824999999989,0.026370018963495074,0.009655007859869613,0.006551295007110269,0.025575220824912037,0.3774256870340202,0.4128927818543211,0.26305879356362105,0.46697885480355517,1.5238483900999438,1.3723141170640822,0.9749348207783104,1.709469538081974,4011.5213157242347,4208.703945648544,1970.9728087981894,6129.227918962486,0.02213971049302892,0.02124975370377792,0.0177313693766425,0.027743473865774623,8.958931992337165,10.00359195402299,7.189894636015326,11.142540708812257,6
ssp245,hot,1.4940733099200711,1.5702465753424644,1.1580316032262923,1.7866278983269703,72.09483333333333,58.847999999999956,7.237999999999886,111.16600000000017,-0.014038288794072429,-0.00021942136387309574,-0.03090753424657322,0.013188206452571904,0.3648522113993309,0.3611452676420175,0.3047713934718139,0.4463600827019336,1.5684469541970572,1.638768203444645,1.0256417417754164,2.0812310452718243,4081.818522085438,4759.300737819161,2246.2712048834983,5645.294436136886,0.01996356121243814,0.02049842287050458,0.013638838621282085,0.0263036576732874,7.352530332056194,7.881345785440614,6.035979406130269,9.394456417624522,6
ssp245,typical,1.1394900930292537,1.265120964019264,0.7907213075766668,1.4164667429261213,10.36000000000009,4.240500000000111,-14.358249999999998,13.886500000000126,-0.0005496710498948213,-0.012325492177559738,-0.022230097686952277,0.009303652968032594,0.28003318165141344,0.19674215969197917,0.1918329934213414,0.3740393763015266,1.1522120615867972,1.021339165144589,0.8118748060747212,1.5376532773427734,1487.660121955453,725.5024421421767,-717.0951958184305,2177.8344128879216,0.01765775027306223,0.01673643840623551,0.012429465213071297,0.023738564293178315,6.643119412515964,6.552322796934866,4.663553639846744,9.657866379310345,6
ssp585,heatwave_extreme,3.44775286791676,3.470645547945205,2.673809075342466,4.285080442024102,60.27333333333339,38.964000000000055,-9.224249999999927,116.1690000000001,0.02458480965807297,0.0050625982483722964,-0.014713395463731516,0.06891257766299574,0.7920808974703372,0.6612473585152614,0.5531623921751789,1.1574537570647943,3.260276176789143,3.2003545520529357,2.496845854802938,3.8532380973606326,6055.861802076654,5576.059152744892,3869.1763227846895,8572.104281748529,0.048011963113227564,0.040555302643245104,0.02613130864068213,0.07073300668271167,17.825071839080458,14.894636015325672,10.521431992337167,26.290110153256705,6
ssp585,hot,3.476244726817544,3.5756641168874914,3.1261442855316,3.8559400279462075,49.38916666666671,23.668999999999983,-11.884249999999895,97.52100000000007,0.00892282356463762,-0.006634572198521482,-0.01870695785612675,0.014894921027025276,0.8016889802414072,0.7226899947430159,0.6255654397241619,1.1307112709988925,3.507943242139337,3.493838603747079,3.3546697916390755,3.758708699599234,5785.725630828693,5740.875257006272,3393.8548390707037,7666.996890585313,0.04941469475521117,0.04588869305063239,0.025213716624258913,0.07556878777548609,18.126396871008936,16.41223659003831,10.317887931034484,27.333273467432946,6
ssp585,typical,3.1793583830293346,3.501395167427704,2.9994564401028034,3.70887186073059,35.532499999999914,48.89499999999987,-31.664999999999964,107.77999999999997,0.031492761850104266,0.03607305936072791,0.00958740362302457,0.04620433789954603,0.637369157132421,0.6773272995296455,0.5398698842465572,0.8068531562512726,3.2778780992548753,3.329003854000014,2.8747637957145518,3.7843025349118573,6440.99032878665,5827.595996288037,5132.182334345693,8467.121748889516,0.034872801740214364,0.03497678858863878,0.028665217480057507,0.03938023730111518,12.69456417624521,12.916068007662833,10.579801245210728,14.430675287356323,6
