case_id,zone,position,floor,orientation,association,spearman_rho,n_hours
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_top_zn_1,perimeter,top,south,horizontal_GHI__zone_p_tail,0.5960047787254882,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_top_zn_4,perimeter,top,west,horizontal_GHI__zone_operative_temperature,0.4286892703749517,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_top_zn_4,perimeter,top,west,horizontal_GHI__zone_p_tail,0.33773607114661014,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_bot_zn_3,perimeter,bottom,north,horizontal_GHI__zone_operative_temperature,0.36118536888042935,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_bot_zn_3,perimeter,bottom,north,horizontal_GHI__zone_p_tail,0.316596740358249,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_bot_zn_2,perimeter,bottom,east,horizontal_GHI__zone_operative_temperature,0.5410887137901927,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_bot_zn_2,perimeter,bottom,east,horizontal_GHI__zone_p_tail,0.4897120076345168,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_bot_zn_1,perimeter,bottom,south,horizontal_GHI__zone_operative_temperature,0.5394279676008636,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_bot_zn_1,perimeter,bottom,south,horizontal_GHI__zone_p_tail,0.5121856243995956,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_bot_zn_4,perimeter,bottom,west,horizontal_GHI__zone_operative_temperature,0.32498633460698767,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_bot_zn_4,perimeter,bottom,west,horizontal_GHI__zone_p_tail,0.22386172271098978,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_mid_zn_3,perimeter,middle,north,horizontal_GHI__zone_operative_temperature,0.4073218864612484,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_mid_zn_3,perimeter,middle,north,horizontal_GHI__zone_p_tail,0.3882313708723483,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_mid_zn_2,perimeter,middle,east,horizontal_GHI__zone_operative_temperature,0.5861854046355552,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_mid_zn_2,perimeter,middle,east,horizontal_GHI__zone_p_tail,0.5527853000818046,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_mid_zn_1,perimeter,middle,south,horizontal_GHI__zone_operative_temperature,0.6562606916245586,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_mid_zn_1,perimeter,middle,south,horizontal_GHI__zone_p_tail,0.6099918615507209,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_mid_zn_4,perimeter,middle,west,horizontal_GHI__zone_operative_temperature,0.3970083361868246,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_mid_zn_4,perimeter,middle,west,horizontal_GHI__zone_p_tail,0.3077716246145774,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,core_bottom,core,bottom,core,horizontal_GHI__zone_operative_temperature,0.30443732285827346,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,core_bottom,core,bottom,core,horizontal_GHI__zone_p_tail,0.20648348648672885,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,core_mid,core,middle,core,horizontal_GHI__zone_operative_temperature,0.25833613886723106,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,core_mid,core,middle,core,horizontal_GHI__zone_p_tail,0.18672060755750833,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,core_top,core,top,core,horizontal_GHI__zone_operative_temperature,0.32291399411981514,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,core_top,core,top,core,horizontal_GHI__zone_p_tail,0.22752161715554703,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_top_zn_3,perimeter,top,north,horizontal_GHI__zone_operative_temperature,0.393410669646428,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_top_zn_3,perimeter,top,north,horizontal_GHI__zone_p_tail,0.36158025423698975,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_top_zn_2,perimeter,top,east,horizontal_GHI__zone_operative_temperature,0.5562673636945941,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_top_zn_2,perimeter,top,east,horizontal_GHI__zone_p_tail,0.5006021310382895,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_top_zn_1,perimeter,top,south,horizontal_GHI__zone_operative_temperature,0.6378327542784974,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_top_zn_1,perimeter,top,south,horizontal_GHI__zone_p_tail,0.6174697795647232,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_top_zn_4,perimeter,top,west,horizontal_GHI__zone_operative_temperature,0.3853359640334233,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_top_zn_4,perimeter,top,west,horizontal_GHI__zone_p_tail,0.2923249780400352,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_bot_zn_3,perimeter,bottom,north,horizontal_GHI__zone_operative_temperature,0.3294267148698676,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_bot_zn_3,perimeter,bottom,north,horizontal_GHI__zone_p_tail,0.28376034720473925,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_bot_zn_2,perimeter,bottom,east,horizontal_GHI__zone_operative_temperature,0.49275460525743886,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_bot_zn_2,perimeter,bottom,east,horizontal_GHI__zone_p_tail,0.46247400337195005,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_bot_zn_1,perimeter,bottom,south,horizontal_GHI__zone_operative_temperature,0.577046674498942,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_bot_zn_1,perimeter,bottom,south,horizontal_GHI__zone_p_tail,0.5653163637494695,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_bot_zn_4,perimeter,bottom,west,horizontal_GHI__zone_operative_temperature,0.3016390051958461,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_bot_zn_4,perimeter,bottom,west,horizontal_GHI__zone_p_tail,0.2146447723074778,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_mid_zn_3,perimeter,middle,north,horizontal_GHI__zone_operative_temperature,0.36259929936708724,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_mid_zn_3,perimeter,middle,north,horizontal_GHI__zone_p_tail,0.3395492380357524,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_mid_zn_2,perimeter,middle,east,horizontal_GHI__zone_operative_temperature,0.5186945971046963,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_mid_zn_2,perimeter,middle,east,horizontal_GHI__zone_p_tail,0.4734127263776866,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_mid_zn_1,perimeter,middle,south,horizontal_GHI__zone_operative_temperature,0.6473363154577237,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_mid_zn_1,perimeter,middle,south,horizontal_GHI__zone_p_tail,0.6350441507451767,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_mid_zn_4,perimeter,middle,west,horizontal_GHI__zone_operative_temperature,0.3543186998277437,4437
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,perimeter_mid_zn_4,perimeter,middle,west,horizontal_GHI__zone_p_tail,0.2806122078747951,4437
ahmedabad_ssp245_late_2080s_hot_2081,core_bottom,core,bottom,core,horizontal_GHI__zone_operative_temperature,0.30443732285827346,4437
ahmedabad_ssp245_late_2080s_hot_2081,core_bottom,core,bottom,core,horizontal_GHI__zone_p_tail,0.20648348648672885,4437
ahmedabad_ssp245_late_2080s_hot_2081,core_mid,core,middle,core,horizontal_GHI__zone_operative_temperature,0.25833613886723106,4437
ahmedabad_ssp245_late_2080s_hot_2081,core_mid,core,middle,core,horizontal_GHI__zone_p_tail,0.18672060755750833,4437
ahmedabad_ssp245_late_2080s_hot_2081,core_top,core,top,core,horizontal_GHI__zone_operative_temperature,0.32291399411981514,4437
ahmedabad_ssp245_late_2080s_hot_2081,core_top,core,top,core,horizontal_GHI__zone_p_tail,0.22752161715554703,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_top_zn_3,perimeter,top,north,horizontal_GHI__zone_operative_temperature,0.393410669646428,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_top_zn_3,perimeter,top,north,horizontal_GHI__zone_p_tail,0.36158025423698975,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_top_zn_2,perimeter,top,east,horizontal_GHI__zone_operative_temperature,0.5562673636945941,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_top_zn_2,perimeter,top,east,horizontal_GHI__zone_p_tail,0.5006021310382895,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_top_zn_1,perimeter,top,south,horizontal_GHI__zone_operative_temperature,0.6378327542784974,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_top_zn_1,perimeter,top,south,horizontal_GHI__zone_p_tail,0.6174697795647232,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_top_zn_4,perimeter,top,west,horizontal_GHI__zone_operative_temperature,0.3853359640334233,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_top_zn_4,perimeter,top,west,horizontal_GHI__zone_p_tail,0.2923249780400352,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_bot_zn_3,perimeter,bottom,north,horizontal_GHI__zone_operative_temperature,0.3294267148698676,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_bot_zn_3,perimeter,bottom,north,horizontal_GHI__zone_p_tail,0.28376034720473925,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_bot_zn_2,perimeter,bottom,east,horizontal_GHI__zone_operative_temperature,0.49275460525743886,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_bot_zn_2,perimeter,bottom,east,horizontal_GHI__zone_p_tail,0.46247400337195005,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_bot_zn_1,perimeter,bottom,south,horizontal_GHI__zone_operative_temperature,0.577046674498942,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_bot_zn_1,perimeter,bottom,south,horizontal_GHI__zone_p_tail,0.5653163637494695,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_bot_zn_4,perimeter,bottom,west,horizontal_GHI__zone_operative_temperature,0.3016390051958461,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_bot_zn_4,perimeter,bottom,west,horizontal_GHI__zone_p_tail,0.2146447723074778,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_mid_zn_3,perimeter,middle,north,horizontal_GHI__zone_operative_temperature,0.36259929936708724,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_mid_zn_3,perimeter,middle,north,horizontal_GHI__zone_p_tail,0.3395492380357524,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_mid_zn_2,perimeter,middle,east,horizontal_GHI__zone_operative_temperature,0.5186945971046963,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_mid_zn_2,perimeter,middle,east,horizontal_GHI__zone_p_tail,0.4734127263776866,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_mid_zn_1,perimeter,middle,south,horizontal_GHI__zone_operative_temperature,0.6473363154577237,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_mid_zn_1,perimeter,middle,south,horizontal_GHI__zone_p_tail,0.6350441507451767,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_mid_zn_4,perimeter,middle,west,horizontal_GHI__zone_operative_temperature,0.3543186998277437,4437
ahmedabad_ssp245_late_2080s_hot_2081,perimeter_mid_zn_4,perimeter,middle,west,horizontal_GHI__zone_p_tail,0.2806122078747951,4437
ahmedabad_ssp245_late_2080s_typical_2086,core_bottom,core,bottom,core,horizontal_GHI__zone_operative_temperature,0.3493123260595864,4437
ahmedabad_ssp245_late_2080s_typical_2086,core_bottom,core,bottom,core,horizontal_GHI__zone_p_tail,0.24478598569138194,4437
ahmedabad_ssp245_late_2080s_typical_2086,core_mid,core,middle,core,horizontal_GHI__zone_operative_temperature,0.3086016796491368,4437
ahmedabad_ssp245_late_2080s_typical_2086,core_mid,core,middle,core,horizontal_GHI__zone_p_tail,0.19767211261423573,4437
ahmedabad_ssp245_late_2080s_typical_2086,core_top,core,top,core,horizontal_GHI__zone_operative_temperature,0.3892900598169992,4437
ahmedabad_ssp245_late_2080s_typical_2086,core_top,core,top,core,horizontal_GHI__zone_p_tail,0.25086240279253025,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_top_zn_3,perimeter,top,north,horizontal_GHI__zone_operative_temperature,0.4566098912143526,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_top_zn_3,perimeter,top,north,horizontal_GHI__zone_p_tail,0.41114729111386783,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_top_zn_2,perimeter,top,east,horizontal_GHI__zone_operative_temperature,0.6091338289412636,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_top_zn_2,perimeter,top,east,horizontal_GHI__zone_p_tail,0.5564287891938784,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_top_zn_1,perimeter,top,south,horizontal_GHI__zone_operative_temperature,0.6516196846469662,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_top_zn_1,perimeter,top,south,horizontal_GHI__zone_p_tail,0.607312136826161,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_top_zn_4,perimeter,top,west,horizontal_GHI__zone_operative_temperature,0.4350931437284419,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_top_zn_4,perimeter,top,west,horizontal_GHI__zone_p_tail,0.36083667817148285,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_bot_zn_3,perimeter,bottom,north,horizontal_GHI__zone_operative_temperature,0.39694506587931305,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_bot_zn_3,perimeter,bottom,north,horizontal_GHI__zone_p_tail,0.3332540882361634,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_bot_zn_2,perimeter,bottom,east,horizontal_GHI__zone_operative_temperature,0.5576997803331187,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_bot_zn_2,perimeter,bottom,east,horizontal_GHI__zone_p_tail,0.5173201338405157,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_bot_zn_1,perimeter,bottom,south,horizontal_GHI__zone_operative_temperature,0.6011756305241872,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_bot_zn_1,perimeter,bottom,south,horizontal_GHI__zone_p_tail,0.5739509386567603,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_bot_zn_4,perimeter,bottom,west,horizontal_GHI__zone_operative_temperature,0.3593728323115717,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_bot_zn_4,perimeter,bottom,west,horizontal_GHI__zone_p_tail,0.25776798377209637,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_mid_zn_3,perimeter,middle,north,horizontal_GHI__zone_operative_temperature,0.4271872341277888,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_mid_zn_3,perimeter,middle,north,horizontal_GHI__zone_p_tail,0.39078382706169573,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_mid_zn_2,perimeter,middle,east,horizontal_GHI__zone_operative_temperature,0.5784353697561665,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_mid_zn_2,perimeter,middle,east,horizontal_GHI__zone_p_tail,0.529360075370764,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_mid_zn_1,perimeter,middle,south,horizontal_GHI__zone_operative_temperature,0.6646826439067157,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_mid_zn_1,perimeter,middle,south,horizontal_GHI__zone_p_tail,0.6295739832682574,4437
ahmedabad_ssp245_late_2080s_typical_2086,perimeter_mid_zn_4,perimeter,middle,west,horizontal_GHI__zone_operative_temperature,0.41112695073062194,4437
