outdoor_temp_bin,occupied_steps,mean_outdoor_temp_c,mean_zone_operative_temp_c,mean_zone_rh_pct,mean_zone_cooling_rate_w,mean_p_tail,high_tail_pct
20--25,380933,22.641470041975886,25.086188911341267,45.92685130400691,92078.64629805174,0.07863993232804119,0.1947849096822801
25--30,596303,27.69088810135116,25.68723430549334,50.83793591978157,105688.80496455746,0.10011684676347662,7.371755634300012
30--35,559430,32.234330555207976,26.57595461273013,53.41344211928219,115890.28788812345,0.15143938933711787,25.296462470729136
<20,619576,12.014597398059317,24.08472427136473,32.65552367396449,59725.89112844402,0.0778779571978146,0.0072630314925045516
>=35,249134,38.33494537076433,27.37339306535898,52.138183820808585,117434.13872545109,0.22228733070580992,52.17312771440269
