mu_bin_left,p_tail_q05,p_tail_q25,p_tail_median,p_tail_q75,p_tail_q95,rows,high_tail_pct,mu_bin_right,mu_bin_center,p_tail_iqr,p_tail_90pct_spread
-0.5,0.08034236803650856,0.08414135500788689,0.08569659665226936,0.08711285516619682,0.0894366055727005,8,0.0,-0.45,-0.475,0.0029715001583099365,0.009094237536191943
-0.45,0.07944809943437577,0.08885514549911022,0.09366152063012123,0.10072735324501991,0.10957909934222697,78,0.0,-0.4,-0.425,0.01187220774590969,0.030130999907851203
-0.4,0.07784812450408936,0.08455879241228104,0.09053541719913483,0.10190653800964355,0.11317074596881867,193,0.0,-0.35000000000000003,-0.375,0.01734774559736252,0.03532262146472931
-0.35000000000000003,0.0667815487831831,0.07739111967384815,0.08176542073488235,0.09230421297252178,0.106441056355834,578,0.0,-0.30000000000000004,-0.325,0.01491309329867363,0.039659507572650896
-0.30000000000000004,0.06665232479572296,0.07407929003238678,0.08084426075220108,0.09342729300260544,0.1070019319653511,1925,0.0,-0.25000000000000006,-0.275,0.01934800297021866,0.04034960716962814
-0.25,0.06557879149913788,0.07408428937196732,0.08186308667063713,0.0929050911217928,0.11463778465986252,6614,0.0,-0.2,-0.225,0.018820801749825478,0.04905899316072464
-0.2,0.060611901618540284,0.06962212733924389,0.0792650580406189,0.09106986410915852,0.10131225325167176,16944,0.0,-0.15000000000000002,-0.17500000000000002,0.021447736769914627,0.040700351633131474
-0.15000000000000002,0.056046399474143985,0.06573767773807049,0.0779830701649189,0.08998385816812515,0.09911538809537887,28214,0.0,-0.10000000000000002,-0.12500000000000003,0.024246180430054665,0.043068988621234885
-0.1,0.04919480159878731,0.059400198981165886,0.06958526000380516,0.08668534643948078,0.10028316080570221,44876,0.0,-0.05,-0.07500000000000001,0.027285147458314896,0.0510883592069149
-0.05,0.049821291118860245,0.05435583181679249,0.061641767621040344,0.07657451555132866,0.09706801474094393,83675,0.0,0.0,-0.025,0.02221868373453617,0.04724672362208368
0.0,0.05182312540709973,0.05592582747340202,0.058988384902477264,0.06825358048081398,0.09285678490996357,165007,0.0,0.05,0.025,0.012327753007411957,0.04103365950286385
0.05,0.055859315767884256,0.060010362416505814,0.0640828087925911,0.0688734482973814,0.08767087012529373,294078,0.0,0.1,0.07500000000000001,0.008863085880875587,0.031811554357409476
0.1,0.0603315569460392,0.06732357665896416,0.0711250826716423,0.07539292238652706,0.089164849370718,349036,0.0,0.15000000000000002,0.125,0.008069345727562904,0.028833292424678802
0.15000000000000002,0.06867042742669582,0.07354778796434402,0.07735371217131615,0.0828767940402031,0.09457705914974213,316016,0.0,0.2,0.17500000000000002,0.00932900607585907,0.025906631723046303
0.2,0.07549507319927215,0.08082590252161026,0.08641824126243591,0.09299128502607346,0.10567995756864543,223497,0.0,0.25,0.225,0.012165382504463196,0.030184884369373277
0.25,0.08486214503645897,0.09271923825144768,0.09990837424993515,0.10722102597355843,0.11994482837617397,149500,0.0,0.3,0.275,0.014501787722110748,0.035082683339714996
0.30000000000000004,0.09800928868353367,0.10810703597962856,0.11506083607673645,0.1221937295049429,0.1347829446196556,114910,0.010442955356365852,0.35000000000000003,0.32500000000000007,0.014086693525314331,0.03677365593612192
0.35000000000000003,0.11326818764209748,0.12250684201717377,0.1293916404247284,0.1369912326335907,0.15224739909172058,90657,0.06949270326615706,0.4,0.37500000000000006,0.014484390616416931,0.0389792114496231
0.4,0.12665531039237976,0.1364670693874359,0.14419759809970856,0.1533154621720314,0.1685750752687454,71487,0.2671814455775176,0.45,0.42500000000000004,0.01684839278459549,0.041919764876365645
0.45,0.13973568007349968,0.14998555555939674,0.1583171710371971,0.16815782710909843,0.1847606405615806,51200,1.423828125,0.5,0.47500000000000003,0.01817227154970169,0.04502496048808091
0.5,0.15422854274511338,0.1645006313920021,0.1731286197900772,0.18265357613563538,0.2018822282552719,41983,5.807112402639163,0.55,0.525,0.01815294474363327,0.04765368551015853
0.55,0.1695421665906906,0.17985811829566956,0.18869376182556152,0.1991821974515915,0.21811905354261402,36203,23.511863657707924,0.6000000000000001,0.5750000000000001,0.019324079155921936,0.048576886951923415
0.6000000000000001,0.1846047192811966,0.19533899426460266,0.2051674872636795,0.21614934504032135,0.2347801774740219,34511,63.09582451971835,0.6500000000000001,0.6250000000000001,0.02081035077571869,0.05017545819282532
0.65,0.20001235976815224,0.21176693588495255,0.22223740816116333,0.23389038816094398,0.2516670674085617,33266,95.01593218300968,0.7000000000000001,0.675,0.02212345227599144,0.05165470764040947
0.7000000000000001,0.21621929481625557,0.22838202863931656,0.23881039768457413,0.25128044933080673,0.26796863973140717,31476,99.98093785741517,0.7500000000000001,0.7250000000000001,0.022898420691490173,0.051749344915151596
0.75,0.2328492969274521,0.24504069611430168,0.25542786717414856,0.2680315896868706,0.2852032124996185,29398,100.0,0.8,0.775,0.022990893572568893,0.0523539155721664
0.8,0.249992498755455,0.261227011680603,0.2714531123638153,0.28405043482780457,0.3014897882938385,27797,100.0,0.8500000000000001,0.8250000000000001,0.022823423147201538,0.05149728953838348
0.8500000000000001,0.26530697047710416,0.27715781331062317,0.287480965256691,0.29984620213508606,0.31783311218023297,27538,100.0,0.9000000000000001,0.8750000000000001,0.02268838882446289,0.052526141703128804
0.9,0.27913014888763427,0.2923031151294708,0.30335843563079834,0.3164222836494446,0.33559316396713257,26053,100.0,0.9500000000000001,0.925,0.024119168519973755,0.0564630150794983
0.9500000000000001,0.2919188141822815,0.3063584715127945,0.3183634877204895,0.3318309187889099,0.3523879647254944,23576,100.0,1.0,0.9750000000000001,0.025472447276115417,0.06046915054321289
1.0,0.3032035827636719,0.3193111717700958,0.3310885727405548,0.3458731770515442,0.36886948347091675,21463,100.0,1.05,1.025,0.026562005281448364,0.06566590070724487
1.05,0.3085215061903,0.32905425131320953,0.34224891662597656,0.3590427041053772,0.3858005106449127,20063,100.0,1.1,1.075,0.029988452792167664,0.07727900445461272
1.1,0.3153056800365448,0.3385092616081238,0.35474616289138794,0.3738342523574829,0.40393590927124023,17221,100.0,1.1500000000000001,1.125,0.03532499074935913,0.08863022923469543
1.1500000000000001,0.31234932094812395,0.3460364043712616,0.37255823612213135,0.39914777874946594,0.42609423249959943,10808,100.0,1.2000000000000002,1.175,0.053111374378204346,0.11374491155147548
1.2000000000000002,0.31772926449775696,0.35407405346632004,0.3980656564235687,0.4234321191906929,0.44646529108285904,6212,100.0,1.2500000000000002,1.225,0.06935806572437286,0.12873602658510208
1.25,0.3334198594093323,0.3679731786251068,0.42606835067272186,0.4497983381152153,0.4695956125855446,3682,100.0,1.3,1.275,0.08182515949010849,0.13617575317621233
1.3,0.34816592931747437,0.3739260733127594,0.4514058232307434,0.47585248947143555,0.49302222728729245,1967,100.0,1.35,1.325,0.10192641615867615,0.14485629796981808
1.35,0.3661307096481323,0.39367610216140747,0.4790845364332199,0.49835918098688126,0.5115772873163223,1204,100.0,1.4000000000000001,1.375,0.10468307882547379,0.14544657766819002
1.4000000000000001,0.3848227024078369,0.41409508883953094,0.4997458755970001,0.5168260037899017,0.5280803620815278,903,100.0,1.4500000000000002,1.425,0.10273091495037079,0.14325765967369086
1.4500000000000002,0.4048291176557541,0.41968781501054764,0.506723552942276,0.5302265882492065,0.5481999725103378,524,100.0,1.5000000000000002,1.475,0.1105387732386589,0.14337085485458373
1.5,0.42752646952867507,0.4372912794351578,0.45413269102573395,0.5375484526157379,0.5616761773824692,364,100.0,1.55,1.525,0.10025717318058014,0.13414970785379415
1.55,0.44579012393951417,0.46080610156059265,0.47342249751091003,0.5006281733512878,0.5697898805141449,219,100.0,1.6,1.575,0.03982207179069519,0.12399975657463075
1.6,0.4749486967921257,0.4868781566619873,0.49695003032684326,0.5097894072532654,0.5860926508903503,108,100.0,1.6500000000000001,1.625,0.022911250591278076,0.11114395409822464
1.6500000000000001,0.5091415673494339,0.5190683752298355,0.5235782563686371,0.5390639752149582,0.5922700524330139,70,100.0,1.7000000000000002,1.675,0.01999559998512268,0.08312848508357995
1.7000000000000002,0.528647780418396,0.5437429249286652,0.5514572560787201,0.5629955381155014,0.5744665324687958,68,100.0,1.7500000000000002,1.725,0.019252613186836243,0.04581875205039976
1.75,0.561475646495819,0.5714896619319916,0.5800471901893616,0.5869184732437134,0.5981973707675934,39,100.0,1.8,1.775,0.015428811311721802,0.036721724271774336
1.8,0.5860813111066818,0.5993009954690933,0.6024690568447113,0.6089117676019669,0.6243118345737457,46,100.0,1.85,1.825,0.009610772132873535,0.038230523467063904
1.85,0.5991185069084167,0.6172857135534286,0.6339623034000397,0.6416322439908981,0.6510519921779633,30,100.0,1.9000000000000001,1.875,0.024346530437469482,0.05193348526954655
1.9000000000000001,0.640667200088501,0.6506782919168472,0.6559758186340332,0.6621385216712952,0.6704771399497986,28,100.0,1.9500000000000002,1.925,0.011460229754447937,0.029809939861297652
1.9500000000000002,0.6413852423429489,0.6687259525060654,0.6787210702896118,0.692538857460022,0.7006728500127792,16,100.0,2.0,1.975,0.023812904953956604,0.05928760766983032
2.0,0.6848979115486145,0.6907138228416443,0.6968861222267151,0.707089900970459,0.7185402274131775,9,100.0,2.05,2.025,0.016376078128814697,0.03364231586456301
