scalar,p_tail_lower,p_tail_upper,rows,q05,q50,q95
abs_mean_pmv,0.2,0.3,188664,0.7913333177566528,1.0199999809265137,1.2860000133514404
abs_mean_pmv,0.3,0.4,113763,1.0473333597183228,1.3486666679382324,1.8619999885559082
abs_mean_pmv,0.4,0.6,13661,1.2273333072662354,1.4853333234786987,2.3406665325164795
abs_mu_tsv,0.2,0.3,188664,0.5905923515558242,0.7459547221660614,0.9236030310392381
abs_mu_tsv,0.3,0.4,113763,0.8834229707717896,1.0307543277740479,1.199335777759552
abs_mu_tsv,0.4,0.6,13661,1.1287473440170288,1.2477039098739624,1.524025321006775
