group_scope,n_steps,n_cases,mean_p_tail,p90_zone_p_tail,max_zone_p_tail,mean_zone_high_tail_pct,p90_zone_high_tail_pct,any_zone_high_tail_pct,hidden_any_zone_pct,max_zone_more_severe_category_pct,p90_zone_more_severe_category_pct,warm_tail_gt_cold_tail_pct,city,time_slice,scenario
global,2405376,144,0.11557731683147973,0.16389108126995636,0.19562410150801024,13.14730004789272,27.83003571998723,36.64316930076628,23.495869252873565,32.04871088761175,21.07587337696892,78.32646538420605,,,
city,400896,24,0.1302794668915692,0.2036426735286637,0.24848039148856824,16.652947397828864,41.63374042145594,53.876566491060025,37.223619093231164,39.56861629948914,27.099297573435503,81.61418422733078,Ahmedabad,,
city,400896,24,0.09484284123402324,0.12328681739288161,0.14626126970843994,5.370470146871009,9.855174409323116,15.437669620051086,10.067199473180077,15.485312899106003,10.910061462324393,86.4675626596424,Beijing,,
city,400896,24,0.10718340431917857,0.14332092880794395,0.16957203156869635,12.222621328224777,22.89820801404853,31.6964998403576,19.473878512132824,34.517430954661556,22.323245929118773,68.3733437100894,Guangzhou,,
city,400896,24,0.10438902862263244,0.13816898376408387,0.1599590743409455,12.088671376117496,21.995979007024264,27.822178320561942,15.733506944444445,37.65789631226053,25.098529294380587,65.81956417624521,Houston,,
city,400896,24,0.12761137944294507,0.17710079486248442,0.2117422334780037,19.533744412515965,35.92253352490422,46.79517879948914,27.26143438697318,39.57784562579821,26.211286717752234,74.5193267081737,Kolkata,,
city,400896,24,0.12915778047852988,0.19782628926368057,0.23772960846340777,13.015345625798211,34.674578943167305,44.230922733077904,31.215577107279692,25.485163234355046,14.812819284802043,93.16481082375479,Phoenix,,
time_slice,601344,36,0.10426582048887681,0.14807678377659056,0.17813305344704716,8.906383035334185,23.02758487654321,31.887405544912728,22.981022509578544,30.168921615581098,19.497824872286078,76.63417278629204,,baseline_2020s,
time_slice,601344,36,0.13627590075340723,0.192625687122834,0.2275711553667587,20.83981880587484,36.62196679438059,45.23484062366965,24.395021817794806,35.68938910174543,24.147742390378884,81.35276979565772,,late_2080s,
time_slice,601344,36,0.117304748308545,0.166507422735816,0.198348175595995,13.957734674329503,28.753425659855257,37.52760483184334,23.569870157513837,32.471763250319285,21.391083971902937,79.2147256811409,,mid_2050s,
time_slice,601344,36,0.10446279777508989,0.14835443144458493,0.17844402162224016,8.885263676032354,22.91716554916986,31.92282620263942,23.03756252660707,29.86476958280119,19.26684227330779,76.1041932737335,,near_2030s,
city_time_slice,100224,6,0.1322106592024221,0.20532272505874688,0.2514281666916878,17.8081098339719,43.0874840357599,55.45577905491699,37.64766922094509,39.547413793103445,26.083572796934867,84.0547174329502,Ahmedabad,baseline_2020s,
city_time_slice,100224,6,0.14508669795051113,0.22600146957140785,0.2726179434184919,21.8889687100894,47.951588441890166,59.535640166028095,37.646671455938694,43.936582056194126,31.364742975734355,80.98758780332057,Ahmedabad,late_2080s,
city_time_slice,100224,6,0.12690887110058766,0.19984432635791868,0.24352235733587774,15.201947637292465,40.5342033844189,52.4066091954023,37.204661558109834,39.51049648786718,27.152179118773947,81.05344029374201,Ahmedabad,mid_2050s,
city_time_slice,100224,6,0.11691163931275589,0.18340217312658144,0.22635309850821553,11.712763409961687,34.96168582375479,48.10823754789272,36.39547413793103,35.27997286079183,23.79669540229885,80.36099137931035,Ahmedabad,near_2030s,
city_time_slice,100224,6,0.08607047428227489,0.11156964971587408,0.1338710057020315,2.1641522988505746,6.12029054916986,10.917544699872286,8.753392401021712,15.447397828863346,10.433628671775223,84.36502234993614,Beijing,baseline_2020s,
city_time_slice,100224,6,0.10839007053054484,0.14090978555813216,0.16351487507491186,10.810783844189016,15.125119731800766,21.10272988505747,10.291946040868455,17.135616219667945,13.102650063856961,88.34211366538953,Beijing,late_2080s,
city_time_slice,100224,6,0.09787069120290497,0.12696302545956425,0.14977407681313804,6.485472541507025,11.02530332056194,16.701588441890166,10.216115900383143,14.629230523627076,10.416666666666666,87.5628591954023,Beijing,mid_2050s,
city_time_slice,100224,6,0.08704012892036828,0.11370480883795592,0.1378851212436784,2.02147190293742,7.149984035759898,13.02881545338442,11.007343550446999,14.729007024265645,9.687300446998723,85.60025542784163,Beijing,near_2030s,
city_time_slice,100224,6,0.09065341856945125,0.11961631265768417,0.1414492769983012,6.2948994252873565,14.881665070242656,22.969548212005108,16.674648786717754,32.81549329501916,21.257383461047255,62.95597860791826,Guangzhou,baseline_2020s,
city_time_slice,100224,6,0.13730912695896186,0.18555966412668878,0.21883713782632117,23.40058269476373,36.91730523627076,46.0029533844189,22.60237068965517,38.9297972541507,25.522828863346106,76.25518837803321,Guangzhou,late_2080s,
city_time_slice,100224,6,0.10599719380725672,0.14319301324919215,0.16998815892283362,11.61198914431673,23.076309067688378,32.645873243933586,21.03388409961686,33.82323595146871,21.518797892720308,70.51305076628353,Guangzhou,mid_2050s,
city_time_slice,100224,6,0.09477387794104443,0.12491472519821073,0.14801355252732942,7.58301404853129,16.717552681992338,25.167624521072796,17.584610472541506,32.50119731800766,20.99397349936143,63.769157088122604,Guangzhou,near_2030s,
city_time_slice,100224,6,0.09600986911090345,0.12846894030356443,0.14897527305228966,8.523906449553001,18.790908365261814,24.54102809706258,16.01712164750958,36.16598818646232,24.314535440613028,65.05627394636015,Houston,baseline_2020s,
city_time_slice,100224,6,0.11948370603914335,0.15532277329878538,0.17858834571049031,18.442688378033207,27.921455938697317,33.57179916985952,15.129110791826308,40.26281130268199,26.989543422733078,67.87496008939975,Houston,late_2080s,
city_time_slice,100224,6,0.10324069953100909,0.13650402270004552,0.15822062231456113,11.86242816091954,21.324233716475096,27.196080779054917,15.333652618135376,38.25231481481482,25.522828863346106,65.2488425925926,Houston,mid_2050s,
city_time_slice,100224,6,0.09882183980947389,0.13238019875394016,0.15405205628644086,9.52566251596424,19.947318007662837,25.979805236270753,16.454142720306514,35.95047094508301,23.56720945083014,65.09818007662835,Houston,near_2030s,
city_time_slice,100224,6,0.10652849253673666,0.14848194860107475,0.18021337864820047,10.940493295019158,26.258181673052363,38.06972381864623,27.129230523627076,34.651380906768836,22.57742656449553,70.49908205619413,Kolkata,baseline_2020s,
city_time_slice,100224,6,0.15630813998742807,0.2188651058493636,0.25983751514959735,29.929956896551722,49.500119731800766,59.80902777777778,29.879070881226053,45.07203863346105,30.57551085568327,80.97361909323116,Kolkata,late_2080s,
city_time_slice,100224,6,0.14129235779784785,0.19600173796083264,0.23218102179251945,25.28236749680715,42.63848978288633,53.183868135376756,27.901500638569605,42.594588122605366,28.551045657726693,77.98730842911877,Kolkata,mid_2050s,
city_time_slice,100224,6,0.10631652744976762,0.14505438703866672,0.17473701832169747,11.982159961685824,25.293342911877396,36.11809546615581,24.135935504469987,35.993374840357596,23.14116379310345,68.6172972541507,Kolkata,near_2030s,
city_time_slice,100224,6,0.11412200923147255,0.17500112632259912,0.2128612195897723,7.706736909323117,29.02697956577267,39.37080938697318,31.664072477650063,22.385855683269476,12.320402298850574,92.87396232439336,Phoenix,baseline_2020s,
city_time_slice,100224,6,0.151077663053854,0.22909532433262597,0.2720311150207396,20.565932311621967,42.31621168582375,51.386893358876115,30.82096104725415,28.79948914431673,17.33117816091954,93.68314974457216,Phoenix,late_2080s,
city_time_slice,100224,6,0.1285186764116637,0.19653841068734268,0.23640281639703992,13.3022030651341,33.92201468710089,43.0316091954023,29.7294061302682,26.020713601532567,15.184985632183908,92.92285280970626,Phoenix,mid_2050s,
city_time_slice,100224,6,0.12291277321712923,0.19067029571215452,0.22962328284607922,10.486510217113665,33.433109833971905,43.134378991060025,32.64786877394636,24.734594508301406,14.414711047254151,93.17927841634739,Phoenix,near_2030s,
scenario_time_slice,300672,18,0.10297363120341782,0.14720936106208052,0.1774149267329274,8.276793316304811,22.646604938271604,31.566291507024264,23.289498190719456,29.669540229885058,19.056646445295872,76.89342539378458,,baseline_2020s,ssp245
scenario_time_slice,300672,18,0.12289397186292758,0.17608100159874354,0.20907029155953585,15.928320561941252,32.03524106002554,41.12421509152831,25.195894529587058,33.983876117496806,22.49727277564921,79.8567874627501,,late_2080s,ssp245
scenario_time_slice,300672,18,0.1133104580503106,0.1610196472219566,0.19188066494470793,12.440799276287782,26.86049914857386,35.73395593869732,23.293156662409537,31.610193167305237,20.957721370796083,78.99039484887186,,mid_2050s,ssp245
scenario_time_slice,300672,18,0.10483088590272598,0.14878055302969387,0.1790599383245619,9.14883993188591,23.179078863346106,32.07016283524904,22.921322903363134,30.138489782886335,19.51528575989783,76.47070561941251,,near_2030s,ssp245
scenario_time_slice,300672,18,0.1055580097743358,0.14894420649110066,0.1788511801611669,9.53597275436356,23.408564814814813,32.208519582801195,22.672546828437632,30.66830300127714,19.939003299276287,76.37492017879948,,baseline_2020s,ssp585
scenario_time_slice,300672,18,0.14965782964388682,0.20917037264692448,0.24607201917398155,25.751317049808428,41.20869252873563,49.34546615581098,23.594149106002554,37.39490208599404,25.798212005108557,82.84875212856535,,late_2080s,ssp585
scenario_time_slice,300672,18,0.1212990385667794,0.1719951982496754,0.20481568624728205,15.474670072371222,30.646352171136655,39.321253724989354,23.846583652618136,33.333333333333336,21.82444657300979,79.43905651340997,,mid_2050s,ssp585
scenario_time_slice,300672,18,0.10409470964745379,0.14792830985947594,0.17782810491991838,8.6216874201788,22.655252234993615,31.7754895700298,23.153802149851,29.59104938271605,19.018398786717754,75.73768092805449,,near_2030s,ssp585
