weather,analysis_state_sha256,floor,area_weighted_high_tail_pct,unweighted_zone_time_high_tail_pct,any_zone_within_floor_high_tail_pct,mean_p_tail_area_weighted,mean_warm_tail_area_weighted,mean_cold_tail_area_weighted,mean_expected_tsv_area_weighted
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,9436ee906dedc67f3c2b0e60fbc76f5c6f16b1a1019219ff5a71bc232e1f45b8,bottom,14.453965556922954,19.31872605363985,53.56202107279694,0.12083208367951406,0.09384456070291602,0.026987522976598042,0.30745889235698076
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,9436ee906dedc67f3c2b0e60fbc76f5c6f16b1a1019219ff5a71bc232e1f45b8,middle,21.69002672144616,23.533285440613028,47.56345785440613,0.13270150708281023,0.10699113427787024,0.025710372804939978,0.3447425640594772
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,9436ee906dedc67f3c2b0e60fbc76f5c6f16b1a1019219ff5a71bc232e1f45b8,top,17.13635301559096,19.461206896551726,39.96647509578544,0.11968483547196523,0.09265717362386877,0.027027661848096476,0.298869512322458
ahmedabad_ssp245_baseline_2020s_hot_2029,9436ee906dedc67f3c2b0e60fbc76f5c6f16b1a1019219ff5a71bc232e1f45b8,bottom,14.453965556922954,19.31872605363985,53.56202107279694,0.12083208367951406,0.09384456070291602,0.026987522976598042,0.30745889235698076
ahmedabad_ssp245_baseline_2020s_hot_2029,9436ee906dedc67f3c2b0e60fbc76f5c6f16b1a1019219ff5a71bc232e1f45b8,middle,21.69002672144616,23.533285440613028,47.56345785440613,0.13270150708281023,0.10699113427787024,0.025710372804939978,0.3447425640594772
ahmedabad_ssp245_baseline_2020s_hot_2029,9436ee906dedc67f3c2b0e60fbc76f5c6f16b1a1019219ff5a71bc232e1f45b8,top,17.13635301559096,19.461206896551726,39.96647509578544,0.11968483547196523,0.09265717362386877,0.027027661848096476,0.298869512322458
ahmedabad_ssp245_baseline_2020s_typical_2025,230f4d3a6394e63152852cb7bb21641d03e0d52a1c8304ce6b3cf4bed5a3c611,bottom,8.534863323964558,12.540708812260537,43.74401340996169,0.10173182832668953,0.0728339737020671,0.02889785462462243,0.23741472380182396
ahmedabad_ssp245_baseline_2020s_typical_2025,230f4d3a6394e63152852cb7bb21641d03e0d52a1c8304ce6b3cf4bed5a3c611,middle,12.249458288815566,14.570162835249043,37.05100574712644,0.1076324192749678,0.07990189015962913,0.02773052911533869,0.25808753331040546
ahmedabad_ssp245_baseline_2020s_typical_2025,230f4d3a6394e63152852cb7bb21641d03e0d52a1c8304ce6b3cf4bed5a3c611,top,10.336526682179855,12.689176245210728,32.0102969348659,0.10026357250196959,0.07136156882138467,0.02890200368058491,0.22629155277183402
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,bottom,16.586672604253128,21.85344827586207,58.099856321839084,0.12433054945537887,0.09683457253946909,0.02749597691590979,0.3074201804216762
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,middle,24.345992479810786,26.13625478927203,51.76005747126437,0.13735926735042467,0.1113381262129987,0.02602114113742596,0.35314381906333575
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,top,20.100621762418886,22.450909961685824,45.07303639846743,0.1261202372880942,0.09879448485768148,0.02732575243041273,0.30811940997238707
ahmedabad_ssp245_late_2080s_hot_2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,bottom,16.586672604253128,21.85344827586207,58.099856321839084,0.12433054945537887,0.09683457253946909,0.02749597691590979,0.3074201804216762
ahmedabad_ssp245_late_2080s_hot_2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,middle,24.345992479810786,26.13625478927203,51.76005747126437,0.13735926735042467,0.1113381262129987,0.02602114113742596,0.35314381906333575
ahmedabad_ssp245_late_2080s_hot_2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,top,20.100621762418886,22.450909961685824,45.07303639846743,0.1261202372880942,0.09879448485768148,0.02732575243041273,0.30811940997238707
ahmedabad_ssp245_late_2080s_typical_2086,684693e80f1e7728fba0439ed5181649bf62b91ae747fb1c452c76be2c2cb689,bottom,12.796288136964556,16.801963601532567,47.41977969348659,0.1115716030141422,0.08284018128008164,0.028731421734060566,0.26546404768589954
ahmedabad_ssp245_late_2080s_typical_2086,684693e80f1e7728fba0439ed5181649bf62b91ae747fb1c452c76be2c2cb689,middle,17.355591810557943,19.2492816091954,41.86422413793103,0.1213938176730343,0.09391200556979536,0.02748181210323894,0.29563980233665793
ahmedabad_ssp245_late_2080s_typical_2086,684693e80f1e7728fba0439ed5181649bf62b91ae747fb1c452c76be2c2cb689,top,15.469610294974146,17.409003831417625,37.09889846743295,0.11466535278499877,0.08631481451414069,0.02835053827085807,0.26929218093371654
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,fb6d6335ff6678fe333abc3a6e5c05bff8b29b7c81c3f92a26cfe467e02670e3,bottom,18.508151754941906,22.57662835249042,53.54406130268199,0.12560811460167615,0.09793816340448198,0.027669951197194155,0.3126495257198214
