location_or_object,legacy,corrected,unit,source,difference_corrected_minus_legacy
Panel table: severity=hot mean p_tail,0.1203436109979648,0.11934364555547772,probability,corrected_mean_tail_summary.csv,-0.0009999654424870802
Panel table: severity=hot screened share,14.792240381545335,14.47544999201788,%,corrected_mean_tail_summary.csv,-0.31679038952745486
Panel table: severity=typical mean p_tail,0.1086765882218364,0.10780627149448395,probability,corrected_mean_tail_summary.csv,-0.000870316727352452
Panel table: severity=typical screened share,10.479026979565772,10.207011294699871,%,corrected_mean_tail_summary.csv,-0.27201568486590055
Zone summary: Core bottom high-tail share,7.258948289165602,6.973712217965091,%,corrected_zone_summary.csv,-0.28523607120051064
Zone summary: Core middle high-tail share,12.911785932843763,12.57545597860792,%,corrected_zone_summary.csv,-0.33632995423584333
Zone summary: Core top high-tail share,11.305425846104724,10.981900542784164,%,corrected_zone_summary.csv,-0.32352530332055984
Zone summary: Bottom P1 high-tail share,30.510074100681138,30.236769636015325,%,corrected_zone_summary.csv,-0.27330446466581293
Zone summary: Bottom P2 high-tail share,10.374386374521071,10.15550167624521,%,corrected_zone_summary.csv,-0.2188846982758612
Zone summary: Bottom P3 high-tail share,11.665036983822905,11.544016403256705,%,corrected_zone_summary.csv,-0.12102058056619924
Zone summary: Bottom P4 high-tail share,8.345181792784164,8.106300220838655,%,corrected_zone_summary.csv,-0.23888157194550885
Zone summary: Middle P1 high-tail share,27.906323169433804,27.616430861536823,%,corrected_zone_summary.csv,-0.28989230789698084
Zone summary: Middle P2 high-tail share,12.60979572424436,12.276417491485738,%,corrected_zone_summary.csv,-0.3333782327586228
Zone summary: Middle P3 high-tail share,16.96969621381439,16.714600960515114,%,corrected_zone_summary.csv,-0.2550952532992774
Zone summary: Middle P4 high-tail share,10.99004895700298,10.657086459663686,%,corrected_zone_summary.csv,-0.3329624973392935
Zone summary: Top P1 high-tail share,23.589867031183484,23.273409229991486,%,corrected_zone_summary.csv,-0.31645780119199785
Zone summary: Top P2 high-tail share,12.855578504150705,12.504365221902937,%,corrected_zone_summary.csv,-0.3512132822477678
Zone summary: Top P3 high-tail share,15.009836300021286,14.718197903363135,%,corrected_zone_summary.csv,-0.2916383966581506
Zone summary: Top P4 high-tail share,10.449301897083863,10.100167291932738,%,corrected_zone_summary.csv,-0.34913460515112504
Floor summary: bottom area_weighted_high_tail_pct,11.04399908378217,10.789662465451379,%,corrected_floor_summary.csv,-0.25433661833079135
Floor summary: bottom unweighted_zone_time_high_tail_pct,13.630725508194976,13.403260030864196,%,corrected_floor_summary.csv,-0.22746547733077982
Floor summary: bottom any_zone_within_floor_high_tail_pct,31.85418828490847,31.51806619838229,%,corrected_floor_summary.csv,-0.33612208652618136
Floor summary: middle area_weighted_high_tail_pct,15.114713112717174,14.794822318466913,%,corrected_floor_summary.csv,-0.3198907942502611
Floor summary: middle unweighted_zone_time_high_tail_pct,16.27752999946786,15.967998350361857,%,corrected_floor_summary.csv,-0.3095316491060025
Floor summary: middle any_zone_within_floor_high_tail_pct,30.69964945189442,30.348062007769258,%,corrected_floor_summary.csv,-0.35158744412516185
Floor summary: top area_weighted_high_tail_pct,13.356472836533888,13.033598609631206,%,corrected_floor_summary.csv,-0.3228742269026821
Floor summary: top unweighted_zone_time_high_tail_pct,14.642001915708814,14.31560803799489,%,corrected_floor_summary.csv,-0.32639387771392414
Floor summary: top any_zone_within_floor_high_tail_pct,26.451581790123456,26.09238638782461,%,corrected_floor_summary.csv,-0.3591954022988446
Endpoint sensitivity: mean equal_zone_mean,,0.0265178590344023,probability,global_continuous_summary.csv,
Endpoint sensitivity: mean area_weighted_mean,,0.024592870034708,probability,global_continuous_summary.csv,
Endpoint sensitivity: mean zone_p90,,0.0438342185893138,probability,global_continuous_summary.csv,
Endpoint sensitivity: mean any_zone,,0.0566069691111006,probability,global_continuous_summary.csv,
Endpoint sensitivity: mean cold_equal,,0.0025222917116534,probability,global_continuous_summary.csv,
Endpoint sensitivity: mean warm_equal,,0.0239955673227488,probability,global_continuous_summary.csv,
Endpoint sensitivity at 0.05: equal_zone_mean_high_pct,,10.986806220732229,%,global_threshold_curves.csv,
Endpoint sensitivity at 0.05: area_weighted_mean_high_pct,,7.269050659855257,%,global_threshold_curves.csv,
Endpoint sensitivity at 0.05: zone_p90_high_pct,,23.631066411238823,%,global_threshold_curves.csv,
Endpoint sensitivity at 0.05: any_zone_high_pct,,30.337834916453808,%,global_threshold_curves.csv,
Endpoint sensitivity at 0.05: hidden_any_zone_pct,,19.351028695721585,%,global_threshold_curves.csv,
