city,variable,paired_rows,finite_paired_rows,exact_equal_rows,exact_equal_pct,mean_ssp245,mean_ssp585,mean_ssp585_minus_ssp245,mean_abs_paired_difference,rmse_paired_difference,max_abs_paired_difference
Ahmedabad,temp,666169,666169,0,0.0,28.027145741997792,28.48459150119703,0.4574457591992395,2.602776445316429,3.285624316110293,18.592589999999976
Ahmedabad,pressure,666169,666169,72,0.010808068222928416,1008.6218303452112,1008.5315179751522,-0.09031237005904165,2.5655474937290688,3.2321278298710174,17.53065000000015
Ahmedabad,wind_speed,666169,666169,0,0.0,2.092140090021487,1.9925124652207116,-0.0996276248007751,0.7785505163594175,1.044552884291269,7.398269198003733
Ahmedabad,GHI,666169,666169,344501,51.71375431759809,225.13445060774586,221.60351990578474,-3.530930701961123,18.19768225768113,45.993378219647255,452.7913314168725
Ahmedabad,DHI,666169,666169,344907,51.77469981341071,91.66145810541298,88.15074010109984,-3.5107180043131416,18.16797059688623,45.84184657730618,452.7913314168726
Ahmedabad,DNI,666169,666169,666169,100.0,189.6860337227504,189.6860337227504,0.0,0.0,0.0,0.0
Ahmedabad,relative_humidity,666169,666169,666169,100.0,56.3801888070975,56.3801888070975,0.0,0.0,0.0,0.0
Ahmedabad,specific_humidity,666169,666169,666169,100.0,0.01267828306182216,0.01267828306182216,0.0,0.0,0.0,0.0
Beijing,temp,666169,666169,0,0.0,14.509442279425505,15.417844318637774,0.9084020392122697,3.9444627328200492,5.029497234679044,21.838379999999976
Beijing,pressure,666169,666169,0,0.0,1016.5748057137437,1016.5711866440331,-0.003619069710552088,6.528698360851374,8.40397733240866,40.378100000000245
Beijing,wind_speed,666169,666169,0,0.0,2.572008331105037,2.578467264072213,0.006458932967176031,1.1657426119261216,1.588655136714815,12.757830242420795
Beijing,GHI,666169,666169,352987,52.98760524731712,186.5118875613128,185.590012214066,-0.9218753472467875,19.20660242430155,41.46012224459205,331.38401420657226
Beijing,DHI,666169,666169,352988,52.987755359375775,95.16672324974706,94.24046341194286,-0.9262598378042163,19.200783885432344,41.42401228794799,330.69092042063994
Beijing,DNI,666169,666169,666169,100.0,152.3563857032371,152.3563857032371,0.0,0.0,0.0,0.0
Beijing,relative_humidity,666169,666169,666169,100.0,56.23211496987006,56.23211496987006,0.0,0.0,0.0,0.0
Beijing,specific_humidity,666169,666169,666169,100.0,0.006732652380566007,0.006732652380566007,0.0,0.0,0.0,0.0
Guangzhou,temp,666169,666169,0,0.0,24.310667453003685,25.144404085960183,0.8337366329564967,3.275761125840439,4.58062818180769,22.781160000000007
Guangzhou,pressure,666169,666169,24,0.0036026894076428054,1013.3864368560246,1013.362368293918,-0.02406856210653929,4.45564190535735,5.710541509828915,33.32560000000012
Guangzhou,wind_speed,666169,666169,0,0.0,2.2874593912519368,2.356288397784796,0.06882900653285925,1.0604423905147475,1.4026482824492763,10.11058206930236
Guangzhou,GHI,666169,666169,349511,52.46581573144352,188.14532077138944,188.18426369945033,0.03894292806088819,29.11210249228498,59.88482896332751,408.07126041893
Guangzhou,DHI,666169,666169,349517,52.46671640379543,146.59705961550316,146.63600257434646,0.03894295884332851,29.11210244473991,59.884828963317666,408.0712604189299
Guangzhou,DNI,666169,666169,666169,100.0,57.38646143441181,57.38646143441181,0.0,0.0,0.0,0.0
Guangzhou,relative_humidity,666169,666169,666169,100.0,72.04094234839671,72.04094234839671,0.0,0.0,0.0,0.0
Guangzhou,specific_humidity,666169,666169,666169,100.0,0.0131433721425805,0.0131433721425805,0.0,0.0,0.0,0.0
Houston,temp,666169,666169,0,0.0,22.18062649422981,22.971239961307983,0.7906134670781734,3.8183115052636794,5.286865744214353,23.786200000000015
Houston,pressure,666169,666169,0,0.0,1016.346867123241,1016.3375100538636,-0.009357069377425002,5.539497667333665,7.4513170579030685,37.04065000000037
Houston,wind_speed,666169,666169,0,0.0,3.361461729623722,3.3273711739115495,-0.03409055571217278,1.3402083158508327,1.8108590786146952,11.361976771339538
Houston,GHI,666169,666169,353826,53.11354926452597,204.19084916965556,204.01762834523944,-0.17322082441610342,16.02783804754803,35.14948032106474,287.20151492988873
Houston,DHI,666169,666169,353826,53.11354926452597,102.10595040524849,101.93885743478273,-0.1670929704657607,16.02170776185857,35.12117688905293,287.20151492988873
Houston,DNI,666169,666169,666169,100.0,144.03482388691694,144.03482388691694,0.0,0.0,0.0,0.0
Houston,relative_humidity,666169,666169,666169,100.0,74.03453133563377,74.03453133563377,0.0,0.0,0.0,0.0
Houston,specific_humidity,666169,666169,666169,100.0,0.011869645275734163,0.011869645275734163,0.0,0.0,0.0,0.0
Kolkata,temp,666169,666169,0,0.0,26.59269606873336,27.145851858960764,0.5531557902274049,2.494394401570773,3.1834659124651936,13.884610000000013
Kolkata,pressure,666169,666169,96,0.014410757630571222,1007.4531817021216,1007.4347472309138,-0.018434471207803834,2.9994767448650426,3.7840726174664225,15.406200000000013
Kolkata,wind_speed,666169,666169,0,0.0,1.2045920364491602,1.1799811776740694,-0.024610858775090748,0.509175025259845,0.7433807775114807,7.72643498651712
Kolkata,GHI,666169,666169,341701,51.293440553373095,194.7535799423355,192.64356920128913,-2.11001074104637,11.608296758041819,25.512031164037747,226.3994806158775
Kolkata,DHI,666169,666169,342851,51.46606942082264,141.57730926342455,139.46731133856738,-2.109997924857183,11.608282904053032,25.5119282412188,226.3994806158775
Kolkata,DNI,666169,666169,666169,100.0,66.6663851489037,66.6663851489037,0.0,0.0,0.0,0.0
Kolkata,relative_humidity,666169,666169,666169,100.0,75.4297544155078,75.4297544155078,0.0,0.0,0.0,0.0
Kolkata,specific_humidity,666169,666169,666169,100.0,0.016479512013975822,0.016479512013975822,0.0,0.0,0.0,0.0
Phoenix,temp,666169,666169,0,0.0,25.56599913893442,26.63646184608531,1.0704627071508934,3.655154965842001,4.5804476101826745,20.882409999999993
Phoenix,pressure,666169,666169,48,0.007205378815285611,1011.6713551227107,1011.6927266008942,0.02137147818348543,3.8611831504468097,5.184830540319286,36.65130000000033
Phoenix,wind_speed,666169,666169,0,0.0,2.6693488208342093,2.674187975801516,0.004839154967306533,1.1406128578749286,1.5434635280959688,11.792926936571233
Phoenix,GHI,666169,666169,354631,53.234389471740656,239.8544609778046,238.1261459727279,-1.7283150050766833,16.999952202760777,36.32182988729227,371.1960254728469
Phoenix,DHI,666169,666169,355170,53.315299871353965,49.39586650949821,47.60410091561461,-1.7917655938836041,16.337375777125555,34.04665550172432,284.6298473740035
Phoenix,DNI,666169,666169,666169,100.0,293.61063857567956,293.61063857567956,0.0,0.0,0.0,0.0
Phoenix,relative_humidity,666169,666169,666169,100.0,33.610037352936196,33.610037352936196,0.0,0.0,0.0,0.0
Phoenix,specific_humidity,666169,666169,666169,100.0,0.005837287419538422,0.005837287419538422,0.0,0.0,0.0,0.0
